district,republican_voters,democrat_voters,total_voters,republican_pct,democrat_pct,net_advantage,net_advantage_pct,advantage_party,period
0,1,4,9,11.11111111111111,44.44444444444444,-3,-33.33333333333333,Competitive/Swing,2022
1,68131,11077,124463,54.739962880534776,8.899833685512963,57054,45.84012919502181,Republican,2022
2,49391,14409,94954,52.015712871495666,15.174716178360049,34982,36.84099669313562,Republican,2022
3,59339,19743,112186,52.893409159788206,17.598452569839374,39596,35.29495658994883,Republican,2022
4,66929,15003,118729,56.37123196523175,12.63633990010865,51926,43.73489206512309,Republican,2022
5,41083,14444,91021,45.13573790663693,15.86886542665978,26639,29.266872479977145,Republican,2022
6,43237,12194,90319,47.871433474684174,13.501035219610491,31043,34.37039825507368,Republican,2022
7,19837,29162,72107,27.51050522140708,40.44267546840112,-9325,-12.932170246994051,Democrat,2022
8,56640,12038,100562,56.3234621427577,11.970724528151786,44602,44.352737614605914,Republican,2022
9,10695,33275,67491,15.846557318753613,49.30287001229793,-22580,-33.45631269354433,Democrat,2022
10,58845,16549,118239,49.76784309745515,13.996227978924043,42296,35.77161511853111,Republican,2022
11,51835,7387,92680,55.92900302114804,7.970435908502374,44448,47.95856711264566,Republican,2022
12,50588,15640,102273,49.463690319048034,15.292403664701338,34948,34.1712866543467,Republican,2022
13,57291,7519,105783,54.15898584838774,7.107947401756426,49772,47.05103844663131,Republican,2022
14,63406,17586,109451,57.930946268193075,16.067463979314944,45820,41.86348228887813,Republican,2022
15,26079,35935,85126,30.635763456523275,42.21389469727228,-9856,-11.578131240749007,Democrat,2022
16,12092,24569,60413,20.01555956499429,40.66839918560575,-12477,-20.652839620611456,Democrat,2022
17,55661,12212,108537,51.282972626846146,11.251462634861843,43449,40.0315099919843,Republican,2022
18,9736,27960,58331,16.69095335241981,47.93334590526479,-18224,-31.242392552844972,Democrat,2022
19,59630,6642,100063,59.59245675224608,6.637818174550033,52988,52.95463857769606,Republican,2022
20,15979,23183,62285,25.654652002889943,37.22083968852854,-7204,-11.566187685638598,Democrat,2022
21,79937,27766,160732,49.73309608540925,17.27471816439788,52171,32.45837792101137,Republican,2022
22,55603,21688,104617,53.149105785866546,20.73085636177677,33915,32.41824942408977,Republican,2022
23,43932,36319,115637,37.99130036234077,31.407767410085007,7613,6.583532952255766,Republican,2022
24,58741,22877,122337,48.01572704905303,18.699984469130353,35864,29.31574257992267,Republican,2022
25,59695,13393,116499,51.24078318268827,11.4962360191933,46302,39.744547163494964,Republican,2022
26,60431,16084,110198,54.838563313308775,14.595546198660593,44347,40.243017114648175,Republican,2022
27,50218,15264,103029,48.74161643809025,14.815246192819496,34954,33.926370245270746,Republican,2022
28,23218,48612,99229,23.39840167692912,48.98971066925999,-25394,-25.59130899233087,Democrat,2022
29,6647,14047,34015,19.54137880346906,41.29648684403939,-7400,-21.755108040570338,Democrat,2022
30,9423,36626,75123,12.543428776806037,48.75470894399851,-27203,-36.21128016719247,Democrat,2022
31,62367,17699,118696,52.54347240008088,14.91120172541619,44668,37.63227067466469,Republican,2022
32,16249,23001,66041,24.60441241047228,34.82836419799821,-6752,-10.22395178752593,Democrat,2022
33,7000,16172,39482,17.729598297958564,40.96043766779798,-9172,-23.23083936983942,Democrat,2022
34,17149,35428,69226,24.77248432669806,51.1773033253402,-18279,-26.404818998642128,Democrat,2022
35,12080,27272,66150,18.261526832955404,41.22751322751323,-15192,-22.96598639455782,Democrat,2022
36,55141,14526,103499,53.276843254524195,14.034918211770162,40615,39.24192504275404,Republican,2022
37,17821,51641,112401,15.854841149100096,45.94354142756737,-33820,-30.08870027846727,Democrat,2022
38,49706,17334,103106,48.20863965239656,16.811824724070373,32372,31.39681492832619,Republican,2022
1,86437,13319,153714,56.2323535917353,8.664793057236166,73118,47.56756053449914,Republican,2026
2,49548,20837,106934,46.33512259898629,19.485851085716423,28711,26.84927151326987,Republican,2026
3,79596,26535,154773,51.4275745769611,17.144463181562674,53061,34.28311139539842,Republican,2026
4,66632,17159,121738,54.73393681512757,14.095023739506152,49473,40.63891307562142,Republican,2026
5,26944,15488,69325,38.866209880995314,22.34114677244861,11456,16.5250631085467,Republican,2026
6,11816,7865,31520,37.487309644670056,24.95241116751269,3951,12.53489847715736,Republican,2026
7,39131,44524,124467,31.438855278909266,35.771730659532246,-5393,-4.332875380622976,Democrat,2026
8,42631,15036,86298,49.39975433961389,17.423347006883123,27595,31.976407332730773,Republican,2026
9,35928,49809,133130,26.987155412003304,37.41380605423271,-13881,-10.4266506422294,Democrat,2026
10,35842,5508,65292,54.89493352937572,8.43594927403051,30334,46.45898425534522,Republican,2026
11,40988,7278,77658,52.780138556233744,9.371861237734684,33710,43.40827731849906,Republican,2026
12,50819,15657,102651,49.50658054962933,15.252652190431656,35162,34.25392835919767,Republican,2026
13,16505,5935,34509,47.828102813758726,17.19841200846156,10570,30.629690805297166,Republican,2026
14,68917,20479,128941,53.44847643495862,15.882457868327371,48438,37.56601856663125,Republican,2026
15,77040,17681,137133,56.1790378683468,12.893322540890958,59359,43.285715327455826,Republican,2026
16,26819,44858,107237,25.009092011152863,41.83071141490344,-18039,-16.82161940375057,Democrat,2026
17,37755,9833,75917,49.73194409684261,12.952303173202312,27922,36.77964092364029,Republican,2026
18,61816,62844,190810,32.39662491483675,32.93538074524396,-1028,-0.5387558304072113,Democrat,2026
19,24847,2011,39965,62.171900412861255,5.0319029150506696,22836,57.13999749781058,Republican,2026
20,22585,24885,74305,30.394993607428837,33.490343853038155,-2300,-3.095350245609313,Democrat,2026
21,30330,14821,66903,45.33428994215506,22.15296772939928,15509,23.18132221275578,Republican,2026
22,41257,18293,81350,50.71542716656423,22.48678549477566,22964,28.22864167178857,Republican,2026
23,33862,21963,82546,41.021975625711725,26.60698277324159,11899,14.414992852470137,Republican,2026
24,58741,22877,122337,48.01572704905303,18.699984469130353,35864,29.31574257992267,Republican,2026
25,23691,10773,54772,43.25385233330899,19.668808880449863,12918,23.585043452859125,Republican,2026
26,55536,15721,102215,54.33253436384092,15.380325783886908,39815,38.95220857995402,Republican,2026
27,36498,10902,69662,52.392983262036694,15.649852143205765,25596,36.743131118830924,Republican,2026
28,15259,34966,70322,21.698757145701205,49.722704132419445,-19707,-28.02394698671824,Democrat,2026
29,60739,46873,165632,36.67105390262751,28.299483191653785,13866,8.371570710973725,Republican,2026
30,9423,36626,75123,12.543428776806037,48.75470894399851,-27203,-36.21128016719247,Democrat,2026
31,54680,16488,104068,52.54256832071338,15.843486950839836,38192,36.69908136987354,Republican,2026
32,18594,24180,71330,26.0675732510865,33.89878031683723,-5586,-7.831207065750736,Democrat,2026
33,7000,16172,39482,17.729598297958564,40.96043766779798,-9172,-23.23083936983942,Democrat,2026
34,44122,11641,83121,53.081652049421926,14.004884445567306,32481,39.07676760385462,Republican,2026
35,8791,10061,30614,28.71562030443588,32.86404912785,-1270,-4.1484288234141244,Democrat,2026
36,85312,33238,181376,47.03599153140438,18.325467537050105,52074,28.71052399435427,Republican,2026
37,2545,2065,7577,33.58849148739607,27.25353042101095,480,6.334961066385112,Competitive/Swing,2026
38,72639,37022,169908,42.751959884172614,21.789438990512515,35617,20.9625208936601,Republican,2026
