district,republican_voters,democrat_voters,total_voters,republican_pct,democrat_pct,net_advantage,net_advantage_pct,advantage_party,period
0,9,10,29,31.03448275862069,34.48275862068966,-1,-3.4482758620689653,Competitive/Swing,2022
1,17984,2306,31790,56.571248820383765,7.253853413022964,15678,49.317395407360806,Republican,2022
2,15054,1445,30164,49.90717411483888,4.790478716350616,13609,45.11669539848827,Republican,2022
3,18797,1977,31024,60.588576585869006,6.372485817431666,16820,54.21609076843734,Republican,2022
4,14667,3135,26266,55.84024975253179,11.935582121373638,11532,43.90466763115815,Republican,2022
5,18727,1931,34549,54.20417378216447,5.5891632174592605,16796,48.6150105647052,Republican,2022
6,17243,3813,31123,55.402756803650036,12.251389647527551,13430,43.15136715612248,Republican,2022
7,15181,3147,27750,54.70630630630631,11.34054054054054,12034,43.365765765765765,Republican,2022
8,17268,1913,31111,55.50448394458552,6.148950531966186,15355,49.35553341261933,Republican,2022
9,21532,2210,36837,58.45209979097103,5.999402774384451,19322,52.45269701658658,Republican,2022
10,13536,3812,28798,47.00326411556358,13.237030349329814,9724,33.76623376623377,Republican,2022
11,19333,1927,35585,54.32907123788113,5.415203034986652,17406,48.91386820289448,Republican,2022
12,22218,2533,37043,59.97894339011419,6.837999082147775,19685,53.14094430796642,Republican,2022
13,12890,1975,28672,44.956752232142854,6.8882533482142865,10915,38.06849888392857,Republican,2022
14,9699,2103,19654,49.34873308232421,10.700111936501475,7596,38.64862114582273,Republican,2022
15,17375,3307,30424,57.109518800946624,10.869708125164344,14068,46.23981067578228,Republican,2022
16,20711,1790,32400,63.922839506172835,5.5246913580246915,18921,58.398148148148145,Republican,2022
17,17535,4724,33915,51.702786377708975,13.928939997051453,12811,37.77384638065753,Republican,2022
18,20373,1629,31779,64.10837345416785,5.126026621353724,18744,58.98234683281412,Republican,2022
19,27759,5187,50767,54.67922075363918,10.217267122343255,22572,44.46195363129592,Republican,2022
20,19679,7119,36813,53.45665933230109,19.338277239018822,12560,34.118382093282264,Republican,2022
21,25263,3072,36579,69.06421717378824,8.398261297465758,22191,60.66595587632248,Republican,2022
22,6245,8861,20320,30.733267716535433,43.60728346456693,-2616,-12.874015748031495,Democrat,2022
23,15813,4215,28108,56.25800483848015,14.995730752810587,11598,41.26227408566956,Republican,2022
24,18206,4179,31213,58.32826066062218,13.388652164162368,14027,44.93960849645981,Republican,2022
25,14087,4352,25201,55.89857545335503,17.269155985873578,9735,38.629419467481455,Republican,2022
26,13724,5257,24701,55.56050362333509,21.28253916845472,8467,34.27796445488037,Republican,2022
27,5568,13028,26239,21.220320896375625,49.65128244216624,-7460,-28.430961545790616,Democrat,2022
28,14466,6807,29086,49.735267826445714,23.4030117582342,7659,26.332256068211514,Republican,2022
29,14064,4773,24952,56.36421930105803,19.12872715613979,9291,37.23549214491824,Republican,2022
30,17002,1755,31962,53.19441837181653,5.490895438333021,15247,47.70352293348351,Republican,2022
31,9784,18304,41617,23.509623471177644,43.982026575678205,-8520,-20.472403104500565,Democrat,2022
32,12972,4495,26293,49.336325257673145,17.09580496710151,8477,32.24052029057163,Republican,2022
33,17771,4709,30891,57.528082613058814,15.243922177980645,13062,42.28416043507818,Republican,2022
34,5191,4777,15749,32.96082290939108,30.33208457679853,414,2.6287383325925453,Competitive/Swing,2022
35,2297,9551,14690,15.63648740639891,65.01701837985023,-7254,-49.38053097345133,Democrat,2022
36,2751,9292,14728,18.6787072243346,63.09071156979902,-6541,-44.412004345464425,Democrat,2022
37,6623,7891,20352,32.54225628930818,38.77260220125786,-1268,-6.230345911949685,Democrat,2022
38,3135,9223,15403,20.353177952346947,59.877945854703626,-6088,-39.524767902356686,Democrat,2022
39,3162,8147,14308,22.09952474140341,56.94017332960581,-4985,-34.840648588202406,Democrat,2022
40,2813,10239,16670,16.874625074985,61.42171565686863,-7426,-44.54709058188362,Democrat,2022
41,5361,9127,18726,28.62864466517142,48.73972017515754,-3766,-20.111075509986115,Democrat,2022
42,2555,15281,22815,11.198772737234275,66.9778654394039,-12726,-55.77909270216963,Democrat,2022
43,12473,6868,29100,42.86254295532646,23.601374570446733,5605,19.261168384879728,Republican,2022
44,16485,4017,29940,55.06012024048096,13.416833667334668,12468,41.64328657314629,Republican,2022
45,7743,8504,25167,30.766479914173324,33.790280923431474,-761,-3.0238010092581558,Competitive/Swing,2022
46,3163,10561,23455,13.48539756981454,45.026646770411425,-7398,-31.541249200596887,Democrat,2022
47,8888,11013,31805,27.945291620814334,34.62663103285647,-2125,-6.681339412042132,Democrat,2022
48,7358,16425,36357,20.23819347030833,45.17699480155129,-9067,-24.938801331242953,Democrat,2022
49,3391,16553,32617,10.396419045283134,50.74960909954932,-13162,-40.35319005426618,Democrat,2022
50,2298,7868,17573,13.076879303476924,44.77323166220907,-5570,-31.696352358732145,Democrat,2022
51,1636,8622,17884,9.147841646164167,48.210691120554685,-6986,-39.06284947439052,Democrat,2022
52,13630,6118,30126,45.243311425346874,20.308039567151297,7512,24.93527185819558,Republican,2022
53,31475,3394,49470,63.62441883970082,6.860723670911664,28081,56.76369516878916,Republican,2022
54,7306,2725,16478,44.33790508556864,16.537201116640368,4581,27.80070396892827,Republican,2022
55,11476,3499,21540,53.27762302692665,16.244196843082637,7977,37.03342618384401,Republican,2022
56,16779,2559,30019,55.89460008661181,8.524601085978881,14220,47.36999900063294,Republican,2022
57,12825,3857,23886,53.69253956292389,16.147534120405258,8968,37.54500544251863,Republican,2022
58,16841,1927,27525,61.1843778383288,7.000908265213443,14914,54.18346957311535,Republican,2022
59,17520,1599,31109,56.31810730013822,5.1399916422900125,15921,51.17811565784821,Republican,2022
60,25913,1752,41109,63.03485854679024,4.261840472889148,24161,58.7730180739011,Republican,2022
61,14685,5359,27348,53.69679684071962,19.59558285797865,9326,34.101213982740965,Republican,2022
62,22072,2164,36183,61.001022579664486,5.980709172815963,19908,55.02031340684852,Republican,2022
63,12419,4726,23937,51.88202364540252,19.74349333667544,7693,32.13853030872708,Republican,2022
64,18357,4106,31958,57.4410163339383,12.848113148507418,14251,44.59290318543088,Republican,2022
65,15938,4795,28627,55.67471268382995,16.749921402871415,11143,38.92479128095854,Republican,2022
66,14360,5128,26896,53.390838786436646,19.06603212373587,9232,34.32480666270077,Republican,2022
67,14128,5291,27233,51.878235963720485,19.428634377409757,8837,32.44960158631073,Republican,2022
68,22325,1156,41003,54.44723556812916,2.8193059044460163,21169,51.62792966368315,Republican,2022
69,12010,1339,24396,49.22938186587965,5.488604689293327,10671,43.74077717658633,Republican,2022
70,10761,6022,24345,44.202094886013555,24.736085438488395,4739,19.46600944752516,Republican,2022
71,15461,1400,26168,59.08361357383063,5.350045857535922,14061,53.73356771629471,Republican,2022
72,16049,1249,26817,59.846366111048965,4.65749338106425,14800,55.18887272998471,Republican,2022
73,24272,5922,45696,53.11624649859944,12.959558823529411,18350,40.15668767507003,Republican,2022
74,6720,15335,28827,23.31147882193777,53.19665591285947,-8615,-29.885177090921704,Democrat,2022
75,1947,4289,9510,20.47318611987382,45.099894847528915,-2342,-24.6267087276551,Democrat,2022
76,7648,9632,22899,33.398838377221715,42.06297218219136,-1984,-8.66413380496965,Democrat,2022
77,1750,6409,14402,12.151090126371338,44.500763782807944,-4659,-32.34967365643661,Democrat,2022
78,5195,7163,19782,26.261247598827214,36.2096855727429,-1968,-9.94843797391568,Democrat,2022
79,3515,7498,18583,18.91513749125545,40.34870580638218,-3983,-21.433568315126728,Democrat,2022
80,7667,13377,29497,25.992473810896023,45.35037461436756,-5710,-19.35790080347154,Democrat,2022
81,8951,1127,16210,55.219000616903145,6.952498457742134,7824,48.266502159161014,Republican,2022
82,12673,974,20690,61.25181246979216,4.707588206863219,11699,56.54422426292896,Republican,2022
83,19928,1987,31340,63.58647096362476,6.340140395660497,17941,57.246330567964264,Republican,2022
84,9454,2436,17336,54.53391785879096,14.051684356252885,7018,40.48223350253807,Republican,2022
85,19733,4061,35993,54.82454921790348,11.282749423499014,15672,43.54179979440447,Republican,2022
86,16350,1216,28323,57.72693570596336,4.293330508773788,15134,53.43360519718956,Republican,2022
87,11479,1031,21591,53.165670881385765,4.775137788893521,10448,48.39053309249224,Republican,2022
88,15258,664,26081,58.50235803841877,2.545914650511867,14594,55.95644338790691,Republican,2022
89,13995,4916,26563,52.686067085796026,18.506945751609383,9079,34.179121334186654,Republican,2022
90,2723,3732,11702,23.26952657665356,31.891984276192105,-1009,-8.622457699538542,Democrat,2022
91,11430,2978,21281,53.709882054414734,13.993703303416194,8452,39.716178750998544,Republican,2022
92,4820,4343,13745,35.06729719898144,31.5969443433976,477,3.4703528555838483,Competitive/Swing,2022
93,9495,3445,20017,47.43468052155668,17.21037118449318,6050,30.2243093370635,Republican,2022
94,11909,4885,26451,45.02287248119164,18.468110846470832,7024,26.5547616347208,Republican,2022
95,2490,6895,15756,15.803503427265802,43.76110687991875,-4405,-27.957603452652958,Democrat,2022
96,10477,5344,24893,42.088137227332986,21.46788253725947,5133,20.620254690073516,Republican,2022
97,13088,5228,28692,45.61550257911613,18.22110692876063,7860,27.394395650355502,Republican,2022
98,18881,4384,32728,57.69066242972378,13.395257883158152,14497,44.29540454656563,Republican,2022
99,10561,3327,22058,47.87832079064285,15.082963097288966,7234,32.795357693353886,Republican,2022
100,897,5548,11081,8.094937280028878,50.06768342207381,-4651,-41.97274614204494,Democrat,2022
101,3630,5486,14613,24.84089509340998,37.54191473345651,-1856,-12.701019640046535,Democrat,2022
102,3631,4713,14415,25.189039195282692,32.69510926118627,-1082,-7.506070065903573,Democrat,2022
103,2336,4858,12821,18.220107635909834,37.89096014351455,-2522,-19.67085250760471,Democrat,2022
104,2057,3169,9595,21.4382490880667,33.02761855132882,-1112,-11.589369463262116,Democrat,2022
105,3484,3182,10757,32.38821232685693,29.58073812401227,302,2.8074742028446593,Competitive/Swing,2022
106,13595,4413,24963,54.46060169050194,17.67816368224973,9182,36.782438008252214,Republican,2022
107,2501,3006,9783,25.564755187570277,30.726770929162832,-505,-5.162015741592558,Competitive/Swing,2022
108,14343,9029,36590,39.199234763596614,24.676141022137195,5314,14.523093741459414,Republican,2022
109,2536,11516,21707,11.682867277836642,53.05201087206892,-8980,-41.36914359423228,Democrat,2022
110,571,4832,9671,5.904249819046634,49.96380932685348,-4261,-44.059559507806846,Democrat,2022
111,2730,11599,22732,12.009502023579095,51.02498680274503,-8869,-39.01548477916593,Democrat,2022
112,9451,6672,27002,35.00111102881268,24.70928079401526,2779,10.291830234797422,Republican,2022
113,4378,5320,15566,28.12540151612489,34.177052550430425,-942,-6.051651034305538,Competitive/Swing,2022
114,3678,7225,19437,18.92267325204507,37.171374183258735,-3547,-18.248700931213666,Democrat,2022
115,6376,5866,18838,33.84648051810171,31.139186750185793,510,2.707293767915915,Competitive/Swing,2022
116,4227,6390,16768,25.208730916030536,38.10830152671756,-2163,-12.899570610687022,Democrat,2022
117,4399,5212,15773,27.889431306663287,33.043809040765865,-813,-5.154377734102581,Competitive/Swing,2022
118,7509,5901,20171,37.226711615685886,29.254870854196614,1608,7.971840761489267,Republican,2022
119,4446,6737,17487,25.42460113226969,38.52576199462458,-2291,-13.101160862354892,Democrat,2022
120,3660,5873,15435,23.71234207968902,38.0498866213152,-2213,-14.337544541626174,Democrat,2022
121,16140,7769,34733,46.46877609190108,22.36777704200616,8371,24.100999049894913,Republican,2022
122,16638,7060,36092,46.098858472791754,19.561121578189073,9578,26.53773689460268,Republican,2022
123,5786,8115,22435,25.790060173835528,36.171161132159575,-2329,-10.381100958324046,Democrat,2022
124,2980,4838,12714,23.438728960201352,38.05254050652824,-1858,-14.613811546326883,Democrat,2022
125,7096,7957,22121,32.078115817548934,35.97034492111568,-861,-3.8922291035667467,Competitive/Swing,2022
126,9782,4040,23129,42.29322495568334,17.46724890829694,5742,24.825976047386398,Republican,2022
127,12713,5246,26502,47.96996453097879,19.794732473020904,7467,28.17523205795789,Republican,2022
128,10190,2781,18993,53.65134523245406,14.642236613489178,7409,39.00910861896488,Republican,2022
129,10946,5330,25942,42.19412535656464,20.545833012103923,5616,21.64829234446072,Republican,2022
130,12403,3333,23787,52.14192626224408,14.011855215033425,9070,38.13007104721066,Republican,2022
