district,republican_voters,democrat_voters,total_voters,republican_pct,democrat_pct,net_advantage,net_advantage_pct,advantage_party,period
0,6,3,16,37.5,18.75,3,18.75,Competitive/Swing,2022
1,84317,12385,152638,55.239848530510095,8.113968998545579,71932,47.125879531964515,Republican,2022
2,56484,20871,120940,46.70415081858773,17.25731767818753,35613,29.446833140400198,Republican,2022
3,92302,15942,158926,58.07860262008734,10.03108364899387,76360,48.04751897109347,Republican,2022
4,75489,16147,133588,56.50881815731952,12.08716351768123,59342,44.42165463963829,Republican,2022
5,72941,19672,141599,51.512369437637275,13.892753479897458,53269,37.61961595773982,Republican,2022
6,9613,17179,44156,21.77054080985597,38.90524504031162,-7566,-17.134704230455657,Democrat,2022
7,51179,18046,106179,48.200679983800946,16.99582780022415,33133,31.204852183576794,Republican,2022
8,69962,24652,136311,51.32527822406116,18.085114187409673,45310,33.24016403665148,Republican,2022
9,53475,17639,108365,49.347113920546306,16.277395838139622,35836,33.06971808240668,Republican,2022
10,57815,20580,124812,46.32166778835368,16.48879915392751,37235,29.83286863442618,Republican,2022
11,60490,22399,119131,50.77603646406057,18.801991085443756,38091,31.974045378616818,Republican,2022
12,74888,25813,145233,51.56403847610391,17.773508775553765,49075,33.790529700550145,Republican,2022
13,11144,39772,76092,14.645429217263311,52.26830678652158,-28628,-37.622877569258264,Democrat,2022
14,21315,60893,134395,15.85996502846088,45.308977268499575,-39578,-29.44901224003869,Democrat,2022
15,21757,36379,91528,23.7708679311249,39.74630714098418,-14622,-15.975439209859276,Democrat,2022
16,17594,23131,68972,25.508902163196662,33.53679754103114,-5537,-8.027895377834483,Democrat,2022
17,66290,21510,124028,53.44760860450866,17.342858064308057,44780,36.1047505402006,Republican,2022
18,72039,24338,142928,50.40230045897235,17.02815403559834,47701,33.37414642337401,Republican,2022
19,30778,36487,99801,30.839370346990513,36.559753910281465,-5709,-5.720383563290949,Democrat,2022
20,22176,42185,87502,25.34342072181207,48.21032662110581,-20009,-22.86690589929373,Democrat,2022
21,25748,56577,119488,21.548607391537224,47.34952463845742,-30829,-25.80091724692019,Democrat,2022
22,61564,16818,128161,48.036454147517574,13.12255678404507,44746,34.91389736347251,Republican,2022
23,11803,43307,90997,12.970757277712451,47.59167884655538,-31504,-34.620921568842924,Democrat,2022
24,75093,19012,141036,53.2438526333702,13.480246178280725,56081,39.76360645508948,Republican,2022
25,85286,30545,173508,49.15392950180971,17.60437559075086,54741,31.549553911058858,Republican,2022
26,23579,31164,86270,27.331633244465053,36.123797380317605,-7585,-8.792164135852557,Democrat,2022
27,27804,37797,89480,31.07286544479213,42.240724184175235,-9993,-11.167858739383101,Democrat,2022
28,74972,7967,126615,59.21257354973739,6.292303439560873,67005,52.92027011017652,Republican,2022
29,16535,30990,75633,21.862150119656764,40.97417793820158,-14455,-19.112027818544817,Democrat,2022
30,73849,17013,136032,54.28796165608092,12.506616090331688,56836,41.781345565749234,Republican,2022
31,63496,5067,110679,57.36951002448522,4.57810424741821,58429,52.79140577706701,Republican,2022
1,38956,4265,69040,56.4252607184241,6.17757821552723,34691,50.24768250289687,Republican,2026
2,51879,15678,105303,49.2664026665907,14.888464716104954,36201,34.377937950485745,Republican,2026
3,64252,8050,110506,58.1434492244765,7.28467232548459,56202,50.858776898991906,Republican,2026
4,43430,13306,85112,51.02688222577309,15.633518187799606,30124,35.3933640379735,Republican,2026
5,40832,15794,82976,49.20940994986503,19.034419591207097,25038,30.174990358657926,Republican,2026
6,119308,59308,265229,44.98301467788213,22.361054032553003,60000,22.621960645329132,Republican,2026
7,72447,27014,149527,48.450781464217165,18.066302406923164,45433,30.384479057294,Republican,2026
8,31024,13679,68714,45.1494600809151,19.907151381086823,17345,25.242308699828275,Republican,2026
9,53475,17639,108365,49.347113920546306,16.277395838139622,35836,33.06971808240668,Republican,2026
10,35428,20328,90561,39.12059274963837,22.446748600390897,15100,16.67384414924747,Republican,2026
11,66008,21980,130033,50.76249875031723,16.903401444248768,44028,33.859097306068456,Republican,2026
12,66077,25256,131523,50.23988199782548,19.202724998669435,40821,31.03715699915604,Republican,2026
13,67395,61047,188744,35.7070953248845,32.34380960454372,6348,3.3632857203407793,Republican,2026
14,31702,62077,153573,20.64295156049566,40.421818939527135,-30375,-19.77886737903147,Democrat,2026
15,110037,70358,269012,40.90412323613816,26.154223603408028,39679,14.749899632730138,Republican,2026
16,17594,23131,68972,25.508902163196662,33.53679754103114,-5537,-8.027895377834483,Democrat,2026
17,61918,25407,127062,48.730540995734366,19.995750106247343,36511,28.734790889487023,Republican,2026
18,59946,25932,125996,47.577700879393,20.58160576526239,34014,26.996095114130608,Republican,2026
19,25691,29831,84351,30.457255989851927,35.36531872769736,-4140,-4.908062737845432,Democrat,2026
20,60994,27556,128535,47.45322285758743,21.438518691407012,33438,26.01470416618042,Republican,2026
21,17816,37096,78036,22.830488492490645,47.5370341893485,-19280,-24.70654569685786,Democrat,2026
22,64840,18419,128803,50.34044238100043,14.3001327608829,46421,36.04030962011755,Republican,2026
23,11803,43307,90997,12.970757277712451,47.59167884655538,-31504,-34.620921568842924,Democrat,2026
24,64628,16932,123987,52.12481953753216,13.65627041544678,47696,38.468549122085385,Republican,2026
25,77491,26374,156485,49.51976227753459,16.854011566603827,51117,32.66575071093076,Republican,2026
26,30395,33383,99307,30.607107253265127,33.61595859304983,-2988,-3.008851339784708,Democrat,2026
27,37426,12731,74842,50.00668074076054,17.01050212447556,24695,32.99617861628497,Republican,2026
28,19306,1561,35085,55.02636454325211,4.449194812597977,17745,50.57716973065413,Republican,2026
29,35457,38080,111668,31.752158183185873,34.10108536017481,-2623,-2.3489271769889313,Democrat,2026
30,47951,12957,90015,53.27001055379659,14.394267622062989,34994,38.8757429317336,Republican,2026
31,36109,3747,62296,57.96359316810068,6.014832412996019,32362,51.94876075510466,Republican,2026
