district,Democrat,Republican,Swing,Unknown,total_voters,republican_voters,democrat_voters,net_advantage_2022,net_advantage_pct_2022,rep_pct_2022,dem_pct_2022,advantage_2022
1,44867.0,466088.0,13210.0,0,524165.0,466088.0,44867.0,421221.0,80.36038270391957,88.92009195577728,8.559709251857717,Republican
2,92486.0,369594.0,55344.0,0,517424.0,369594.0,92486.0,277108.0,53.55530474040632,71.42962058195987,17.874315841553543,Republican
3,76702.0,398573.0,97587.0,0,572862.0,398573.0,76702.0,321871.0,56.18648121188,69.57574424556002,13.389263033680013,Republican
4,82359.0,409865.0,49285.0,0,541509.0,409865.0,82359.0,327506.0,60.48025055908581,75.68941605772018,15.209165498634372,Republican
5,179963.0,269333.0,48020.0,0,497316.0,269333.0,179963.0,89370.0,17.970465458581668,54.157316474836925,36.186851016255254,Republican
6,133986.0,314524.0,25214.0,0,473724.0,314524.0,133986.0,180538.0,38.11037650615126,66.39393402065338,28.283557514502117,Republican
7,359184.0,36097.0,35216.0,0,430497.0,36097.0,359184.0,-323087.0,-75.04976805877858,8.384959709359183,83.43472776813776,Democrat
8,174256.0,343497.0,28576.0,0,546329.0,343497.0,174256.0,169241.0,30.97785400372303,62.87365305521032,31.895799051487288,Republican
9,401197.0,12478.0,13156.0,0,426831.0,12478.0,401197.0,-388719.0,-91.07093908361857,2.9234052821842837,93.99434436580286,Democrat
10,113652.0,355598.0,55421.0,0,524671.0,355598.0,113652.0,241946.0,46.11385039386587,67.77542498060689,21.661574586741025,Republican
11,81034.0,360459.0,26117.0,0,467610.0,360459.0,81034.0,279425.0,59.755993242231774,77.08539167254763,17.329398430315862,Republican
12,122067.0,338166.0,71702.0,0,531935.0,338166.0,122067.0,216099.0,40.625076372113135,63.57280494797297,22.947728575859834,Republican
13,45559.0,427003.0,17661.0,0,490223.0,427003.0,45559.0,381444.0,77.81030265817802,87.10382825775208,9.293525599574073,Republican
14,92160.0,387801.0,17999.0,0,497960.0,387801.0,92160.0,295641.0,59.3704313599486,77.87794200337376,18.507510643425174,Republican
15,317854.0,108303.0,6515.0,0,432672.0,108303.0,317854.0,-209551.0,-48.43183751201835,25.03120146438873,73.46303897640706,Democrat
16,465243.0,3129.0,3622.0,0,471994.0,3129.0,465243.0,-462114.0,-97.90675305194557,0.6629321559172363,98.56968520786282,Democrat
17,105915.0,352667.0,25863.0,0,484445.0,352667.0,105915.0,246752.0,50.934987459876766,72.79815046083662,21.86316300095986,Republican
18,390548.0,18279.0,15130.0,0,423957.0,18279.0,390548.0,-372269.0,-87.80819752946644,4.311522159086889,92.11971968855333,Democrat
19,19597.0,439232.0,5488.0,0,464317.0,439232.0,19597.0,419635.0,90.37683306878705,94.59744097243909,4.220607903652031,Republican
20,417140.0,10417.0,29054.0,0,456611.0,10417.0,417140.0,-406723.0,-89.07428861766361,2.2813729848820987,91.35566160254571,Democrat
21,168706.0,368573.0,74918.0,0,612197.0,368573.0,168706.0,199867.0,32.6474974558843,60.20496670189498,27.55746924601068,Republican
22,115679.0,338965.0,68037.0,0,522681.0,338965.0,115679.0,223286.0,42.719364201109286,64.85121900356049,22.13185480245121,Republican
23,282037.0,192419.0,49100.0,0,523556.0,192419.0,282037.0,-89618.0,-17.117175622092002,36.752324488688885,53.86950011078089,Democrat
24,152779.0,306732.0,84273.0,0,543784.0,306732.0,152779.0,153953.0,28.31142512468186,56.40695570299972,28.095530578317863,Republican
25,124031.0,364985.0,35919.0,0,524935.0,364985.0,124031.0,240954.0,45.9016830655224,69.52956080276606,23.627877737243658,Republican
26,113978.0,397494.0,67964.0,0,579436.0,397494.0,113978.0,283516.0,48.92964883093215,68.60015601377891,19.67050718284677,Republican
27,139715.0,291125.0,56914.0,0,487754.0,291125.0,139715.0,151410.0,31.042287710608218,59.6868503384903,28.644562627882088,Republican
28,335129.0,116098.0,24694.0,0,475921.0,116098.0,335129.0,-219031.0,-46.02255416340107,24.39438478234833,70.4169389457494,Democrat
29,307638.0,17714.0,14220.0,0,339572.0,17714.0,307638.0,-289924.0,-85.37924210476717,5.216566736951221,90.5958088417184,Democrat
30,456376.0,6456.0,5058.0,0,467890.0,6456.0,456376.0,-449920.0,-96.15935369424437,1.379811494154609,97.53916518839898,Democrat
31,120727.0,380491.0,64888.0,0,566106.0,380491.0,120727.0,259764.0,45.886106135600045,67.21197090297576,21.32586476737572,Republican
32,355874.0,29499.0,27979.0,0,413352.0,29499.0,355874.0,-326375.0,-78.95812769745882,7.136532543691574,86.0946602411504,Democrat
33,319536.0,15378.0,12238.0,0,347152.0,15378.0,319536.0,-304158.0,-87.61522330276075,4.429759874637047,92.0449831773978,Democrat
34,395106.0,17072.0,9345.0,0,421523.0,17072.0,395106.0,-378034.0,-89.68288800373882,4.050075559340771,93.7329635630796,Democrat
35,447585.0,27696.0,13410.0,0,488691.0,27696.0,447585.0,-419889.0,-85.92116490788658,5.6673849119382185,91.58854981982479,Democrat
36,122412.0,328470.0,43467.0,0,494349.0,328470.0,122412.0,206058.0,41.68269785111328,66.44496094864155,24.762263097528265,Republican
37,538731.0,7564.0,9062.0,0,555357.0,7564.0,538731.0,-531167.0,-95.64424325253846,1.3620067812236094,97.00625003376206,Democrat
38,109257.0,326204.0,86281.0,0,521742.0,326204.0,109257.0,216947.0,41.581279636295335,62.52208946184129,20.94080982554596,Republican
