district,Democrat,Republican,Swing,Unknown,total_voters,republican_voters,democrat_voters,net_advantage_2026,net_advantage_pct_2026,rep_pct_2026,dem_pct_2026,advantage_2026
1,7072.0,117325.0,2294.0,0.0,126691.0,117325.0,7072.0,110253.0,87.02512412089256,92.60720966761649,5.582085546723919,Republican
2,638.0,119177.0,747.0,0.0,120562.0,119177.0,638.0,118539.0,98.322025182064,98.85121348351885,0.5291883014548531,Republican
3,180.0,33377.0,540.0,0.0,34097.0,33377.0,180.0,33197.0,97.36047159574156,97.88837727659325,0.5279056808516879,Republican
4,20964.0,38426.0,1762.0,0.0,61152.0,38426.0,20964.0,17462.0,28.55507587650445,62.83686551543695,34.281789638932494,Republican
5,614.0,50420.0,100.0,0.0,51134.0,50420.0,614.0,49806.0,97.40290217858958,98.60366879180194,1.200766613212344,Republican
6,16.0,7119.0,15.0,0.0,7150.0,7119.0,16.0,7103.0,99.34265734265735,99.56643356643356,0.22377622377622378,Republican
7,505.0,33366.0,214.0,0.0,34085.0,33366.0,505.0,32861.0,96.40897755610972,97.89056769840106,1.4815901422913305,Republican
8,800.0,67775.0,318.0,0.0,68893.0,67775.0,800.0,66975.0,97.21597259518383,98.37719361909048,1.1612210239066378,Republican
9,15678.0,179691.0,7250.0,0.0,202619.0,179691.0,15678.0,164013.0,80.94650551034206,88.68418065433153,7.737675143989459,Republican
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Competitive
11,41.0,16313.0,36.0,0.0,16390.0,16313.0,41.0,16272.0,99.28004881025015,99.53020134228187,0.25015253203172666,Republican
12,32922.0,84995.0,3023.0,0.0,120940.0,84995.0,32922.0,52073.0,43.05688771291549,70.27865057053084,27.221762857615346,Republican
13,154.0,15790.0,1856.0,0.0,17800.0,15790.0,154.0,15636.0,87.84269662921348,88.70786516853933,0.8651685393258427,Republican
14,87078.0,234460.0,14925.0,0.0,336463.0,234460.0,87078.0,147382.0,43.803330529657046,69.68373937104526,25.88040884138821,Republican
15,45.0,6012.0,8.0,0.0,6065.0,6012.0,45.0,5967.0,98.38417147568012,99.12613355317394,0.741962077493817,Republican
16,160.0,48328.0,70.0,0.0,48558.0,48328.0,160.0,48168.0,99.19683677251946,99.52633963507557,0.3295028625561185,Republican
17,353.0,13734.0,360.0,0.0,14447.0,13734.0,353.0,13381.0,92.62130546134145,95.06471931888973,2.44341385754828,Republican
18,212.0,57436.0,207.0,0.0,57855.0,57436.0,212.0,57224.0,98.90934232132055,99.27577564601158,0.36643332469103795,Republican
19,4834.0,66389.0,270.0,0.0,71493.0,66389.0,4834.0,61555.0,86.09933839676611,92.86083952275048,6.7615011259843625,Republican
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Competitive
21,2984.0,108441.0,4726.0,0.0,116151.0,108441.0,2984.0,105457.0,90.79301943160196,93.36208900482991,2.5690695732279534,Republican
22,20301.0,197983.0,8769.0,0.0,227053.0,197983.0,20301.0,177682.0,78.25573764715728,87.19682188740074,8.941084240243468,Republican
23,22627.0,123578.0,10653.0,0.0,156858.0,123578.0,22627.0,100951.0,64.35820933583241,78.78335819658545,14.425148860753037,Republican
24,13893.0,131245.0,2996.0,0.0,148134.0,131245.0,13893.0,117352.0,79.22016552580772,88.59883618885604,9.37867066304832,Republican
25,16743.0,91383.0,3569.0,0.0,111695.0,91383.0,16743.0,74640.0,66.82483548950266,81.81476341823716,14.9899279287345,Republican
26,23618.0,78644.0,25456.0,0.0,127718.0,78644.0,23618.0,55026.0,43.08398189761819,61.576285253449,18.492303355830813,Republican
27,128023.0,4024.0,5833.0,0.0,137880.0,4024.0,128023.0,-123999.0,-89.9325500435161,2.91847983753989,92.851029881056,Democrat
28,29284.0,91716.0,25300.0,0.0,146300.0,91716.0,29284.0,62432.0,42.67395762132604,62.69036226930964,20.016404647983595,Republican
29,4165.0,74854.0,1142.0,0.0,80161.0,74854.0,4165.0,70689.0,88.18378014246329,93.37957360811367,5.195793465650379,Republican
