district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
1,19914,2878,337278,360070,5.530591273918961,0.7992890271336129,93.67011969894743,19914,0,2878,0
2,18251,10413,687284,715948,2.549207484342438,1.4544352383133972,95.99635727734417,18251,0,10413,0
3,9865,1457,210657,221979,4.4441140828636945,0.6563683952085558,94.89951752192775,9865,0,1457,0
4,24277,6617,495222,526116,4.614381619262672,1.2577074257388103,94.12791095499851,24277,0,6617,0
5,10576,5199,327722,343497,3.07892063103899,1.5135503366841632,95.40752903227686,10576,0,5199,0
6,5272,3423,202246,210941,2.499277049032668,1.6227286302805048,95.87799432068684,5272,0,3423,0
7,14812,12698,688108,715618,2.0698193729056564,1.7744103697782894,96.15577025731605,14812,0,12698,0
8,15677,10352,668331,694360,2.2577625439253413,1.4908692897056284,96.25136816636903,15677,0,10352,0
9,12671,16378,656782,685831,1.84753970001356,2.388051867005137,95.76440843298131,12671,0,16378,0
10,15327,6129,347520,368976,4.153928710810459,1.6610836477169246,94.18498764147262,15327,0,6129,0
11,9608,740,152891,163239,5.885848357316573,0.45332304167508986,93.66082860100833,9608,0,740,0
12,11743,5725,416521,433989,2.7058289495816714,1.3191578588397401,95.97501319157858,11743,0,5725,0
13,18913,2493,366945,388351,4.870078871948315,0.6419450445602046,94.48797608349147,18913,0,2493,0
14,20856,7668,489552,518076,4.025664188265814,1.480091723994163,94.49424408774001,20856,0,7668,0
15,8982,1348,149525,159855,5.618842075631041,0.843264208188671,93.53789371618029,8982,0,1348,0
16,38541,19373,1334477,1392391,2.7679725019768155,1.391347688975295,95.84067980904788,38541,0,19373,0
17,21074,3672,426710,451456,4.668007513467536,0.8133683016728097,94.51862418485966,21074,0,3672,0
18,22834,19512,996236,1038582,2.1985745949766122,1.878715402346661,95.92271000267672,22834,0,19512,0
19,10412,594,176036,187042,5.566664171683365,0.31757573165385317,94.11576009666278,10412,0,594,0
20,4312,8691,443608,456611,0.9443486906798128,1.9033707028520994,97.15228060646808,4312,0,8691,0
21,21568,10979,492956,525503,4.104258205947445,2.089236407784542,93.80650538626801,21568,0,10979,0
22,15797,5742,410383,431922,3.657373322034997,1.3294066984316613,95.01321997953333,15797,0,5742,0
23,9893,5702,363563,379158,2.6092024960570526,1.503858549733884,95.88693895420907,9893,0,5702,0
24,21370,9878,512536,543784,3.9298692127756607,1.816530092830977,94.25360069439336,21370,0,9878,0
25,15323,4834,348446,368603,4.157047012639615,1.3114380512366963,94.53151493612368,15323,0,4834,0
26,16457,4998,519422,540877,3.0426511018216713,0.9240548220759988,96.03329407610232,16457,0,4998,0
27,6308,1617,139983,147908,4.264813262298185,1.093247153636044,94.64193958406577,6308,0,1617,0
28,5929,12646,396516,415091,1.428361491817457,3.0465608746034003,95.52507763357914,5929,0,12646,0
29,18502,12008,847734,878244,2.106703831736966,1.3672737872390817,96.52602238102396,18502,0,12008,0
30,2773,18400,446717,467890,0.5926606681057514,3.9325482485199514,95.4747910833743,2773,0,18400,0
31,18501,5487,445015,469003,3.944750886454884,1.1699285505636425,94.88532056298148,18501,0,5487,0
32,6517,10207,379588,396312,1.6444114737883284,2.57549607380044,95.78009245241124,6517,0,10207,0
33,2098,6823,338231,347152,0.6043462229801355,1.965421486841499,97.43023229017837,2098,0,6823,0
34,6188,775,93908,100871,6.134567913473645,0.7683080369977496,93.0971240495286,6188,0,775,0
35,4204,10227,491428,505859,0.8310616199375715,2.0217096068271987,97.14722877323523,4204,0,10227,0
36,25480,8170,681777,715427,3.5615094202483273,1.1419753517829212,95.29651522796875,25480,0,8170,0
37,7322,25058,558284,590664,1.2396218493085749,4.242344209228936,94.51803394146249,7322,0,25058,0
38,26528,9722,769604,805854,3.291911438052054,1.2064220069640408,95.50166655498391,26528,0,9722,0
