district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
0,0,1,101,102,0.0,0.9803921568627451,99.01960784313727,0,0,1,0
1,28175,4182,491909,524266,5.374180282528335,0.7976866705069564,93.82813304696471,28175,0,4182,0
2,16000,4710,496714,517424,3.0922415659111286,0.9102786109650886,95.99747982312378,16000,0,4710,0
3,19302,6223,547337,572862,3.369397865454507,1.0863000164088386,95.54430211813666,19302,0,6223,0
4,21552,5018,514948,541518,3.9799231050491395,0.9266543309733011,95.09342256397755,21552,0,5018,0
5,17502,5962,473923,497387,3.5187891923190593,1.1986642192095893,95.28254658847135,17502,0,5962,0
6,18001,4699,451033,473733,3.799819729678954,0.9919089444898287,95.20827132583122,18001,0,4699,0
7,6140,9522,414835,430497,1.4262584872833028,2.211862103568666,96.36187940914803,6140,0,9522,0
8,19257,3693,523394,546344,3.5247023853103543,0.6759477545282826,95.79934986016137,19257,0,3693,0
9,3363,14259,409209,426831,0.7878996605213773,3.340666446438989,95.87143389303964,3363,0,14259,0
10,22289,6439,496125,524853,4.246712889132766,1.2268196999921883,94.52646741087504,22289,0,6439,0
11,20937,2409,444288,467634,4.477219363861481,0.5151464606936194,95.0076341754449,20937,0,2409,0
12,17436,6094,508405,531935,3.277844097493115,1.14562869523532,95.57652720727157,17436,0,6094,0
13,26233,2634,461389,490256,5.350877908684443,0.537270324075585,94.11185176723997,26233,0,2634,0
14,20160,6828,471000,497988,4.048290320248681,1.371117376322321,94.580592303429,20160,0,6828,0
15,6588,10497,415587,432672,1.522631462169958,2.4260871976924783,96.05128134013756,6588,0,10497,0
16,2904,11794,457296,471994,0.6152620584159968,2.4987605774649677,96.88597736411904,2904,0,11794,0
17,21895,4479,458072,484446,4.51959557928025,0.9245612514088258,94.55584316931093,21895,0,4479,0
18,2872,11364,409721,423957,0.6774271919086133,2.6804605184016306,96.64211228968975,2872,0,11364,0
19,22486,1817,440956,465259,4.833006991804565,0.3905351642848392,94.7764578439106,22486,0,1817,0
20,4312,8691,443608,456611,0.9443486906798128,1.9033707028520994,97.15228060646808,4312,0,8691,0
21,29588,11992,570619,612199,4.833068985738297,1.9588401810522393,93.20809083320947,29588,0,11992,0
22,19547,6756,496382,522685,3.739728517175737,1.2925567024115863,94.96771478041268,19547,0,6756,0
23,13124,13678,496839,523641,2.506297253270848,2.612094927631717,94.88160781909744,13124,0,13678,0
24,21370,9878,512536,543784,3.9298692127756607,1.816530092830977,94.25360069439336,21370,0,9878,0
25,23964,5468,495530,524962,4.56490184051417,1.041599201466011,94.39349895801982,23964,0,5468,0
26,18268,5108,556060,579436,3.152720921723883,0.8815468835212172,95.9657321947549,18268,0,5108,0
27,16891,5451,465420,487762,3.462959394130744,1.1175532329291744,95.41948737294008,16891,0,5451,0
28,5839,14790,455487,476116,1.2263818061144764,3.1063858387451795,95.66723235514034,5839,0,14790,0
29,1704,5138,332730,339572,0.5018081585054127,1.5130811727704288,97.98511066872416,1704,0,5138,0
30,2773,18400,446717,467890,0.5926606681057514,3.9325482485199514,95.4747910833743,2773,0,18400,0
31,20655,6339,539113,566107,3.648603532547734,1.119752979560401,95.23164348789187,20655,0,6339,0
32,6050,10813,396489,413352,1.4636435773868277,2.6159302483113667,95.92042617430181,6050,0,10813,0
33,2098,6823,338231,347152,0.6043462229801355,1.965421486841499,97.43023229017837,2098,0,6823,0
34,2206,9705,409615,421526,0.5233366387838473,2.3023490840422656,97.17431427717389,2206,0,9705,0
35,3031,10140,475520,488691,0.6202283242376061,2.0749307844834464,97.30484089127894,3031,0,10140,0
36,17721,5370,471315,494406,3.584301161393672,1.0861518670889918,95.32954697151733,17721,0,5370,0
37,5361,24895,525101,555357,0.9653250071575581,4.4827021177368795,94.55197287510556,5361,0,24895,0
38,17146,6587,498009,521742,3.2862985920244108,1.2625013895756907,95.4512000183999,17146,0,6587,0
