district,old_expected_republican_voters_known,new_republican_voters_known,net_republican_change_known,pct_republican_change_known,old_expected_democrat_voters_known,new_democrat_voters_known,net_democrat_change_known,pct_democrat_change_known,old_expected_other_voters_known,new_other_voters_known,net_other_change_known,new_rep_known_known,new_rep_modeled_known,new_dem_known_known,new_dem_modeled_known,old_expected_republican_pct_known,new_republican_pct_known,old_expected_democrat_pct_known,new_democrat_pct_known,old_expected_republican_voters_modeled,new_republican_voters_modeled,net_republican_change_modeled,pct_republican_change_modeled,old_expected_democrat_voters_modeled,new_democrat_voters_modeled,net_democrat_change_modeled,pct_democrat_change_modeled,old_expected_other_voters_modeled,new_other_voters_modeled,net_other_change_modeled,new_rep_known_modeled,new_rep_modeled_modeled,new_dem_known_modeled,new_dem_modeled_modeled,old_expected_republican_pct_modeled,new_republican_pct_modeled,old_expected_democrat_pct_modeled,new_democrat_pct_modeled,rep_voters_diff,dem_voters_diff,net_advantage_diff
1,17432.635319906338,19914.0,2481.364680093662,14.234019323860863,3754.734195463704,2878.0,-876.734195463704,-23.35010016216151,338882.63048462995,337278.0,-1604.6304846299463,19914.0,0.0,2878.0,0.0,4.841457305497913,5.530591273918961,1.042778958386898,0.7992890271336129,288632.02207471535,316382.0,27749.97792528465,9.614310195318968,59173.03079870271,31397.0,-27776.03079870271,-46.94035513102645,774.9471265819375,801.0,26.052873418062518,19914.0,296468.0,2878.0,28519.0,82.80223250752061,90.76309598944289,16.975452062282034,9.007114579149693,296468.0,28519.0,267949.0
2,20251.184337522765,18251.0,-2000.1843375227654,-9.876875861609182,9749.59451704355,10413.0,663.4054829564502,6.8044417826478,685947.2211454337,687284.0,1336.778854566277,18251.0,0.0,10413.0,0.0,2.8285831285963177,2.549207484342438,1.3617741116734106,1.4544352383133972,393618.96050312225,326965.0,-66653.96050312225,-16.933625457962037,255389.58149373747,321822.0,66432.41850626253,26.01218817060145,1717.4580031402875,1939.0,221.54199685971253,18251.0,308714.0,10413.0,311409.0,60.48920136941236,50.246186567003626,39.2468691113829,49.45583855570547,308714.0,311409.0,-2695.0
3,8910.422825438522,9865.0,954.5771745614784,10.713040147053846,2485.175759806114,1457.0,-1028.175759806114,-41.37235588867683,210583.40141475535,210657.0,73.59858524464653,9865.0,0.0,1457.0,0.0,4.014083686041707,4.4441140828636945,1.1195544442519851,0.6563683952085558,164669.25842706658,195778.0,31108.741572933417,18.891650979719294,44852.93816243763,13872.0,-30980.938162437633,-69.07226021679625,691.8034104957842,564.0,-127.80341049578419,9865.0,185913.0,1457.0,12415.0,78.33410639970057,93.13271237881398,21.336798768130397,6.5989896010731925,185913.0,12415.0,173498.0
4,19725.720802456373,24277.0,4551.279197543627,23.072815655876425,6383.6610617195865,6617.0,233.33893828041346,3.6552526210963685,500006.61813582404,495222.0,-4784.618135824043,24277.0,0.0,6617.0,0.0,3.749310190615068,4.614381619262672,1.2133561917371047,1.2577074257388103,378579.63040430384,463807.0,85227.36959569616,22.51240234575686,135957.63136965054,51097.0,-84860.63136965054,-62.41696807656635,1798.7382260456216,1432.0,-366.73822604562156,24277.0,439530.0,6617.0,44480.0,73.32040190966809,89.82658578909857,26.33123225373604,9.896075423755073,439530.0,44480.0,395050.0
5,12149.962432174401,10576.0,-1573.9624321744013,-12.954463365305397,4097.946884435367,5199.0,1101.0531155646331,26.8684086596291,327249.0906833902,327722.0,472.9093166097882,10576.0,0.0,5199.0,0.0,3.5371378591878244,3.07892063103899,1.1930080566745465,1.5135503366841632,190058.3162910563,140798.0,-49260.31629105631,-25.918527140700753,118998.38154876078,168183.0,49184.61845123922,41.33217427926558,613.3021601829096,689.0,75.69783981709043,10576.0,130222.0,5199.0,162984.0,61.37446839895899,45.467110149514,38.42748136686175,54.31039493654536,130222.0,162984.0,-32762.0
6,8006.60663441062,5272.0,-2734.6066344106202,-34.15437724463553,2184.576212481399,3423.0,1238.4237875186009,56.68942930180082,200749.817153108,202246.0,1496.182846892014,5272.0,0.0,3423.0,0.0,3.7956616468162285,2.499277049032668,1.0356337613272901,1.6227286302805048,136682.82074363282,79953.0,-56729.82074363282,-41.5047190531993,58983.02354529463,115734.0,56750.97645470537,96.21578047982703,412.155711072548,391.0,-21.155711072548,5272.0,74681.0,3423.0,112311.0,69.708391937715,40.77611970746335,30.081408187198274,59.024469853833686,74681.0,112311.0,-37630.0
7,15396.014026103287,14812.0,-584.0140261032866,-3.7932806836439332,13388.221793083609,12698.0,-690.2217930836086,-5.155440384474203,686833.7641808131,688108.0,1274.2358191868989,14812.0,0.0,12698.0,0.0,2.151429118063448,2.0698193729056564,1.8708615201243692,1.7744103697782894,201636.25266698573,197717.0,-3919.2526669857325,-1.9437242138488913,453237.0813356277,457280.0,4042.9186643722933,0.8920096856281848,1974.6659973865608,1851.0,-123.66599738656078,14812.0,182905.0,12698.0,444582.0,30.697551437621147,30.100875697269387,69.0018210203316,69.61732394709279,182905.0,444582.0,-261677.0
8,22358.317978922325,15677.0,-6681.317978922325,-29.88291867581877,8617.563895073918,10352.0,1734.4361049260824,20.126756540993483,663384.1181260038,668331.0,4946.88187399623,15677.0,0.0,10352.0,0.0,3.2199893396685186,2.2577625439253413,1.241080116232778,1.4908692897056284,386427.5494894458,279552.0,-106875.54948944581,-27.657331789788664,264601.1031240503,371358.0,106756.8968759497,40.346353668034375,1571.3473865038832,1690.0,118.65261349611683,15677.0,263875.0,10352.0,361006.0,59.213538076838155,42.83665338645418,40.54567930187715,56.90438247011952,263875.0,361006.0,-97131.0
9,13949.782461118406,12671.0,-1278.782461118406,-9.167042315410281,16114.137225175687,16378.0,263.8627748243125,1.6374613864654841,655767.0803137058,656782.0,1014.9196862941608,12671.0,0.0,16378.0,0.0,2.0339970723280816,1.84753970001356,2.3495784275099387,2.388051867005137,221221.7695946557,220340.0,-881.7695946556923,-0.39859078800036607,436718.5232125027,437705.0,986.4767874972895,0.22588388975140405,1374.707192841568,1270.0,-104.70719284156803,12671.0,207669.0,16378.0,421327.0,33.55327417010923,33.41953391019467,66.23822045797574,66.38784192684832,207669.0,421327.0,-213658.0
10,15005.644752257373,15327.0,321.3552477426274,2.141562412333428,4757.283384359368,6129.0,1371.716615640632,28.83403204758533,349213.07186338323,347520.0,-1693.0718633832294,15327.0,0.0,6129.0,0.0,4.0668349031528805,4.153928710810459,1.2893205477752938,1.6610836477169246,229153.3634080897,207455.0,-21698.363408089703,-9.468926436592593,84760.50514374852,105934.0,21173.494856251476,24.980378326370932,1030.1314481617737,1555.0,524.8685518382263,15327.0,192128.0,6129.0,99805.0,72.76003461189599,65.87044045925626,26.912881383277195,33.635820971347286,192128.0,99805.0,92323.0
11,7313.345616247857,9608.0,2294.654383752143,31.376260663165883,1091.131809176415,740.0,-351.1318091764149,-32.180512585500445,154834.52257457573,152891.0,-1943.5225745757343,9608.0,0.0,740.0,0.0,4.48014605348468,5.885848357316573,0.6684259332490489,0.45332304167508986,130647.3631235684,156286.0,25638.6368764316,19.624304894835237,31701.06745585939,6099.0,-25602.06745585939,-80.76090021734362,327.5694205722102,291.0,-36.56942057221022,9608.0,146678.0,740.0,5359.0,80.31139388942954,96.07194669158326,19.487243020395994,3.749170129582729,146678.0,5359.0,141319.0
