district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
0,23,58,0,81,28.39506172839506,71.60493827160494,0.0,0,23,1,57
1,466155,44886,1033,512074,91.03274136160007,8.765529981994788,0.20172865640512894,28175,437980,4182,40704
2,369594,92486,888,462968,79.83143543398248,19.976758652865854,0.1918059131516649,16000,353594,4710,87776
3,398573,76702,1789,477064,83.54707125249442,16.07792665135076,0.3750020961548136,19302,379271,6223,70479
4,409872,82359,1651,493882,82.9898639756055,16.67584564734086,0.3342903770536282,21552,388320,5018,77341
5,269381,179964,843,450188,59.83744568935645,39.975299208330746,0.18725510231281153,17502,251879,5962,174002
6,314528,133986,884,449398,69.98874049283708,29.814551911668495,0.19670759549441696,18001,296527,4699,129287
7,36097,359184,1152,396433,9.105447831033239,90.60396082061786,0.2905913483489013,6140,29957,9522,349662
8,343507,174256,611,518374,66.26624792138495,33.61588351267618,0.11786856593887811,19257,324250,3693,170563
9,12478,401197,539,414214,3.0124525003983447,96.85742152607106,0.13012597353059047,3363,9115,14259,386938
10,355774,113652,1570,470996,75.53652260316436,24.13014123262193,0.3333361642137088,22289,333485,6439,107213
11,360479,81034,709,442222,81.51539272130287,18.324280564965107,0.16032671373201696,20937,339542,2409,78625
12,338166,122067,1269,461502,73.27508873200983,26.449939545224073,0.2749717227660985,17436,320730,6094,115973
13,427031,45559,1028,473618,90.16359175538092,9.619355683272172,0.21705256134690828,26233,400798,2634,42925
14,387829,92160,1561,481550,80.53763887446786,19.138199563908213,0.32416156162392273,20160,367669,6828,85332
15,108303,317854,1651,427808,25.315795871044955,74.29828334205999,0.3859207868950557,6588,101715,10497,307357
16,3129,465243,1015,469387,0.6666141158574908,99.11714640584421,0.21623947829829118,2904,225,11794,453449
17,352668,105915,1312,459895,76.68446058339403,23.03025690646778,0.28528251013818373,21895,330773,4479,101436
18,18279,390548,485,409312,4.4657864905011335,95.41572199202565,0.11849151747322335,2872,15407,11364,379184
19,440147,19599,991,460737,95.53107304167018,4.253836787581636,0.21509017074817088,22486,417661,1817,17782
20,10417,417140,731,428288,2.4322418559474,97.397078601315,0.17067954273759714,4312,6105,8691,408449
21,368574,168706,2823,540103,68.24142802391395,31.23589389431275,0.5226780817732913,29588,338986,11992,156714
22,338967,115679,1226,455872,74.35574020777761,25.375324652534044,0.26893513968833355,19547,319420,6756,108923
23,192421,282106,2673,477200,40.32292539815591,59.11693210393965,0.5601424979044426,13124,179297,13678,268428
24,306732,152779,2340,461851,66.41362690564706,33.07971618552304,0.506656908829904,21370,285362,9878,142901
25,365005,124031,1191,490227,74.45632329512655,25.300728030075863,0.24294867479759374,23964,341041,5468,118563
26,397494,113978,1258,512730,77.52501316482359,22.2296335303181,0.2453533048583075,18268,379226,5108,108870
27,291129,139718,1350,432197,67.3602546986675,32.32738774216388,0.31235755916861985,16891,274238,5451,134267
28,116099,335311,1500,452910,25.634011172197567,74.03479720032678,0.3311916274756574,5839,110260,14790,320521
29,17714,307638,256,325608,5.4402840225055895,94.4810938306184,0.07862214687599813,1704,16010,5138,302500
30,6456,456376,573,463405,1.3931658052891098,98.48318425567268,0.12364993903820631,2773,3683,18400,437976
31,380491,120727,1701,502919,75.65651725228119,24.00525730783685,0.33822543988196907,20655,359836,6339,114388
32,29499,355874,992,386365,7.6350083470293635,92.10823961797782,0.2567520349928177,6050,23449,10813,345061
33,15378,319536,368,335282,4.586586813488347,95.30365483384136,0.1097583526702895,2098,13280,6823,312713
34,17072,395109,1475,413656,4.127100779391571,95.51632274160173,0.3565764790067109,2206,14866,9705,385404
35,27696,447585,696,475977,5.818768553942732,94.0350058931419,0.14622555291537195,3031,24665,10140,437445
36,328492,122440,1013,451945,72.68406553894833,27.09179214284924,0.22414231820243616,17721,310771,5370,117070
37,7564,538731,2656,548951,1.3779007598128066,98.13826734990919,0.483831890278003,5361,2203,24895,513836
38,326204,109257,1188,436649,74.70622857260636,25.021699351195124,0.2720720761985027,17146,309058,6587,102670
