district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
0,5,1,315,321,1.557632398753894,0.3115264797507788,98.13084112149532,5,0,1,0
1,6395,739,128560,135694,4.712809704187363,0.5446077203118782,94.74258257550076,6395,0,739,0
2,6561,471,133380,140412,4.6726775489274415,0.3354414152636527,94.9918810358089,6561,0,471,0
3,5980,577,144532,151089,3.9579320797675543,0.38189411538894297,95.66017380484351,5980,0,577,0
4,5739,982,136206,142927,4.01533650045128,0.6870640256914369,95.29759947385729,5739,0,982,0
5,8124,798,125747,134669,6.032568742620796,0.5925639902278921,93.3748672671513,8124,0,798,0
6,7286,1402,120956,129644,5.62000555367005,1.0814229736817746,93.29857147264818,7286,0,1402,0
7,6128,1244,124362,131734,4.6517983208587,0.944327204821838,94.40387447431947,6128,0,1244,0
8,8269,733,111985,120987,6.8346185953862815,0.605850215312389,92.55953118930132,8269,0,733,0
9,9119,755,138006,147880,6.166486340275899,0.5105490938598864,93.32296456586423,9119,0,755,0
10,5639,1464,140643,147746,3.8166853924979356,0.9908897702814289,95.19242483722064,5639,0,1464,0
11,8382,732,117671,126785,6.611192175730568,0.5773553653823401,92.81145245888709,8382,0,732,0
12,8750,971,119970,129691,6.746805869335574,0.7487026856142678,92.50449144505016,8750,0,971,0
13,5758,786,116810,123354,4.667866465619275,0.6371905248309743,94.69494300954975,5758,0,786,0
14,4017,751,106426,111194,3.6126049966724825,0.6753961544687663,95.71199884885874,4017,0,751,0
15,5462,1050,137302,143814,3.7979612555105904,0.7301097250615378,95.47192901942788,5462,0,1050,0
16,7186,561,131700,139447,5.153212331566832,0.40230338408140726,94.44448428435176,7186,0,561,0
17,6765,1998,123251,132014,5.124456497038192,1.513475843471147,93.36206765949065,6765,0,1998,0
18,6790,458,132422,139670,4.861459153719482,0.327915801532183,94.81062504474833,6790,0,458,0
19,10223,2184,161929,174336,5.863963839941263,1.2527533039647578,92.88328285609398,10223,0,2184,0
20,6110,2709,150936,159755,3.8246064285937837,1.6957215736596662,94.47967199774655,6110,0,2709,0
21,6637,1106,120357,128100,5.181108508977362,0.8633879781420766,93.95550351288057,6637,0,1106,0
22,1326,3843,95853,101022,1.3125853774425373,3.8041218744431906,94.88329274811427,1326,0,3843,0
23,5423,1505,128441,135369,4.006087065724058,1.1117759605227195,94.88213697375322,5423,0,1505,0
24,5818,1522,140794,148134,3.92752507864501,1.0274481212955837,95.0450268000594,5818,0,1522,0
25,5625,1555,115837,123017,4.572538754806247,1.2640529357731045,94.16340830942065,5625,0,1555,0
26,4351,1509,121858,127718,3.406724189229396,1.1815092625941528,95.41176654817644,4351,0,1509,0
27,1635,5416,130829,137880,1.1858137510879025,3.9280533797505077,94.88613286916159,1635,0,5416,0
28,5050,1871,139379,146300,3.4518113465481886,1.2788790157211212,95.26930963773069,5050,0,1871,0
29,4813,1800,120877,127490,3.775198054749392,1.4118754412110754,94.81292650403952,4813,0,1800,0
30,7070,706,114546,122322,5.779827013946797,0.57716518696555,93.64300779908766,7070,0,706,0
31,2883,5310,113619,121812,2.366761895379766,4.359176435819131,93.2740616688011,2883,0,5310,0
32,4000,1617,124080,129697,3.0841114289459277,1.2467520451513912,95.66913652590267,4000,0,1617,0
33,5570,1615,135981,143166,3.8905885475601747,1.1280611318329772,94.98135032060685,5570,0,1615,0
