district,old_expected_republican_voters_known,new_republican_voters_known,net_republican_change_known,pct_republican_change_known,old_expected_democrat_voters_known,new_democrat_voters_known,net_democrat_change_known,pct_democrat_change_known,old_expected_other_voters_known,new_other_voters_known,net_other_change_known,new_rep_known_known,new_rep_modeled_known,new_dem_known_known,new_dem_modeled_known,old_expected_republican_pct_known,new_republican_pct_known,old_expected_democrat_pct_known,new_democrat_pct_known,old_expected_republican_voters_modeled,new_republican_voters_modeled,net_republican_change_modeled,pct_republican_change_modeled,old_expected_democrat_voters_modeled,new_democrat_voters_modeled,net_democrat_change_modeled,pct_democrat_change_modeled,old_expected_other_voters_modeled,new_other_voters_modeled,net_other_change_modeled,new_rep_known_modeled,new_rep_modeled_modeled,new_dem_known_modeled,new_dem_modeled_modeled,old_expected_republican_pct_modeled,new_republican_pct_modeled,old_expected_democrat_pct_modeled,new_democrat_pct_modeled,rep_voters_diff,dem_voters_diff,net_advantage_diff
1,5970.705742332011,6043.0,72.29425766798886,1.2108159535551404,689.9689669403216,670.0,-19.968966940321593,-2.8941833469517184,120030.32529072768,119978.0,-52.325290727676474,6043.0,0.0,670.0,0.0,4.712809704187363,4.769873155946358,0.5446077203118782,0.5288457743643984,117592.65761604327,117325.0,-267.6576160432742,-0.22761422479047486,6796.884632717441,7072.0,275.1153672825594,4.047668632747801,257.45775123928524,250.0,-7.457751239285244,6043.0,111282.0,670.0,6402.0,94.34054378849332,94.12581129108602,5.4529067147363675,5.67362230940175,111282.0,6402.0,104880.0
2,5346.344483877977,5720.0,373.6555161220231,6.988990650505028,619.6853655243392,542.0,-77.6853655243392,-12.53625950301516,114595.97015059768,114300.0,-295.97015059768455,5720.0,0.0,542.0,0.0,4.434518740463809,4.744446840629717,0.5139972508123117,0.44956122161211653,111806.33338124982,119177.0,7370.666618750183,6.592351610008401,8048.979472183141,638.0,-7410.979472183141,-92.07352929393228,217.68714656704196,258.0,40.312853432958036,5720.0,113457.0,542.0,96.0,93.11529934394062,99.25378727940503,6.703404988784441,0.53134343274508,113457.0,96.0,113361.0
3,1692.245282672563,1338.0,-354.245282672563,-20.933447786783216,160.41816196069934,155.0,-5.4181619606993365,-3.377524025008294,32244.336555366735,32604.0,359.6634446332646,1338.0,0.0,155.0,0.0,4.963032767318424,3.9240988943308794,0.47047588339355173,0.4545854474000645,32321.06507348678,33377.0,1055.9349265132187,3.267017730116234,1221.8408458035306,180.0,-1041.8408458035306,-85.26813041009241,57.094080709688114,43.0,-14.094080709688114,1338.0,32039.0,155.0,25.0,96.19364605204399,99.33630952380952,3.6364310887009834,0.5357142857142857,32039.0,25.0,32014.0
4,2106.2162648451567,1799.0,-307.21626484515673,-14.586169045073936,765.9903060111508,1633.0,867.0096939888492,113.18807655722838,58279.79342914369,57720.0,-559.7934291436904,1799.0,0.0,1633.0,0.0,3.444231202323974,2.9418498168498166,1.2526005789036347,2.670395081109367,47834.77363106464,38426.0,-9408.773631064643,-19.669317772112212,11600.51415112861,20964.0,9363.48584887139,80.7161279826586,216.7122178067475,262.0,45.2877821932525,1799.0,36627.0,1633.0,19331.0,80.18972311249354,64.41695165292028,19.446982751841695,35.143834238583786,36627.0,19331.0,17296.0
5,3199.340695649438,3185.0,-14.340695649438203,-0.4482390909145475,244.9390968823348,193.0,-51.93909688233481,-21.204902583308535,47689.72020746823,47756.0,66.27979253177182,3185.0,0.0,193.0,0.0,6.256777673660261,6.228732350295303,0.47901415277962767,0.3774396683224469,49897.39644517632,50420.0,522.6035548236832,1.0473563593601172,1135.9700249092919,614.0,-521.9700249092919,-45.94927801470568,100.63352991439137,100.0,-0.6335299143913744,3185.0,47235.0,193.0,421.0,97.58164126643001,98.60366879180194,2.2215551783730825,1.200766613212344,47235.0,421.0,46814.0
6,492.4792189424248,765.0,272.5207810575752,55.33650366868279,31.465395998042716,16.0,-15.465395998042716,-49.15048899751566,6626.0553850595325,6369.0,-257.05538505953245,765.0,0.0,16.0,0.0,6.887821243949997,10.6993006993007,0.44007546850409396,0.22377622377622378,7095.272112040816,7119.0,23.727887959184045,0.3344182941048498,35.49949884794345,16.0,-19.49949884794345,-54.928941198484246,19.228389111240595,15.0,-4.228389111240595,765.0,6354.0,16.0,0.0,99.23457499357784,99.56643356643356,0.49649648738382446,0.22377622377622378,6354.0,0.0,6354.0
7,1975.0856917121753,1994.0,18.914308287824724,0.9576449450873276,310.92198672332364,203.0,-107.92198672332364,-34.710310409588004,31798.992321564503,31888.0,89.00767843549693,1994.0,0.0,203.0,0.0,5.79458909113151,5.850080680651313,0.9121959416849748,0.5955698987824556,30778.26424111104,33366.0,2587.735758888961,8.40767282591745,3074.5043949426704,505.0,-2569.5043949426704,-83.57458844974536,110.23136394629046,92.0,-18.231363946290458,1994.0,31372.0,203.0,302.0,90.62292565765992,98.24220475223036,9.052511247365281,1.4869122280128375,31372.0,302.0,31070.0
8,4409.796468437848,3872.0,-537.7964684378476,-12.195494106973145,385.05429115253577,328.0,-57.05429115253577,-14.81720694028942,64098.14924040962,64693.0,594.8507595903793,3872.0,0.0,328.0,0.0,6.400935462874091,5.620309755708127,0.5589164227897403,0.4761006198017215,67631.21440445649,67775.0,143.78559554350795,0.2126024156295992,905.1472755128783,800.0,-105.14727551287831,-11.616593051478757,144.63832003062964,106.0,-38.63832003062964,3872.0,63903.0,328.0,472.0,98.47150508067223,98.68085787918056,1.3179005482052946,1.1648054046970777,63903.0,472.0,63431.0
9,11323.639091852127,13638.0,2314.3609081478735,20.438313949913518,1982.9642431453974,2049.0,66.0357568546026,3.330153686980055,189312.39666500248,186932.0,-2380.3966650024813,13638.0,0.0,2049.0,0.0,5.588636352885033,6.730859396206673,0.9786664839651749,1.0112575819641791,176284.14006351205,179691.0,3406.8599364879483,1.9325958281105247,19397.230732531745,15678.0,-3719.230732531745,-19.174029446863766,533.6292039562031,846.0,312.3707960437969,13638.0,166053.0,2049.0,13629.0,89.84233624519636,91.57862548734806,9.885702281951811,7.990214815381087,166053.0,13629.0,152424.0
11,1083.5743976022402,1089.0,5.425602397759803,0.5007134175342005,94.62854438616554,41.0,-53.628544386165544,-56.67269293218242,15211.797058011594,15260.0,48.202941988405655,1089.0,0.0,41.0,0.0,6.611192175730568,6.644295302013423,0.5773553653823401,0.25015253203172666,16070.054847785541,16313.0,242.94515221445909,1.5117879466848057,268.1321720987576,41.0,-227.13217209875762,-84.70903372800075,51.812980115701464,36.0,-15.812980115701464,1089.0,15224.0,41.0,0.0,98.04792463566528,99.53020134228187,1.635949799260266,0.25015253203172666,15224.0,0.0,15224.0
