district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
1,117325,7072,250,124647,94.12581129108602,5.67362230940175,0.2005663995122225,6043,111282,670,6402
2,119177,638,258,120073,99.25378727940503,0.53134343274508,0.21486928784989132,5720,113457,542,96
3,33377,180,43,33600,99.33630952380952,0.5357142857142857,0.1279761904761905,1338,32039,155,25
4,38426,20964,262,59652,64.41695165292028,35.143834238583786,0.43921410849594317,1799,36627,1633,19331
5,50420,614,100,51134,98.60366879180194,1.200766613212344,0.1955645949857238,3185,47235,193,421
6,7119,16,15,7150,99.56643356643356,0.22377622377622378,0.2097902097902098,765,6354,16,0
7,33366,505,92,33963,98.24220475223036,1.4869122280128375,0.2708830197567942,1994,31372,203,302
8,67775,800,106,68681,98.68085787918056,1.1648054046970777,0.1543367161223628,3872,63903,328,472
9,179691,15678,846,196215,91.57862548734806,7.990214815381087,0.43115969727085085,13638,166053,2049,13629
11,16313,41,36,16390,99.53020134228187,0.25015253203172666,0.21964612568639413,1089,15224,41,0
12,84995,32922,346,118263,71.86947735132712,27.83795438979224,0.2925682588806305,5813,79182,2278,30644
13,15790,154,153,16097,98.092812325278,0.9567000062123376,0.9504876685096602,1100,14690,154,0
14,234460,87078,854,322392,72.72512965582273,27.00997543363359,0.26489491054368597,12891,221569,3920,83158
15,6012,45,8,6065,99.12613355317394,0.741962077493817,0.13190436933223415,360,5652,45,0
16,48328,160,70,48558,99.52633963507557,0.3295028625561185,0.14415750236830183,2276,46052,160,0
17,13734,353,9,14096,97.43189557321226,2.504256526674234,0.06384790011350738,969,12765,9,344
18,57436,212,130,57778,99.4080791996954,0.3669216656859012,0.224999134618713,3152,54284,212,0
19,66389,4834,270,71493,92.86083952275048,6.7615011259843625,0.3776593512651588,5081,61308,973,3861
21,108441,2984,251,111676,97.10322719295104,2.6720154733335724,0.22475733371539094,6306,102135,635,2349
22,197983,20301,574,218858,90.46185197708103,9.275877509618107,0.26227051330086176,10544,187439,1891,18410
23,123578,22627,474,146679,84.25064255960294,15.426202796583013,0.3231546438140429,6632,116946,1618,21009
24,131245,13893,359,145497,90.20460902973944,9.54865048763892,0.24674048262163484,5818,125427,1522,12371
25,91383,16743,265,108391,84.30866031312563,15.446854443634619,0.24448524323975235,5207,86176,1678,15065
26,78644,23618,313,102575,76.66975383865464,23.025103582744332,0.3051425786010237,4351,74293,1509,22109
27,4024,128023,236,132283,3.041963064036951,96.77963154751555,0.17840538844749515,1635,2389,5416,122607
28,91716,29284,396,121396,75.55108899799005,24.122705855217635,0.32620514679231605,5050,86666,1871,27413
29,74854,4165,174,79193,94.52098038968091,5.259303221244302,0.21971638907479196,4464,70390,692,3473
30,81026,3066,309,84401,96.00123221288848,3.6326583808248722,0.3661094062866554,5343,75683,634,2432
31,35174,8548,119,43841,80.23083415068088,19.49773043498095,0.2714354143381766,2956,32218,1246,7302
32,89415,60282,390,150087,59.57544624118012,40.16470447140658,0.25984928741330027,4557,84858,1684,58598
33,211234,74431,937,286602,73.70290507393528,25.97016071067194,0.3269342153927747,12008,199226,6533,67898
34,168949,190989,985,360923,46.81026146851268,52.91682713487364,0.27291139661368213,8103,160846,5302,185687
35,133965,146819,608,281392,47.607963268323196,52.17596804457838,0.21606868709842497,7251,126714,4464,142355
36,144905,203438,818,349161,41.50091218664169,58.26481193489536,0.23427587846294404,7283,137622,5279,198159
37,42632,11503,225,54360,78.42531272994849,21.160779985283295,0.4139072847682119,2674,39958,680,10823
38,15596,79,46,15721,99.20488518542078,0.5025125628140703,0.29260225176515486,1080,14516,79,0
39,194766,231236,933,426935,45.619590804220785,54.16187475845269,0.21853443732652514,9952,184814,6049,225187
40,132627,172232,849,305708,43.38355554974028,56.3387284598375,0.277715990422233,6567,126060,5974,166258
41,170001,238206,1167,409374,41.52706327221563,58.18786732914156,0.2850693986428059,10012,159989,6909,231297
43,24979,8001,89,33069,75.53600048383683,24.194865281683754,0.2691342344794218,1610,23369,958,7043
44,112777,6474,227,119478,94.39143608028256,5.418570782905639,0.18999313681179797,4731,108046,1219,5255
45,9546,125676,413,135635,7.038006414273602,92.6574999078409,0.3044936778855015,2307,7239,3201,122475
46,28804,239,105,29148,98.8198161108824,0.8199533415671744,0.36023054755043227,1613,27191,211,28
49,54537,336,159,55032,99.10052333187963,0.6105538595726123,0.28892280854775404,3534,51003,336,0
51,10625,66,23,10714,99.16931118163151,0.6160164271047228,0.21467239126376705,596,10029,66,0
53,11996,48,27,12071,99.37867616601773,0.3976472537486538,0.22367658023361775,838,11158,48,0
54,26114,259,22,26395,98.9354044326577,0.9812464481909453,0.08334911915135441,1515,24599,149,110
55,13851,96,31,13978,99.09142938903992,0.6867935326942338,0.2217770782658463,923,12928,96,0
56,3371,24,18,3413,98.76941107530031,0.7031936712569586,0.527395253442719,348,3023,24,0
57,85834,30881,275,116990,73.36866398837508,26.39627318574237,0.23506282588255403,3964,81870,1305,29576
60,4791,49,58,4898,97.81543487137607,1.000408329930584,1.1841567986933441,639,4152,49,0
61,98857,44428,435,143720,68.7844419704982,30.91288616754801,0.3026718619537991,4566,94291,2062,42366
62,35877,357,126,36360,98.67161716171617,0.9818481848184818,0.34653465346534656,3028,32849,251,106
63,79122,37195,335,116652,67.82738401399033,31.88543702636903,0.2871789596406405,3563,75559,1518,35677
64,79613,38070,388,118071,67.42807293916371,32.24331122798994,0.3286158328463382,5308,74305,1421,36649
65,97652,30811,389,128852,75.78617328407785,23.911929966162727,0.3018967497594139,4378,93274,1541,29270
66,108465,40089,600,149154,72.7201415986162,26.877589605374315,0.40226879600949356,5428,103037,2316,37773
67,142339,59220,736,202295,70.36209496033021,29.274079932771446,0.3638251068983415,7766,134573,3612,55608
68,57486,166,88,57740,99.56009698649116,0.28749567024593004,0.15240734326290267,3878,53608,166,0
69,44959,205,129,45293,99.26257920649991,0.45260857086083944,0.2848122226392599,3401,41558,148,57
70,110573,81521,945,193039,57.28013510223323,42.2303265143313,0.4895383834354716,8737,101836,4035,77486
71,97763,311,209,98283,99.47091562121628,0.3164331573110304,0.212651221472686,4141,93622,311,0
72,87506,1847,172,89525,97.74476403239318,2.063110862887462,0.19212510471935212,3976,83530,383,1464
73,161339,9214,560,171113,94.28798513263166,5.384745752806626,0.32726911456172236,9122,152217,2424,6790
74,7988,9103,232,17323,46.11210529354038,52.54863476303181,1.3392599434278127,541,7447,585,8518
75,1158,4050,7,5215,22.20517737296261,77.66059443911793,0.1342281879194631,109,1049,86,3964
76,22181,90394,275,112850,19.655294638901196,80.10101905183873,0.24368630926007973,2448,19733,2205,88189
77,30466,28242,138,58846,51.77242293443904,47.99306664854026,0.2345104170206981,1771,28695,768,27474
78,60214,30952,207,91373,65.89911680693422,33.87433924682346,0.2265439462423254,3908,56306,1032,29920
79,24723,44204,163,69090,35.78376031263569,63.9803155304675,0.23592415689680127,1431,23292,1211,42993
80,17819,167,77,18063,98.64917234125006,0.9245418811936001,0.4262857775563306,1221,16598,135,32
81,98881,6850,242,105973,93.30772932728148,6.463910618742511,0.22836005397601275,4023,94858,362,6488
82,119607,5718,174,125499,95.30514187364044,4.556211603279707,0.1386465230798652,6642,112965,416,5302
83,5115,2101,16,7232,70.72732300884957,29.051438053097346,0.22123893805309736,375,4740,169,1932
84,1370,5607,39,7016,19.52679589509692,79.91733181299885,0.5558722919042189,128,1242,406,5201
85,87588,18612,222,106422,82.30253143147094,17.488865084287085,0.20860348424198003,5841,81747,1046,17566
86,101131,348,211,101690,99.45029009735471,0.3422165404661225,0.20749336217917197,6029,95102,348,0
87,63313,2113,148,65574,96.55198706804526,3.222313721901973,0.2256992100527648,3146,60167,338,1775
88,27221,42,41,27304,99.69601523586287,0.15382361558745972,0.15016114854966303,1882,25339,42,0
89,141745,32942,597,175284,80.8659090390452,18.793500832933983,0.34059012802081196,7530,134215,2595,30347
90,7845,82172,147,90164,8.700811853955015,91.13615190098044,0.16303624506454906,928,6917,1697,80475
91,90153,12110,238,102501,87.95328826060233,11.814518882742608,0.23219285665505704,3840,86313,1069,11041
92,21220,61474,214,82908,25.59463501712742,74.14724755150287,0.258117431369711,1758,19462,1300,60174
93,77748,29733,202,107683,72.20081164157759,27.611600716919106,0.18758764150330137,2468,75280,984,28749
94,60691,34863,470,96024,63.203990668999424,36.306548362909275,0.48946096809131046,4877,55814,2217,32646
95,5035,99974,147,105156,4.788124310548138,95.07208338088174,0.13979230857012437,864,4171,3372,96602
