district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
1,26889,2906,442970,472765,5.687603777775427,0.6146817129017588,93.69771450932282,26889,0,2906,0
2,18285,9684,492724,520693,3.5116661833364384,1.859829112356033,94.62850470430753,18285,0,9684,0
3,23092,2877,387890,413859,5.579678102928775,0.6951642950860075,93.72515760198522,23092,0,2877,0
4,13543,10780,581630,605953,2.2349918227981376,1.7790158642667007,95.98599231293517,13543,0,10780,0
5,10149,2332,198769,211250,4.804260355029586,1.103905325443787,94.09183431952663,10149,0,2332,0
6,39751,28522,1629509,1697782,2.341348889315589,1.6799565550818656,95.97869455560254,39751,0,28522,0
7,23952,12705,950501,987158,2.4263593062103532,1.2870280137526109,96.28661268003704,23952,0,12705,0
8,16484,6359,481714,504557,3.2670243401637475,1.2603135027360637,95.47266215710019,16484,0,6359,0
9,17853,6690,596205,620748,2.8760463183127456,1.07773202652284,96.04622165516442,17853,0,6690,0
10,11219,8142,380284,399645,2.807241426766255,2.0373081109484668,95.15545046228527,11219,0,8142,0
11,21124,9756,652269,683149,3.0921511998114615,1.4280925537474256,95.47975624644111,21124,0,9756,0
12,21977,9887,598510,630374,3.4863430281071235,1.5684339772896725,94.94522299460321,21977,0,9887,0
13,23318,31703,1271390,1326411,1.757976976970185,2.3901339780807005,95.85188904494912,23318,0,31703,0
14,971,25,11126,12122,8.01022933509322,0.2062365946213496,91.78353407028543,971,0,25,0
15,36501,33393,1552808,1622702,2.249396377153661,2.057863982419446,95.6927396404269,36501,0,33393,0
16,6726,10370,460482,477578,1.4083563313217944,2.171373053197593,96.4202706154806,6726,0,10370,0
17,26514,12158,771918,810590,3.270950788931519,1.4998951381092784,95.2291540729592,26514,0,12158,0
18,15697,7268,492173,515138,3.047144648618428,1.4108840737821708,95.5419712775994,15697,0,7268,0
19,7158,7209,483603,497970,1.4374359901198868,1.4476775709380083,97.11488643894211,7158,0,7209,0
20,12244,13380,599270,624894,1.9593723095436986,2.141163141268759,95.89946454918754,12244,0,13380,0
21,4917,9227,236392,250536,1.9625922023182296,3.6829038541367307,94.35450394354504,4917,0,9227,0
22,29946,7472,668257,705675,4.243596556488469,1.058844368866688,94.69755907464484,29946,0,7472,0
23,3606,21972,546452,572030,0.6303865181896054,3.841057287205216,95.52855619460517,3606,0,21972,0
24,18736,4109,397518,420363,4.457100172945763,0.9774885039834619,94.56541132307078,18736,0,4109,0
25,24992,8295,567173,600460,4.162142357525897,1.381440895313593,94.4564167471605,24992,0,8295,0
26,9628,13699,572806,596133,1.615075830393553,2.297977129264778,96.08694704034167,9628,0,13699,0
27,20105,8343,535300,563748,3.566309769613373,1.4799165584622918,94.95377367192434,20105,0,8343,0
28,12577,1411,211390,225378,5.580402701239695,0.6260593314343015,93.793537967326,12577,0,1411,0
29,11658,2243,240926,254827,4.574868440157441,0.8802050018247675,94.54492655801779,11658,0,2243,0
30,22305,4975,575996,603276,3.6973126728064765,0.8246640012200055,95.47802332597351,22305,0,4975,0
31,12758,741,221787,235286,5.422337070628937,0.3149358652873524,94.2627270640837,12758,0,741,0
