district,old_expected_republican_voters_known,new_republican_voters_known,net_republican_change_known,pct_republican_change_known,old_expected_democrat_voters_known,new_democrat_voters_known,net_democrat_change_known,pct_democrat_change_known,old_expected_other_voters_known,new_other_voters_known,net_other_change_known,new_rep_known_known,new_rep_modeled_known,new_dem_known_known,new_dem_modeled_known,old_expected_republican_pct_known,new_republican_pct_known,old_expected_democrat_pct_known,new_democrat_pct_known,old_expected_republican_voters_modeled,new_republican_voters_modeled,net_republican_change_modeled,pct_republican_change_modeled,old_expected_democrat_voters_modeled,new_democrat_voters_modeled,net_democrat_change_modeled,pct_democrat_change_modeled,old_expected_other_voters_modeled,new_other_voters_modeled,net_other_change_modeled,new_rep_known_modeled,new_rep_modeled_modeled,new_dem_known_modeled,new_dem_modeled_modeled,old_expected_republican_pct_modeled,new_republican_pct_modeled,old_expected_democrat_pct_modeled,new_democrat_pct_modeled,rep_voters_diff,dem_voters_diff,net_advantage_diff
1,23306.773970491675,26889.0,3582.226029508325,15.369892178315725,4107.016408337404,2906.0,-1201.0164083374038,-29.243038958872763,445351.20962117094,442970.0,-2381.209621170943,26889.0,0.0,2906.0,0.0,4.929885666344098,5.687603777775427,0.868722601786808,0.6146817129017588,405490.1477755628,449545.0,44054.85222443723,10.864592510104936,63014.11244589259,18958.0,-44056.11244589259,-69.91467583348351,1131.7397785446374,1133.0,1.2602214553626254,26889.0,422656.0,2906.0,16052.0,86.34136816078043,95.7220059790987,13.41764950853269,4.036743350169067,422656.0,16052.0,406604.0
2,17457.750145649705,18285.0,827.2498543502952,4.738582276917495,7264.463677434386,9684.0,2419.536322565614,33.30646872227365,495970.7861769159,492724.0,-3246.786176915921,18285.0,0.0,9684.0,0.0,3.3527914040806586,3.5116661833364384,1.395152936074498,1.859829112356033,277982.3866767331,245669.0,-32313.38667673309,-11.624256868587315,196867.30223405792,229138.0,32270.69776594208,16.39210645939317,1282.3110892089899,1325.0,42.68891079101013,18285.0,227384.0,9684.0,219454.0,58.383470692314965,51.59682609024389,41.3472109066515,48.124889736459636,227384.0,219454.0,7930.0
3,18951.278284493244,23092.0,4140.721715506756,21.849300365637465,4742.881474722827,2877.0,-1865.881474722827,-39.34067264103135,390164.84024078393,387890.0,-2274.840240783931,23092.0,0.0,2877.0,0.0,4.579163020374873,5.579678102928775,1.1460138536851505,0.6951642950860075,308726.72388332477,385289.0,76562.27611667523,24.799367917890372,95122.63871807775,18191.0,-76931.63871807775,-80.87626642285014,1139.6373985974788,1509.0,369.36260140252125,23092.0,362197.0,2877.0,15314.0,76.2308911805814,95.13567035154041,23.48770922619571,4.491726935793318,362197.0,15314.0,346883.0
4,15321.803877714083,13543.0,-1778.8038777140828,-11.609624375243401,9187.560589242452,10780.0,1592.439410757548,17.332559554732153,581443.6355330434,581630.0,186.36446695658378,13543.0,0.0,10780.0,0.0,2.528546583268683,2.2349918227981376,1.5162167015003558,1.7790158642667007,296709.0765811853,226594.0,-70115.07658118528,-23.630917324499322,263596.0414073242,333494.0,69897.9585926758,26.517074467239567,1544.8820114905247,1762.0,217.11798850947525,13543.0,213051.0,10780.0,322714.0,52.80930436614493,40.329981311738,46.91573220740842,59.35641185369761,213051.0,322714.0,-109663.0
5,8561.528427892115,10149.0,1587.4715721078846,18.541917900268267,2571.3929609380266,2332.0,-239.3929609380266,-9.309855186454959,200117.07861116988,198769.0,-1348.0786111698835,10149.0,0.0,2332.0,0.0,4.0527945220791075,4.804260355029586,1.2172274371304268,1.103905325443787,144780.66568179833,176303.0,31522.33431820167,21.772475053735455,59458.38703288434,28057.0,-31401.38703288434,-52.81237618423342,647.9472853173284,527.0,-120.94728531732835,10149.0,166154.0,2332.0,25725.0,70.66366615832061,86.04889524469586,29.020087674124927,13.693889802671716,166154.0,25725.0,140429.0
6,39575.443031867646,39751.0,175.5569681323541,0.44360076522956154,28994.794750772504,28522.0,-472.7947507725039,-1.6306194088851322,1629211.7622173599,1629509.0,297.2377826401498,39751.0,0.0,28522.0,0.0,2.3310085176935345,2.341348889315589,1.707804344183912,1.6799565550818656,677627.9457671071,687482.0,9854.05423289293,1.4541983243825152,911311.9785659444,901313.0,-9998.978565944359,-1.097206972049124,4025.075666948571,4170.0,144.92433305142913,39751.0,647731.0,28522.0,872791.0,42.53878432778542,43.15738261669277,57.20853744846524,56.58084138697335,647731.0,872791.0,-225060.0
7,26327.748551393914,23952.0,-2375.7485513939137,-9.02374370051529,13534.80777366036,12705.0,-829.8077736603609,-6.130916578477178,947295.4436749457,950501.0,3205.556325054262,23952.0,0.0,12705.0,0.0,2.667024787459952,2.4263593062103532,1.3710882932276658,1.2870280137526109,510585.9115402526,472910.0,-37675.91154025262,-7.378956349695991,364639.8965976014,402451.0,37811.103402398585,10.369436738878042,2015.1918621459627,1880.0,-135.19186214596266,23952.0,448958.0,12705.0,389746.0,58.20360785009509,53.908789032888336,41.566672852454616,45.87690269834629,448958.0,389746.0,59212.0
8,12362.60989553902,16484.0,4121.390104460979,33.3375406915344,8584.885595664751,6359.0,-2225.8855956647512,-25.927958746343606,483609.50450879626,481714.0,-1895.5045087962644,16484.0,0.0,6359.0,0.0,2.4501909388907537,3.2670243401637475,1.7014699222614595,1.2603135027360637,228207.93753326184,296244.0,68036.06246673816,29.813188446533218,233314.5064843415,165646.0,-67668.50648434149,-29.003128654104042,1461.555982396676,1094.0,-367.555982396676,16484.0,279760.0,6359.0,159287.0,49.290674738924416,63.9857964854077,50.39364351345651,35.77791025175816,279760.0,159287.0,120473.0
9,17853.000000000004,17853.0,-3.637978807091713e-12,-2.0377408878573418e-14,6689.999999999999,6690.0,9.094947017729282e-13,1.3594838591523592e-14,596205.0,596205.0,0.0,17853.0,0.0,6690.0,0.0,2.8760463183127456,2.8760463183127456,1.07773202652284,1.07773202652284,388345.0,388345.0,0.0,0.0,143200.0,143200.0,0.0,0.0,1475.0,1475.0,0.0,17853.0,370492.0,6690.0,136510.0,72.85749127612472,72.85749127612472,26.86578364789314,26.86578364789314,370492.0,136510.0,233982.0
10,14033.064280961009,11219.0,-2814.064280961009,-20.053099056767785,5847.8274228042565,8142.0,2294.1725771957435,39.23119496053118,379764.10829623474,380284.0,519.8917037652573,11219.0,0.0,8142.0,0.0,3.511382422139901,2.807241426766255,1.4632554949528347,2.0373081109484668,220365.09694676718,146297.0,-74068.09694676718,-33.61153738636729,131710.87059091387,205649.0,73938.12940908613,56.1366947749769,811.0324623189517,941.0,129.96753768104827,11219.0,135078.0,8142.0,197507.0,62.4463629849689,41.45718034384945,37.32380920547197,58.2761620575425,135078.0,197507.0,-62429.0
11,21144.233432197805,21124.0,-20.233432197805087,-0.09569243672364221,10319.678080572861,9756.0,-563.6780805728613,-5.462167290218133,651685.0884872293,652269.0,583.91151277069,21124.0,0.0,9756.0,0.0,3.0951129888498414,3.0921511998114615,1.5106042869963743,1.4280925537474256,400150.64798624726,430661.0,30510.352013752738,7.624716383016164,216211.34233102266,185553.0,-30658.342331022664,-14.179802965232186,1630.009682730073,1778.0,147.9903172699269,21124.0,409537.0,9756.0,175797.0,64.75013398009153,69.68714805369649,34.98610699345989,30.025145956581962,409537.0,175797.0,233740.0
12,22881.667207726277,21977.0,-904.6672077262774,-3.953676974293225,9243.316650586758,9887.0,643.6833494132425,6.963770405640945,598249.0161416869,598510.0,260.9838583130622,21977.0,0.0,9887.0,0.0,3.6298558011158897,3.4863430281071235,1.466322635544416,1.5684339772896725,365194.08567547804,346260.0,-18934.08567547804,-5.184663831687409,192737.87435643177,211556.0,18818.12564356823,9.763584716498281,2126.03996809019,2242.0,115.96003190980991,21977.0,324283.0,9887.0,201669.0,65.20647605702946,61.82573947698275,34.41391326548889,37.77394484142714,324283.0,201669.0,122614.0
13,26636.216647225196,23318.0,-3318.2166472251956,-12.457537386680132,32409.629899592073,31703.0,-706.6298995920733,-2.1803084508563533,1267365.1534531827,1271390.0,4024.846546817338,23318.0,0.0,31703.0,0.0,2.0081420198735684,1.757976976970185,2.443407804940706,2.3901339780807005,408575.2453041817,354781.0,-53794.245304181706,-13.166300680828627,827749.9219849592,881625.0,53875.07801504084,6.5086177097845495,3074.832710859133,2994.0,-80.83271085913293,23318.0,331463.0,31703.0,849922.0,32.965567637903966,28.62522188155559,66.78634193843466,71.13320961755689,331463.0,849922.0,-518459.0
14,554.0626575675769,971.0,416.93734243242307,75.25093718873677,112.0156442582319,25.0,-87.0156442582319,-77.68168886984482,11455.92169817419,11126.0,-329.92169817419017,971.0,0.0,25.0,0.0,4.57071982814368,8.01022933509322,0.9240690006453711,0.2062365946213496,9767.635578890973,11806.0,2038.3644211090268,20.86855518559861,2167.26352715623,131.0,-2036.2635271562299,-93.95551125377487,38.10089395279692,36.0,-2.1008939527969233,971.0,10835.0,25.0,106.0,81.58051932590807,98.60519502213313,18.101257221717447,1.0941284556919737,10835.0,106.0,10729.0
15,38279.29089165119,36501.0,-1778.2908916511878,-4.645569053733537,33254.16589234074,33393.0,138.83410765926237,0.4174938806426034,1551168.543216008,1552808.0,1639.4567839920055,36501.0,0.0,33393.0,0.0,2.3589846374535304,2.249396377153661,2.0493082458973206,2.057863982419446,586442.2751538004,555268.0,-31174.27515380038,-5.315830129337898,908746.7169773849,939883.0,31136.283022615127,3.426288364064592,4342.007868814748,4380.0,37.99213118525222,36501.0,518767.0,33393.0,906490.0,39.108379563596905,37.0294445396594,60.60206271009968,62.67846413311896,518767.0,906490.0,-387723.0
16,6725.999999999999,6726.0,9.094947017729282e-13,1.3522074067394117e-14,10370.0,10370.0,0.0,0.0,460482.0,460482.0,0.0,6726.0,0.0,10370.0,0.0,1.4083563313217944,1.4083563313217944,2.171373053197593,2.171373053197593,44987.00000000001,44987.0,-7.275957614183426e-12,-1.6173467033106062e-14,405078.00000000006,405078.0,-5.820766091346741e-11,-1.4369494495743388e-14,1069.9999999999418,1070.0,5.820766091346741e-11,6726.0,38261.0,10370.0,394708.0,9.97195961297616,9.97195961297616,89.79086082879849,89.79086082879849,38261.0,394708.0,-356447.0
17,29965.52957072878,26514.0,-3451.5295707287805,-11.518333298872639,12152.394059368786,12158.0,5.605940631214253,0.046130339452680934,768472.0763699025,771918.0,3445.9236300975317,26514.0,0.0,12158.0,0.0,3.696755396776272,3.270950788931519,1.499203550422382,1.4998951381092784,479134.7519893803,431324.0,-47810.75198938028,-9.97856068483214,250708.96938068405,298660.0,47951.03061931595,19.126172764288167,2221.2786299356667,2081.0,-140.2786299356667,26514.0,404810.0,12158.0,286502.0,65.44975541644257,58.91881185413863,34.246818162415096,40.79692377043022,404810.0,286502.0,118308.0
