district,Democrat,Republican,Swing,Unknown,total_voters,republican_voters,democrat_voters,swing_voters,net_advantage,net_advantage_pct,rep_pct,dem_pct,known_voters_Republican,modeled_voters_Republican,known_voters_Democrat,modeled_voters_Democrat
4,51097.0,463807.0,11212.0,0,526116.0,463807.0,51097.0,11212.0,412710.0,78.44467759961682,88.15679431912355,9.712116719506724,24277.0,439530.0,6617.0,44480.0
38,189192.0,508560.0,108102.0,0,805854.0,508560.0,189192.0,108102.0,319368.0,39.63100015635587,63.10820570475545,23.477205548399585,26528.0,482032.0,9722.0,179470.0
36,170866.0,486696.0,57865.0,0,715427.0,486696.0,170866.0,57865.0,315830.0,44.145664057968176,68.0287436733587,23.88307961539053,25480.0,461216.0,8170.0,162696.0
1,31397.0,316382.0,12291.0,0,360070.0,316382.0,31397.0,12291.0,284985.0,79.14711028411142,87.86680367706279,8.71969339295137,19914.0,296468.0,2878.0,28519.0
13,44846.0,326665.0,16840.0,0,388351.0,326665.0,44846.0,16840.0,281819.0,72.5681149269604,84.11591575662223,11.547800829661826,18913.0,307752.0,2493.0,42353.0
14,116844.0,377912.0,23320.0,0,518076.0,377912.0,116844.0,23320.0,261068.0,50.391834402674505,72.9452821593743,22.55344775669979,20856.0,357056.0,7668.0,109176.0
26,113868.0,359100.0,67909.0,0,540877.0,359100.0,113868.0,67909.0,245232.0,45.33969830479018,66.3921741911747,21.05247588638452,16457.0,342643.0,4998.0,108870.0
17,95011.0,338462.0,17983.0,0,451456.0,338462.0,95011.0,17983.0,243451.0,53.92574248653247,74.97120428125886,21.045461794726396,21074.0,317388.0,3672.0,91339.0
19,598.0,185971.0,473.0,0,187042.0,185971.0,598.0,473.0,185373.0,99.10768704355172,99.42740133232108,0.3197142887693673,10412.0,175559.0,594.0,4.0
31,111887.0,294336.0,62780.0,0,469003.0,294336.0,111887.0,62780.0,182449.0,38.9014569203182,62.75780751935489,23.85635059903668,18501.0,275835.0,5487.0,106400.0
3,13872.0,195778.0,12329.0,0,221979.0,195778.0,13872.0,12329.0,181906.0,81.94739141990908,88.19663121286247,6.249239792953388,9865.0,185913.0,1457.0,12415.0
22,104885.0,262283.0,64754.0,0,431922.0,262283.0,104885.0,64754.0,157398.0,36.44130190173226,60.72462157519182,24.283319673459562,15797.0,246486.0,5742.0,99143.0
24,152779.0,306732.0,84273.0,0,543784.0,306732.0,152779.0,84273.0,153953.0,28.31142512468186,56.40695570299972,28.095530578317863,21370.0,285362.0,9878.0,142901.0
11,6099.0,156286.0,854.0,0,163239.0,156286.0,6099.0,854.0,150187.0,92.00436170277936,95.74060120436906,3.7362395015896936,9608.0,146678.0,740.0,5359.0
