district,new_republican_voters,new_democrat_voters,net_advantage,net_advantage_pct,advantage_party
1,86437.0,13319.0,73118.0,47.56756053449914,Republican
15,77040.0,17681.0,59359.0,43.285715327455826,Republican
3,79596.0,26535.0,53061.0,34.28311139539842,Republican
36,85312.0,33238.0,52074.0,28.71052399435427,Republican
4,66632.0,17159.0,49473.0,40.63891307562142,Republican
14,68917.0,20479.0,48438.0,37.56601856663125,Republican
26,55536.0,15721.0,39815.0,38.95220857995402,Republican
31,54680.0,16488.0,38192.0,36.69908136987354,Republican
24,58741.0,22877.0,35864.0,29.31574257992267,Republican
38,72639.0,37022.0,35617.0,20.9625208936601,Republican
12,50819.0,15657.0,35162.0,34.25392835919767,Republican
11,40988.0,7278.0,33710.0,43.40827731849906,Republican
34,44122.0,11641.0,32481.0,39.07676760385462,Republican
10,35842.0,5508.0,30334.0,46.45898425534522,Republican
2,49548.0,20837.0,28711.0,26.84927151326987,Republican
17,37755.0,9833.0,27922.0,36.77964092364029,Republican
8,42631.0,15036.0,27595.0,31.976407332730773,Republican
27,36498.0,10902.0,25596.0,36.743131118830924,Republican
22,41257.0,18293.0,22964.0,28.22864167178857,Republican
19,24847.0,2011.0,22836.0,57.13999749781058,Republican
21,30330.0,14821.0,15509.0,23.18132221275578,Republican
29,60739.0,46873.0,13866.0,8.371570710973725,Republican
25,23691.0,10773.0,12918.0,23.585043452859125,Republican
23,33862.0,21963.0,11899.0,14.414992852470137,Republican
5,26944.0,15488.0,11456.0,16.5250631085467,Republican
13,16505.0,5935.0,10570.0,30.629690805297166,Republican
6,11816.0,7865.0,3951.0,12.53489847715736,Republican
37,2545.0,2065.0,480.0,6.334961066385112,Competitive/Swing
18,61816.0,62844.0,-1028.0,-0.5387558304072113,Democrat
35,8791.0,10061.0,-1270.0,-4.1484288234141244,Democrat
20,22585.0,24885.0,-2300.0,-3.095350245609313,Democrat
7,39131.0,44524.0,-5393.0,-4.332875380622976,Democrat
32,18594.0,24180.0,-5586.0,-7.831207065750736,Democrat
33,7000.0,16172.0,-9172.0,-23.23083936983942,Democrat
9,35928.0,49809.0,-13881.0,-10.4266506422294,Democrat
16,26819.0,44858.0,-18039.0,-16.82161940375057,Democrat
28,15259.0,34966.0,-19707.0,-28.02394698671824,Democrat
30,9423.0,36626.0,-27203.0,-36.21128016719247,Democrat
