district,new_republican_voters,new_democrat_voters,net_advantage,net_advantage_pct,advantage_party
6,119308.0,59308.0,60000.0,22.621960645329132,Republican
3,64252.0,8050.0,56202.0,50.858776898991906,Republican
25,77491.0,26374.0,51117.0,32.66575071093076,Republican
24,64628.0,16932.0,47696.0,38.468549122085385,Republican
22,64840.0,18419.0,46421.0,36.04030962011755,Republican
7,72447.0,27014.0,45433.0,30.384479057294,Republican
11,66008.0,21980.0,44028.0,33.859097306068456,Republican
12,66077.0,25256.0,40821.0,31.03715699915604,Republican
15,110037.0,70358.0,39679.0,14.749899632730138,Republican
17,61918.0,25407.0,36511.0,28.734790889487023,Republican
2,51879.0,15678.0,36201.0,34.377937950485745,Republican
9,53475.0,17639.0,35836.0,33.06971808240668,Republican
30,47951.0,12957.0,34994.0,38.8757429317336,Republican
1,38956.0,4265.0,34691.0,50.24768250289687,Republican
18,59946.0,25932.0,34014.0,26.996095114130608,Republican
20,60994.0,27556.0,33438.0,26.01470416618042,Republican
31,36109.0,3747.0,32362.0,51.94876075510466,Republican
4,43430.0,13306.0,30124.0,35.3933640379735,Republican
5,40832.0,15794.0,25038.0,30.174990358657926,Republican
27,37426.0,12731.0,24695.0,32.99617861628497,Republican
28,19306.0,1561.0,17745.0,50.57716973065413,Republican
8,31024.0,13679.0,17345.0,25.242308699828275,Republican
10,35428.0,20328.0,15100.0,16.67384414924747,Republican
13,67395.0,61047.0,6348.0,3.3632857203407793,Republican
29,35457.0,38080.0,-2623.0,-2.3489271769889313,Democrat
26,30395.0,33383.0,-2988.0,-3.008851339784708,Democrat
19,25691.0,29831.0,-4140.0,-4.908062737845432,Democrat
16,17594.0,23131.0,-5537.0,-8.027895377834483,Democrat
21,17816.0,37096.0,-19280.0,-24.70654569685786,Democrat
14,31702.0,62077.0,-30375.0,-19.77886737903147,Democrat
23,11803.0,43307.0,-31504.0,-34.620921568842924,Democrat
