district,district_2026,voters_2022,voters_2026,net_change,pct_change
1,1,524165,360070,-164095,-31.305981895013975
2,2,517424,715948,198524,38.36776028943381
3,3,572862,221979,-350883,-61.250877174607496
4,4,541509,526116,-15393,-2.842612034149017
5,5,497316,343497,-153819,-30.929831334604156
6,6,473724,210941,-262783,-55.47175148398645
7,7,430497,715618,285121,66.23065898252484
8,8,546329,694360,148031,27.095577939300313
9,9,426831,685831,259000,60.679753813570244
10,10,524671,368976,-155695,-29.67478667584067
11,11,467610,163239,-304371,-65.09078077885417
12,12,531935,433989,-97946,-18.413151982855048
13,13,490223,388351,-101872,-20.780746721390063
14,14,497960,518076,20116,4.039681902160816
15,15,432672,159855,-272817,-63.05399933436876
16,16,471994,1392391,920397,195.00184324377005
17,17,484445,451456,-32989,-6.809648154073218
18,18,423957,1038582,614625,144.9734289090639
19,19,464317,187042,-277275,-59.71674524085916
20,20,456611,456611,0,0.0
21,21,612197,525503,-86694,-14.161127872237206
22,22,522681,431922,-90759,-17.364128407192915
23,23,523556,379158,-144398,-27.58023974512755
24,24,543784,543784,0,0.0
25,25,524935,368603,-156332,-29.78121100707707
26,26,579436,540877,-38559,-6.654574448256581
27,27,487754,147908,-339846,-69.67569717521538
28,28,475921,415091,-60830,-12.781533069564066
29,29,339572,878244,538672,158.63263166574393
30,30,467890,467890,0,0.0
31,31,566106,469003,-97103,-17.152794706291754
32,32,413352,396312,-17040,-4.122394472507693
33,33,347152,347152,0,0.0
34,34,421523,100871,-320652,-76.06987044597804
35,35,488691,505859,17168,3.513058353847319
36,36,494349,715427,221078,44.721037162004976
37,37,555357,590664,35307,6.357532182001847
38,38,521742,805854,284112,54.45450050024725
