district,district_2026,voters_2022,voters_2026,net_change,pct_change
1,1,135693,126594,-9099,-6.705578032765139
2,2,140405,147579,7174,5.109504647270397
3,3,151089,25836,-125253,-82.90014494767985
4,4,142915,130827,-12088,-8.458174439352062
5,5,134645,60758,-73887,-54.875413123398566
6,6,129644,88143,-41501,-32.0115084384931
7,7,131677,26616,-105061,-79.78690280003342
8,8,120983,37328,-83655,-69.14607837464769
9,9,147851,110452,-37399,-25.295060567733728
10,10,147745,12443,-135302,-91.57805678703171
11,11,126748,60449,-66299,-52.30772872155774
12,12,129517,92606,-36911,-28.498961526286127
13,13,123348,89817,-33531,-27.184064597723513
14,14,111194,192574,81380,73.18740219796031
15,15,143814,7424,-136390,-94.83777657251727
16,16,139447,60812,-78635,-56.39060001290813
17,17,131982,40859,-91123,-69.04199057447228
18,18,139635,61960,-77675,-55.62717083825688
19,19,174334,156016,-18318,-10.507416797641309
20,20,159755,12367,-147388,-92.25877124346655
21,21,128092,252029,123937,96.75623770415014
22,22,101022,555800,454778,450.17718912712087
23,23,135369,96975,-38394,-28.362475899208828
24,24,148134,147239,-895,-0.6041826994477972
25,25,123017,12195,-110822,-90.08673597958006
26,26,127718,127344,-374,-0.2928326469252572
27,27,137880,137880,0,0.0
28,28,146300,145726,-574,-0.39234449760765555
29,29,127490,5502,-121988,-95.68436740136481
30,30,122318,68554,-53764,-43.954283098153994
31,31,121741,78718,-43023,-35.33977871054123
32,32,129697,224595,94898,73.16900159602766
33,33,143166,177263,34097,23.816408923906515
34,34,109485,339291,229806,209.89724619810931
35,35,86884,40679,-46205,-53.180102205239166
36,36,96870,35313,-61557,-63.54598947042428
37,37,108013,58053,-49960,-46.25369168526011
38,38,104816,21188,-83628,-79.78552892688138
39,39,98685,28638,-70047,-70.98039215686275
40,40,94598,13642,-80956,-85.57897629971035
41,41,107490,30303,-77187,-71.80854032933296
42,42,106013,105088,-925,-0.8725345004857894
43,43,124830,18035,-106795,-85.55235119762877
44,44,144188,12385,-131803,-91.41051959941187
45,45,148750,12392,-136358,-91.669243697479
46,46,146025,161856,15831,10.841294298921419
47,47,150126,149484,-642,-0.4276407817433356
48,48,156163,155221,-942,-0.6032158705967483
49,49,166676,205520,38844,23.305094914684776
50,50,117381,116123,-1258,-1.0717237031546842
51,51,128985,135423,6438,4.991278055587859
52,52,165688,12424,-153264,-92.50156921442712
53,53,153696,29444,-124252,-80.84270247761816
54,54,114494,9076,-105418,-92.07294705399408
55,55,126266,7397,-118869,-94.14173253290672
56,56,128271,34601,-93670,-73.02507971404293
57,57,135200,134251,-949,-0.7019230769230769
58,58,136747,189308,52561,38.43667502760573
59,59,131259,51167,-80092,-61.018292079019346
60,60,154151,6538,-147613,-95.75870412777083
61,61,146670,93255,-53415,-36.41849048885253
62,62,137118,128873,-8245,-6.013069035429338
63,63,131733,131733,0,0.0
64,64,148393,111088,-37305,-25.139325978988225
65,65,151941,151941,0,0.0
