old_district,new_district,voter_count
1,1,126594
1,9,1
1,44,115
1,45,21
1,52,65
1,62,8842
1,75,26
1,136,29
2,2,139766
2,20,33
2,44,97
2,45,128
2,52,214
2,75,76
2,136,91
3,44,98
3,45,57
3,126,4254
3,128,12193
3,129,10605
3,130,2656
3,133,4659
3,134,19036
3,138,2852
3,139,7566
3,141,12290
3,142,974
3,143,7543
3,144,15398
3,145,20592
3,146,5130
3,147,20847
3,150,4339
4,4,34664
4,32,34051
4,34,74062
4,44,138
5,5,842
5,6,34776
5,10,61
5,20,25
5,21,22042
5,22,28507
5,44,210
5,45,34
5,73,9268
5,75,36
5,78,30420
5,120,2163
5,122,1916
5,123,4308
5,136,37
6,21,32750
6,22,96861
6,44,33
7,4,76250
7,5,7828
7,35,9824
7,36,13042
7,39,9862
7,40,4085
7,41,10555
7,44,231
8,8,25030
8,20,52
8,35,5903
8,37,17025
8,38,9348
8,44,128
8,45,97
8,52,55
8,58,30647
8,75,92
8,128,1876
8,129,893
8,130,3701
8,131,2303
8,133,1368
8,134,1786
8,135,628
8,136,83
8,137,985
8,139,478
8,140,1908
8,141,5793
8,142,2168
8,144,1773
8,145,3245
8,146,1549
8,147,451
8,149,1618
9,5,24231
9,6,20250
9,9,56045
9,19,6049
9,25,8039
9,29,4259
9,43,14851
9,44,215
9,78,13912
10,10,2833
10,126,7027
10,127,12094
10,128,4089
10,129,13285
10,130,3499
10,131,8125
10,132,13258
10,134,2151
10,138,6998
10,139,175
10,140,9339
10,141,13492
10,142,7626
10,143,2635
10,144,11181
10,145,3832
10,146,9348
10,148,3818
10,149,10786
10,150,2154
11,5,4140
11,6,4321
11,11,50422
11,12,3230
11,13,14931
11,14,6257
11,20,14
11,32,7713
11,34,10163
11,44,151
11,45,82
11,52,38
11,56,25123
11,75,98
11,136,65
12,12,47949
12,20,91
12,44,260
12,45,207
12,52,125
12,58,20963
12,64,12606
12,75,237
12,88,8361
12,128,1901
12,130,88
12,133,783
12,134,1404
12,136,235
12,137,4308
12,141,9031
12,142,1875
12,143,4845
12,144,8553
12,145,4179
12,146,1516
13,13,14264
13,20,8
13,21,2738
13,22,24100
13,30,13671
13,44,216
13,45,52
13,52,108
13,61,925
13,67,9993
13,70,376
13,74,2159
13,75,68
13,77,7832
13,78,18223
13,79,3322
13,83,1481
13,84,11168
13,89,2116
13,128,789
13,131,1212
13,133,451
13,136,78
13,141,1386
13,142,1994
13,143,1027
13,144,2268
13,145,524
13,146,799
14,14,111106
14,44,71
14,45,17
15,44,15
15,45,78
15,127,2469
15,128,9883
15,129,10676
15,130,2318
15,134,13367
15,138,5813
15,140,5092
15,141,3384
15,142,11527
15,143,24896
15,145,32434
15,146,10494
15,147,11368
16,44,121
16,45,99
16,126,3370
16,128,7891
16,134,16565
16,137,4102
16,139,2215
16,140,4120
16,142,2227
16,143,18873
16,145,34246
16,146,10080
16,147,21456
16,148,10867
16,150,3215
17,10,351
17,17,17000
17,20,110
17,44,140
17,45,144
17,52,174
17,54,7663
17,55,5993
17,69,12039
17,75,202
17,116,9505
17,119,18211
17,120,2646
17,121,8382
17,122,5914
17,123,5671
17,124,2993
17,125,7847
17,128,2949
17,129,982
17,130,3552
17,131,1334
17,133,986
17,134,1485
17,135,643
17,136,197
17,141,3827
17,142,2362
17,143,1338
17,144,3815
17,145,2638
17,149,889
18,3,5627
18,9,43143
18,15,781
18,16,14070
18,18,54657
18,44,155
18,145,4556
18,147,11098
18,150,5548
19,3,7761
19,10,117
19,15,3023
19,16,27735
19,17,10852
19,18,733
19,19,101509
19,20,291
19,44,136
19,45,99
19,52,55
19,75,29
19,83,1716
19,84,20162
19,136,116
20,20,2080
20,44,147
20,45,191
20,75,140
20,128,4973
20,129,6867
20,130,10336
20,131,1350
20,133,7809
20,134,616
20,135,1483
20,137,2889
20,138,6455
20,139,129
20,140,10237
20,141,18370
20,142,12420
20,143,12780
20,144,14824
20,145,13319
20,146,14196
20,147,11245
20,148,3377
20,150,3522
21,12,16453
21,14,39837
21,32,8971
21,34,38177
21,35,5624
21,37,7055
21,38,11840
21,44,110
21,45,25
22,32,29902
22,34,71070
22,44,48
22,45,2
23,20,227
23,23,96975
23,32,18133
23,34,18966
23,44,186
23,45,250
23,52,101
23,75,346
23,136,185
24,20,221
24,24,147239
24,44,35
24,45,116
24,52,279
24,75,96
24,136,148
25,21,30470
25,22,92490
25,44,57
26,10,374
26,26,127344
27,27,137880
28,10,574
28,28,145726
29,21,28529
29,22,98888
29,44,73
30,5,5840
30,13,11200
30,20,52
30,30,36777
30,35,14969
30,36,14375
30,37,9890
30,39,11970
30,40,5572
30,41,11283
30,44,147
30,45,68
30,52,70
30,75,45
30,136,60
31,3,2404
31,12,4208
31,15,1130
31,16,4912
31,20,103
31,21,36312
31,30,7777
31,31,21165
31,32,640
31,44,273
31,45,95
31,46,9969
31,49,28711
31,52,80
31,60,270
31,64,3550
31,75,103
31,136,39
32,4,19913
32,20,45
32,32,109279
32,44,180
32,45,67
32,75,82
32,136,131
33,33,88221
33,44,66
33,45,80
33,75,68
33,126,5235
33,128,1422
33,134,12813
33,136,52
33,138,3569
33,142,6744
33,144,1902
33,145,18164
33,146,2038
33,150,2792
34,34,109217
34,44,107
34,45,112
34,136,49
35,20,54
35,21,3530
35,22,33827
35,44,22
35,45,52
35,52,32
35,75,95
35,126,1296
35,128,2177
35,129,513
35,131,25
35,134,6536
35,136,79
35,138,799
35,139,3354
35,140,6355
35,141,802
35,142,3212
35,143,12408
35,144,38
35,145,153
35,146,1588
35,147,5878
35,148,4059
36,20,2
36,44,86
36,45,167
36,52,12
36,75,204
36,126,7
36,127,4020
36,128,7250
36,129,3080
36,132,101
36,133,4519
36,134,12798
36,136,127
36,138,2215
36,139,3040
36,141,357
36,142,3659
36,143,14654
36,144,2983
36,145,19576
36,146,4145
36,147,13868
37,21,31873
37,22,64417
37,37,11675
37,44,48
38,21,33071
38,22,71648
38,44,63
38,45,34
39,20,35
39,44,80
39,45,115
39,52,50
39,75,124
39,126,1822
39,128,716
39,129,2182
39,130,7531
39,132,309
39,133,1728
39,134,11553
39,136,136
39,138,5711
39,139,7678
39,140,16
39,142,9193
39,143,1481
39,144,2226
39,145,15466
39,146,2171
39,147,14940
39,148,3373
39,150,10049
40,20,19
40,44,50
40,45,35
40,52,11
40,75,83
40,129,4185
40,132,4988
40,134,8841
40,136,103
40,138,341
40,139,3536
40,140,5398
40,141,14238
40,142,4720
40,143,5506
40,144,2391
40,145,12620
40,146,12486
40,147,12737
40,148,2310
41,20,126
41,44,104
41,45,107
41,75,231
41,127,2941
41,128,9577
41,130,4210
41,131,1653
41,133,173
41,134,12539
41,136,135
41,137,2352
41,138,3982
41,139,2864
41,140,5997
41,141,5000
41,142,11523
41,143,11153
41,144,4314
41,145,17625
41,146,766
41,147,7125
41,150,2993
42,20,240
42,42,105088
42,44,103
42,45,197
42,52,273
42,75,78
42,136,34
43,5,1393
43,6,17331
43,13,13226
43,19,15994
43,20,40
43,33,4950
43,35,4359
43,36,6223
43,39,4580
43,40,3102
43,41,8181
43,44,218
43,45,149
43,126,1854
43,128,482
43,130,3670
43,132,3457
43,136,55
43,138,4018
43,139,5885
43,140,2172
43,141,7535
43,142,8267
43,143,2697
43,147,116
43,148,583
43,150,4293
44,20,487
44,32,5467
44,34,7703
44,44,404
44,45,157
44,52,257
44,75,396
44,126,416
44,128,5629
44,129,15405
44,130,2838
44,131,339
44,132,2007
44,133,12566
44,134,8971
44,135,4799
44,136,158
44,137,7746
44,138,8386
44,139,1947
44,140,10586
44,141,9619
44,142,8632
44,143,9623
44,144,4844
44,145,5783
44,146,386
44,147,3918
44,148,2955
44,150,1764
45,20,258
45,44,165
45,45,1104
45,52,251
45,75,193
45,126,5907
45,127,3833
45,130,6556
45,131,5360
45,132,3337
45,133,6716
45,134,10497
45,136,206
45,137,6499
45,138,9543
45,139,2680
45,140,5124
45,141,12171
45,142,7063
45,143,4357
45,144,10613
45,145,10688
45,146,16320
45,147,10846
45,148,3578
45,150,4885
46,20,16
46,44,127
46,45,321
46,46,144719
46,52,95
46,75,341
46,136,406
47,20,377
47,45,91
47,47,149484
47,52,137
47,136,37
48,20,319
48,44,42
48,45,210
48,48,155221
48,52,243
48,136,128
49,20,398
49,44,280
49,45,344
49,49,164521
49,52,420
49,75,527
49,136,186
50,20,235
50,44,35
50,45,190
50,50,116123
50,52,197
50,75,269
50,136,332
51,20,136
51,44,53
51,45,186
51,51,127894
51,52,657
51,136,59
52,44,48
52,45,232
52,52,2094
52,75,42
52,126,5811
52,128,7244
52,129,3756
52,130,6335
52,131,17974
52,132,759
52,133,11327
52,134,2366
52,137,11928
52,138,4014
52,140,6641
52,141,12479
52,142,7694
52,143,5282
52,144,10017
52,145,10878
52,146,17374
52,147,4679
52,148,6732
52,149,6498
52,150,3484
53,7,1517
53,12,6779
53,13,5360
53,14,1550
53,20,266
53,25,1313
53,29,423
53,33,38617
53,44,248
53,45,204
53,52,97
53,53,18709
53,62,3598
53,64,2700
53,69,21468
53,72,2671
53,75,249
53,81,2290
53,88,2310
53,129,1845
53,130,4723
53,132,2283
53,133,5491
53,134,3332
53,136,200
53,139,3054
53,140,1219
53,141,4148
53,142,6244
53,143,2679
53,144,3144
53,145,3149
53,147,1488
53,150,328
54,20,195
54,44,314
54,45,172
54,52,264
54,75,268
54,128,5031
54,129,3740
54,130,5782
54,131,5318
54,133,8737
54,134,2232
54,136,218
54,137,4013
54,138,548
54,139,3096
54,140,8381
54,141,23094
54,142,13138
54,143,5133
54,144,10405
54,145,11152
54,150,3263
55,20,449
55,44,235
55,45,274
55,52,267
55,75,350
55,128,2581
55,129,7954
55,130,8111
55,131,13161
55,132,3886
55,133,5331
55,134,12638
55,135,2160
55,136,347
55,138,1589
55,139,4487
55,140,3819
55,141,4064
55,142,16364
55,143,8059
55,144,4980
55,145,1351
55,146,5750
55,147,9947
55,148,4769
55,150,3343
56,44,18
56,77,45340
56,78,60148
56,79,22765
57,10,949
57,57,134251
58,32,3676
58,34,3736
58,44,116
58,58,129219
59,12,9340
59,14,16702
59,20,383
59,44,237
59,45,226
59,52,155
59,59,51167
59,60,6268
59,75,276
59,128,880
59,129,5281
59,133,791
59,136,73
59,137,894
59,138,944
59,141,15314
59,142,3811
59,143,4492
59,145,9487
59,147,4538
60,3,8215
60,7,5892
60,15,824
60,16,10813
60,18,517
60,20,134
60,44,159
60,45,387
60,52,162
60,75,169
60,126,3801
60,127,1118
60,128,4096
60,129,2116
60,130,5570
60,133,14419
60,134,11907
60,135,3727
60,136,74
60,137,11397
60,138,12886
60,139,2861
60,140,5545
60,141,6925
60,142,8539
60,143,5773
60,145,2286
60,146,8560
60,147,7082
60,148,2379
60,149,3644
60,150,2174
61,20,86
61,44,138
61,45,292
61,52,85
61,75,366
61,128,8381
61,130,5596
61,131,3136
61,132,4577
61,133,3646
61,134,7648
61,136,301
61,138,10262
61,139,8463
61,140,2575
61,141,7791
61,142,2019
61,143,15668
61,144,5213
61,145,21951
61,146,14049
61,147,17681
61,148,6746
62,17,7523
62,19,24938
62,20,287
62,36,1673
62,39,1519
62,40,635
62,41,284
62,44,318
62,45,127
62,52,345
62,62,99054
62,75,245
62,136,170
63,63,131733
64,10,177
