district,district_2026,voters_2022,voters_2026,net_change,pct_change
1,1,636733,472765,-163968,-25.75145312085285
2,2,632652,520693,-111959,-17.696774846202967
3,3,635784,413859,-221925,-34.905722698274886
4,4,662268,605953,-56315,-8.503355137195214
5,5,632938,211250,-421688,-66.62390313111237
6,6,425240,1697782,1272542,299.25265732292354
7,7,630287,987158,356871,56.62039673989786
8,8,697623,504557,-193066,-27.674832968523113
9,9,620748,620748,0,0.0
10,10,607337,399645,-207692,-34.197159073134024
11,11,622795,683149,60354,9.6908292455784
12,12,680294,630374,-49920,-7.338003863035687
13,13,501174,1326410,825236,164.66057696528551
14,14,696484,12122,-684362,-98.2595436506797
15,15,565019,1622702,1057683,187.19423594604783
16,16,477578,477578,0,0.0
17,17,591844,810590,218746,36.96007731767155
18,18,652911,515138,-137773,-21.101344593673563
19,19,598216,497970,-100246,-16.757492277037056
20,20,503748,624894,121146,24.04892922651802
21,21,568639,250536,-318103,-55.94111554079125
22,22,624580,705675,81095,12.983925197732876
23,23,572030,572030,0,0.0
24,24,657454,420363,-237091,-36.06199064877543
25,25,745027,600460,-144567,-19.40426320119942
26,26,547552,596133,48581,8.872399333761907
27,27,524669,563748,39079,7.448315032906461
28,28,574064,225378,-348686,-60.73991750048775
29,29,556725,254827,-301898,-54.22749113116889
30,30,702905,603276,-99629,-14.173892631294413
31,31,517731,235286,-282445,-54.554392145728194
