old_district,new_district,voter_count
1,1,186541
1,2,24982
1,3,30486
1,19,4079
1,20,54227
1,22,162197
1,26,4369
1,27,83581
1,28,4918
1,29,65515
1,30,15838
2,2,382429
2,4,9073
2,6,38200
2,7,12494
2,11,11344
2,13,33999
2,15,29247
2,17,4443
2,18,3180
2,27,108243
3,1,150866
3,3,266603
3,4,7469
3,7,1523
3,12,6064
3,18,512
3,20,72544
3,27,85670
3,29,44533
4,1,37156
4,4,244177
4,6,134896
4,7,18235
4,11,23828
4,13,45889
4,15,114889
4,17,4659
4,18,2318
4,20,25407
4,27,10814
5,1,12682
5,5,133700
5,6,85337
5,7,35005
5,11,27152
5,13,86696
5,14,8478
5,15,46716
5,17,31608
5,18,16547
5,19,5925
5,20,13450
5,25,25856
5,26,44212
5,27,20526
5,30,39048
6,6,425240
7,4,4861
7,6,15905
7,7,582786
7,11,9825
7,13,2566
7,15,14344
8,4,20288
8,6,180689
8,7,39446
8,8,73028
8,11,25076
8,13,122452
8,15,189003
8,17,38403
8,18,9238
9,9,620748
10,3,10450
10,4,1149
10,5,20396
10,6,4819
10,7,6347
10,10,387238
10,11,2526
10,13,11980
10,15,22568
10,17,2203
10,18,5907
10,20,99337
10,27,29975
10,28,2128
10,30,314
11,2,12552
11,8,160913
11,11,449330
12,12,624310
12,29,55984
13,13,501174
14,4,23710
14,6,200434
14,7,69811
14,11,41972
14,13,151857
14,15,141811
14,17,62062
14,18,4827
15,15,565019
16,16,477578
17,1,9924
17,2,5528
17,8,68511
17,17,490055
17,28,14823
17,30,3003
18,3,13263
18,6,30744
18,7,4861
18,11,7823
18,13,12607
18,15,17170
18,17,2276
18,18,406261
18,20,14439
18,22,64065
18,24,47426
18,27,6570
18,28,13205
18,30,12201
19,1,9537
19,2,35948
19,3,22393
19,4,521
19,5,3247
19,6,978
19,13,3964
19,15,5141
19,18,7825
19,19,476335
19,28,2174
19,29,30153
20,2,18552
20,4,23326
20,7,1902
20,8,140084
20,18,1252
20,20,308322
20,30,10310
21,3,12025
21,4,17533
21,5,6666
21,6,61777
21,7,39150
21,11,22623
21,13,65334
21,15,45251
21,17,18571
21,20,22964
21,21,227463
21,22,7795
21,24,8050
21,27,13437
22,1,26884
22,5,18844
22,6,25151
22,7,6012
22,11,10584
22,13,15429
22,15,25024
22,17,17018
22,18,20006
22,20,7435
22,22,442136
22,24,10057
23,23,572030
24,2,21930
24,3,16983
24,4,3182
24,6,87261
24,7,10779
24,8,3326
24,11,3769
24,13,55331
24,15,47950
24,17,8134
24,24,338093
24,27,39299
24,28,13352
24,30,8065
25,6,38139
25,7,20653
25,11,5788
25,13,34594
25,15,50187
25,17,26116
25,25,569550
26,26,547552
27,2,5303
27,3,16022
27,4,198446
27,5,270
27,7,26966
27,8,58695
27,18,13096
27,27,155477
27,29,45371
27,30,5023
28,1,14486
28,2,9960
28,3,13570
28,4,26097
28,6,95370
28,7,25705
28,11,15927
28,13,45141
28,14,2410
28,15,80170
28,17,40831
28,18,9641
28,19,2433
28,20,1449
28,21,12735
28,24,5649
28,27,2002
28,28,156956
28,29,7245
28,31,6287
29,3,8346
29,4,17127
29,5,6897
29,6,175777
29,7,39751
29,11,14345
29,13,89597
29,15,148331
29,17,31223
29,18,9114
29,22,7857
29,28,4444
29,29,3916
30,1,21550
30,4,2198
30,6,48551
30,7,31779
30,10,12407
30,11,6775
30,13,14323
30,15,33367
30,17,19650
30,21,7016
30,22,8310
30,30,496979
31,1,3139
31,2,3509
31,3,3718
31,4,6796
31,5,21230
31,6,48514
31,7,13953
31,11,4462
31,13,33477
31,14,1234
31,15,46514
31,17,13338
31,18,5414
31,19,9198
31,20,5320
31,21,3322
31,22,13315
31,24,11088
31,25,5054
31,27,8154
31,28,13378
31,29,2110
31,30,12495
31,31,228999
