district,old_expected_republican_voters,old_expected_democrat_voters,old_net_advantage,old_advantage_party,new_republican_voters,new_democrat_voters,new_net_advantage,new_advantage_party,advantage_shift,shift_type
1,77726.75789449541,20094.099182498067,57632.65871199735,Republican,86437.0,13319.0,73118.0,Republican,15485.341288002652,Republican → Republican
29,52526.43570461387,54005.273482043565,-1478.8377774296969,Democrat,60739.0,46873.0,13866.0,Republican,15344.837777429697,Democrat → Republican
18,55960.08187427175,68657.82514598906,-12697.743271717307,Democrat,61816.0,62844.0,-1028.0,Democrat,11669.743271717307,Democrat → Democrat
10,32818.91787897643,9599.927151450192,23218.990727526234,Republican,35842.0,5508.0,30334.0,Republican,7115.009272473766,Republican → Republican
27,33235.1582655261,14100.620865416557,19134.537400109544,Republican,36498.0,10902.0,25596.0,Republican,6461.462599890456,Republican → Republican
36,83598.4249472018,36952.42177063093,46646.00317657087,Republican,85312.0,33238.0,52074.0,Republican,5427.99682342913,Republican → Republican
14,67114.25409326708,23954.48421811967,43159.76987514741,Republican,68917.0,20479.0,48438.0,Republican,5278.230124852591,Republican → Republican
16,24379.24055865206,46253.661146681865,-21874.420588029803,Democrat,26819.0,44858.0,-18039.0,Democrat,3835.420588029803,Democrat → Democrat
7,37221.95043821582,46414.955654455465,-9193.005216239646,Democrat,39131.0,44524.0,-5393.0,Democrat,3800.005216239646,Democrat → Democrat
35,6721.154874008033,11652.17891347849,-4931.024039470457,Democrat,8791.0,10061.0,-1270.0,Democrat,3661.024039470457,Democrat → Democrat
20,20588.040339616116,26246.06934264932,-5658.0290030332035,Democrat,22585.0,24885.0,-2300.0,Democrat,3358.0290030332035,Democrat → Democrat
15,74529.78597229518,18518.865190101995,56010.92078219319,Republican,77040.0,17681.0,59359.0,Republican,3348.0792178068077,Republican → Republican
23,32862.21149710925,23984.300547523777,8877.910949585475,Republican,33862.0,21963.0,11899.0,Republican,3021.0890504145245,Republican → Republican
38,71455.6064020977,38787.27106939842,32668.335332699287,Republican,72639.0,37022.0,35617.0,Republican,2948.6646673007126,Republican → Republican
9,34755.23947060054,51555.55831518562,-16800.318844585076,Democrat,35928.0,49809.0,-13881.0,Democrat,2919.3188445850756,Democrat → Democrat
19,23346.65989730245,3056.5858703113795,20290.074026991068,Republican,24847.0,2011.0,22836.0,Republican,2545.9259730089325,Republican → Republican
37,1590.1110898597285,3086.9581097479017,-1496.8470198881732,Democrat,2545.0,2065.0,480.0,Neutral/Competitive,1976.8470198881732,Democrat → Neutral/Competitive
4,65886.38250664153,17016.888367976644,48869.494138664886,Republican,66632.0,17159.0,49473.0,Republican,603.5058613351139,Republican → Republican
2,49284.72478171723,21069.686641838347,28215.038139878885,Republican,49548.0,20837.0,28711.0,Republican,495.961860121115,Republican → Republican
12,50790.33316579746,15680.409611625772,35109.92355417169,Republican,50819.0,15657.0,35162.0,Republican,52.07644582830835,Republican → Republican
30,9423.0,36626.0,-27203.0,Democrat,9423.0,36626.0,-27203.0,Democrat,0.0,Democrat → Democrat
24,58741.0,22877.0,35864.0,Republican,58741.0,22877.0,35864.0,Republican,0.0,Republican → Republican
33,7000.0,16172.0,-9172.0,Democrat,7000.0,16172.0,-9172.0,Democrat,0.0,Democrat → Democrat
17,38418.28575169587,10157.577314984108,28260.70843671176,Republican,37755.0,9833.0,27922.0,Republican,-338.70843671176044,Republican → Republican
32,18769.29916546198,23819.673731609782,-5050.374566147802,Democrat,18594.0,24180.0,-5586.0,Democrat,-535.6254338521976,Democrat → Democrat
34,44425.304572627414,11323.62534315984,33101.679229467576,Republican,44122.0,11641.0,32481.0,Republican,-620.6792294675761,Republican → Republican
26,56059.24896734414,14882.31402759775,41176.93493974639,Republican,55536.0,15721.0,39815.0,Republican,-1361.9349397463884,Republican → Republican
31,54762.42619510059,15158.28501598684,39604.14117911375,Republican,54680.0,16488.0,38192.0,Republican,-1412.1411791137507,Republican → Republican
3,80272.89600928861,25728.08950886694,54544.80650042168,Republican,79596.0,26535.0,53061.0,Republican,-1483.806500421677,Republican → Republican
11,43124.27956677215,6398.834387450134,36725.445179322014,Republican,40988.0,7278.0,33710.0,Republican,-3015.445179322014,Republican → Republican
22,43162.26091351701,16745.87061794627,26416.39029557074,Republican,41257.0,18293.0,22964.0,Republican,-3452.3902955707417,Republican → Republican
8,44465.99471431566,13061.624216346636,31404.370497969023,Republican,42631.0,15036.0,27595.0,Republican,-3809.370497969023,Republican → Republican
13,18487.79509251662,2783.695635984633,15704.099456531985,Republican,16505.0,5935.0,10570.0,Republican,-5134.099456531985,Republican → Republican
28,18316.91754874532,32036.06290104992,-13719.1453523046,Democrat,15259.0,34966.0,-19707.0,Democrat,-5987.8546476954,Democrat → Democrat
21,33311.57877384016,11465.58053333257,21845.998240507593,Republican,30330.0,14821.0,15509.0,Republican,-6336.998240507593,Republican → Republican
6,15206.574739220889,4310.592593377194,10895.982145843695,Republican,11816.0,7865.0,3951.0,Republican,-6944.9821458436945,Republican → Republican
5,31272.84236712221,11321.874264793263,19950.96810232895,Republican,26944.0,15488.0,11456.0,Republican,-8494.968102328949,Republican → Republican
25,28169.177515917345,6276.5775553007015,21892.599960616644,Republican,23691.0,10773.0,12918.0,Republican,-8974.599960616644,Republican → Republican
