district,old_expected_republican_voters,old_expected_democrat_voters,old_net_advantage,old_advantage_party,new_republican_voters,new_democrat_voters,new_net_advantage,new_advantage_party,advantage_shift,shift_type
9,17910.82639822798,5375.440370006582,12535.386028221397,Republican,20170.0,2353.0,17817.0,Republican,5281.613971778603,Republican → Republican
141,20345.323434375605,23407.679557848,-3062.3561234723966,Democrat,23052.0,20977.0,2075.0,Republican,5137.356123472397,Democrat → Republican
140,13435.236075505862,12878.228402616074,557.0076728897875,Neutral/Competitive,15753.0,11074.0,4679.0,Republican,4121.9923271102125,Neutral/Competitive → Republican
142,17790.146967533117,22471.5666283472,-4681.419660814081,Democrat,19892.0,20689.0,-797.0,Neutral/Competitive,3884.419660814081,Democrat → Neutral/Competitive
4,21334.61224082194,4399.292572527908,16935.319668294032,Republican,22552.0,2308.0,20244.0,Republican,3308.6803317059675,Republican → Republican
22,12038.540038816673,4111.416061397936,7927.123977418737,Republican,13748.0,2592.0,11156.0,Republican,3228.876022581263,Republican → Republican
35,9734.148705070626,7742.790359577534,1991.3583454930913,Republican,11159.0,5939.0,5220.0,Republican,3228.6416545069087,Republican → Republican
145,20524.60922838262,28844.875099170535,-8320.265870787916,Democrat,21619.0,27121.0,-5502.0,Democrat,2818.2658707879164,Democrat → Democrat
78,13678.056342350226,6268.2575867207,7409.798755629527,Republican,15170.0,4993.0,10177.0,Republican,2767.2012443704734,Republican → Republican
38,5912.190286435414,11191.975509975477,-5279.785223540062,Democrat,6901.0,9429.0,-2528.0,Democrat,2751.7852235400624,Democrat → Democrat
21,5544.76244652411,3985.3645573852937,1559.397889138816,Republican,6464.0,2165.0,4299.0,Republican,2739.602110861184,Republican → Republican
37,14614.941055606292,9780.6059905343,4834.335065071991,Republican,15897.0,8571.0,7326.0,Republican,2491.6649349280087,Republican → Republican
144,15575.512635027191,12689.685587200918,2885.827047826273,Republican,17656.0,12305.0,5351.0,Republican,2465.172952173727,Republican → Republican
133,21764.61649906052,16114.739296849366,5649.877202211155,Republican,23156.0,15112.0,8044.0,Republican,2394.1227977888448,Republican → Republican
131,7997.303662755688,14196.848798255754,-6199.545135500067,Democrat,9225.0,13202.0,-3977.0,Democrat,2222.545135500067,Democrat → Democrat
73,21631.396329173014,4959.417349358935,16671.978979814077,Republican,22619.0,3831.0,18788.0,Republican,2116.0210201859227,Republican → Republican
13,13243.386587866262,2613.81012878113,10629.576459085132,Republican,14141.0,1530.0,12611.0,Republican,1981.4235409148678,Republican → Republican
147,18143.364289604822,27750.340827665324,-9606.976538060502,Democrat,19106.0,26735.0,-7629.0,Democrat,1977.9765380605022,Democrat → Democrat
18,11448.879068478524,1865.806555565185,9583.072512913339,Republican,12611.0,1108.0,11503.0,Republican,1919.9274870866611,Republican → Republican
143,13468.007751310684,18674.420018026693,-5206.412266716008,Democrat,14519.0,17996.0,-3477.0,Democrat,1729.4122667160082,Democrat → Democrat
19,15803.85714987372,2238.334841282269,13565.522308591451,Republican,16427.0,1357.0,15070.0,Republican,1504.4776914085487,Republican → Republican
134,21136.633573421583,29698.67755308974,-8562.043979668157,Democrat,21701.0,28858.0,-7157.0,Democrat,1405.0439796681567,Democrat → Democrat
138,17644.25134804317,12993.370013495083,4650.881334548087,Republican,18326.0,12283.0,6043.0,Republican,1392.1186654519133,Republican → Republican
129,21967.229690602453,14329.849862732835,7637.379827869618,Republican,22696.0,13771.0,8925.0,Republican,1287.6201721303823,Republican → Republican
25,4331.0526315789475,968.7477313974592,3362.3049001814884,Republican,4943.0,305.0,4638.0,Republican,1275.6950998185116,Republican → Republican
30,13541.158278955876,1498.3141313052197,12042.844147650656,Republican,14541.0,1294.0,13247.0,Republican,1204.155852349344,Republican → Republican
149,5217.090288586463,5609.520774346265,-392.43048575980174,Neutral/Competitive,5834.0,5129.0,705.0,Neutral/Competitive,1097.4304857598017,Neutral/Competitive → Neutral/Competitive
130,18153.770736804312,10717.562598533545,7436.208138270767,Republican,18822.0,10341.0,8481.0,Republican,1044.7918617292326,Republican → Republican
66,24599.37342100509,6657.88672853417,17941.48669247092,Republican,25190.0,6273.0,18917.0,Republican,975.5133075290796,Republican → Republican
137,9259.779249077868,9536.094173241592,-276.31492416372384,Neutral/Competitive,9837.0,9190.0,647.0,Neutral/Competitive,923.3149241637238,Neutral/Competitive → Neutral/Competitive
29,3544.110707803993,792.7285812629076,2751.3821265410857,Republican,3868.0,252.0,3616.0,Republican,864.6178734589143,Republican → Republican
43,5365.094041277276,718.1155688117339,4646.978472465542,Republican,5945.0,474.0,5471.0,Republican,824.0215275344581,Republican → Republican
60,23878.431944339223,1749.8275262559469,22128.604418083276,Republican,24551.0,1628.0,22923.0,Republican,794.395581916724,Republican → Republican
135,5436.381123826286,4759.067764447442,677.3133593788443,Neutral/Competitive,5858.0,4393.0,1465.0,Republican,787.6866406211557,Neutral/Competitive → Republican
41,15421.58838888375,4793.382014117578,10628.206374766172,Republican,16074.0,4687.0,11387.0,Republican,758.7936252338277,Republican → Republican
67,30572.52166972791,7322.141827939808,23250.379841788104,Republican,31071.0,7091.0,23980.0,Republican,729.6201582118956,Republican → Republican
56,5247.687257684783,1094.5236697891337,4153.1635878956495,Republican,5552.0,713.0,4839.0,Republican,685.8364121043505,Republican → Republican
146,13430.480088433233,21059.62324510452,-7629.143156671289,Democrat,13951.0,20908.0,-6957.0,Democrat,672.143156671289,Democrat → Democrat
61,21414.10920424408,6323.805733436793,15090.303470807286,Republican,21641.0,5947.0,15694.0,Republican,603.6965291927136,Republican → Republican
62,8071.443308458116,1142.5627871510253,6928.880521307091,Republican,8153.0,669.0,7484.0,Republican,555.1194786929091,Republican → Republican
139,8697.885337314625,17299.700621477168,-8601.815284162543,Democrat,8948.0,17029.0,-8081.0,Democrat,520.8152841625433,Democrat → Democrat
39,15155.15949155609,4626.532583018104,10528.626908537986,Republican,15695.0,4646.0,11049.0,Republican,520.3730914620137,Republican → Republican
14,31270.349310244892,8773.967848079152,22496.38146216574,Republican,31375.0,8376.0,22999.0,Republican,502.61853783425977,Republican → Republican
71,11502.293345104335,1095.7245550986015,10406.568790005735,Republican,11867.0,959.0,10908.0,Republican,501.4312099942654,Republican → Republican
82,15679.160993915357,1440.5476058563236,14238.613388059033,Republican,15862.0,1204.0,14658.0,Republican,419.38661194096676,Republican → Republican
16,4981.779621015614,1729.8572298590086,3251.922391156605,Republican,5242.0,1593.0,3649.0,Republican,397.07760884339496,Republican → Republican
34,15814.411577814437,1867.21303016224,13947.198547652197,Republican,15657.0,1363.0,14294.0,Republican,346.8014523478032,Republican → Republican
89,24545.638824423117,6366.8025918275,18178.83623259562,Republican,24688.0,6183.0,18505.0,Republican,326.16376740438136,Republican → Republican
86,13307.362791296042,979.9548101467708,12327.40798114927,Republican,13714.0,1069.0,12645.0,Republican,317.5920188507298,Republican → Republican
5,15784.762080923909,2038.06220564652,13746.699875277389,Republican,16039.0,2009.0,14030.0,Republican,283.30012472261114,Republican → Republican
53,16178.349483725133,1739.2803941352513,14439.06908958988,Republican,16101.0,1432.0,14669.0,Republican,229.9309104101194,Republican → Republican
1,16847.48361119849,2160.2700849323687,14687.213526266123,Republican,17053.0,2141.0,14912.0,Republican,224.78647373387685,Republican → Republican
40,8932.141427457318,2408.917738094194,6523.223689363123,Republican,9126.0,2426.0,6700.0,Republican,176.7763106368766,Republican → Republican
15,1094.406170663783,719.8554228625874,374.5507478011957,Neutral/Competitive,1257.0,707.0,550.0,Neutral/Competitive,175.4492521988043,Neutral/Competitive → Neutral/Competitive
74,3616.032253120337,1505.1231108385462,2110.909142281791,Republican,3573.0,1291.0,2282.0,Republican,171.090857718209,Republican → Republican
126,12325.375341652372,7510.367872590536,4815.007469061837,Republican,12297.0,7317.0,4980.0,Republican,164.99253093816333,Republican → Republican
