COUNTY,Democrat,Republican,Swing,Unknown,All
ANDERSON,210,2550,96,27830,30686
ANDREWS,15,774,19,9955,10763
ANGELINA,319,3266,132,52394,56111
ARANSAS,147,1406,55,18348,19956
ARCHER,21,529,6,6469,7025
ARMSTRONG,1,224,5,1210,1440
ATASCOSA,257,1327,100,30531,32215
AUSTIN,123,1347,35,20673,22178
BAILEY,5,278,6,2900,3189
BANDERA,142,1369,60,17492,19063
BASTROP,1205,2704,294,57317,61520
BAYLOR,13,147,1,2272,2433
BEE,98,522,73,15329,16022
BELL,1985,6409,432,231934,240760
BEXAR,24978,22066,3388,1245231,1295663
BLANCO,205,887,29,9931,11052
BORDEN,0,72,2,413,487
BOSQUE,79,731,20,12864,13694
BOWIE,383,2422,87,59970,62862
BRAZORIA,3355,10438,501,236213,250507
BRAZOS,949,5148,274,127329,133700
BREWSTER,258,305,84,6793,7440
BRISCOE,3,128,3,907,1041
BROOKS,560,9,31,4351,4951
BROWN,37,1657,31,23873,25598
BURLESON,111,734,9,13033,13887
BURNET,332,2256,141,36570,39299
CALDWELL,480,911,170,25621,27182
CALHOUN,83,611,74,12495,13263
CALLAHAN,18,679,13,9740,10450
CAMERON,5089,1302,847,231270,238508
CAMP,81,510,25,7832,8448
CARSON,4,288,5,4002,4299
CASS,73,1291,33,20466,21863
CASTRO,21,156,9,3516,3702
CHAMBERS,126,2377,80,34573,37156
CHEROKEE,221,2242,68,29772,32303
CHILDRESS,4,276,6,3520,3806
CLAY,13,563,12,7722,8310
COCHRAN,2,62,4,1610,1678
COKE,3,172,4,2269,2448
COLEMAN,16,622,9,5510,6157
COLLIN,9651,22703,2539,716877,751770
COLLINGSWORTH,3,186,4,1699,1892
COLORADO,88,1110,33,13593,14824
COMAL,1310,6910,355,135442,144017
COMANCHE,28,733,24,9273,10058
CONCHO,6,141,0,1653,1800
COOKE,96,1547,43,28574,30260
CORYELL,222,1816,71,45000,47109
COTTLE,4,130,2,859,995
CRANE,2,237,7,2431,2677
CROCKETT,36,72,135,2053,2296
CROSBY,8,177,4,3453,3642
CULBERSON,296,4,17,1387,1704
DALLAM,2,116,0,2751,2869
DALLAS,41564,21759,3229,1405230,1471782
DAWSON,3,420,13,6353,6789
DE WITT,38,713,22,10621,11394
DEAF SMITH,15,521,19,8223,8778
DELTA,9,390,10,3711,4120
DENTON,6931,19248,1589,635585,663353
DICKENS,5,148,3,1283,1439
DIMMIT,938,13,34,5733,6718
DONLEY,7,75,3,2335,2420
DUVAL,919,13,44,7074,8050
EASTLAND,22,886,11,11645,12564
ECTOR,287,2731,110,83661,86789
EDWARDS,5,139,5,1352,1501
EL PASO,12453,3117,1087,507037,523694
ELLIS,1464,5639,266,140377,147746
ERATH,101,2147,63,23737,26048
FALLS,75,364,32,10122,10593
FANNIN,96,1485,57,23345,24983
FAYETTE,141,1801,74,16382,18398
FISHER,19,117,12,2574,2722
FLOYD,5,354,7,3301,3667
FOARD,7,52,93,656,808
FORT BEND,11376,14062,1276,529048,555762
FRANKLIN,34,557,27,7017,7635
FREESTONE,85,897,43,12427,13452
FRIO,707,83,84,8671,9545
GAINES,11,583,13,9894,10501
GALVESTON,2901,8867,719,233888,246375
GARZA,6,227,10,2410,2653
GILLESPIE,252,2280,135,19264,21931
GLASSCOCK,2,146,0,696,844
GOLIAD,33,616,40,5159,5848
GONZALES,42,962,47,12154,13205
GRAY,6,922,16,11410,12354
GRAYSON,502,4743,291,94845,100381
GREGG,789,3195,130,72341,76455
GRIMES,109,1057,36,19959,21161
GUADALUPE,1218,4587,226,124952,130983
HALE,43,846,36,17375,18300
HALL,6,78,6,1801,1891
HAMILTON,25,561,13,5681,6280
HANSFORD,2,375,0,2633,3010
HARDEMAN,5,88,6,2296,2395
HARDIN,76,1383,39,41743,43241
HARRIS,48174,46307,4205,2598707,2697393
HARRISON,402,2567,103,44360,47432
HARTLEY,6,229,5,2613,2853
HASKELL,17,101,6,3327,3451
HAYS,4311,4057,614,177080,186062
HEMPHILL,5,268,6,2068,2347
HENDERSON,335,3201,116,56092,59744
HIDALGO,11577,1769,1599,432216,447161
HILL,110,1320,43,25415,26888
HOCKLEY,26,831,19,13134,14010
HOOD,189,3790,132,47713,51824
HOPKINS,98,1308,44,24004,25454
HOUSTON,129,1019,29,12760,13937
