COUNTY,2026_CD,Democrat,Republican,Swing,Unknown,All
ANDERSON,6.0,14,134,8,1810,1966
ANDERSON,25.0,196,2415,88,26019,28718
ANDREWS,13.0,15,774,19,9955,10763
ANGELINA,17.0,319,3266,132,52393,56110
ARANSAS,4.0,147,1406,55,18348,19956
ARCHER,14.0,19,489,6,5786,6300
ARCHER,22.0,2,40,0,674,716
ARMSTRONG,6.0,1,224,5,1210,1440
ATASCOSA,6.0,9,57,6,1366,1438
ATASCOSA,25.0,248,1270,94,29165,30777
AUSTIN,9.0,11,29,0,1146,1186
AUSTIN,18.0,24,340,8,4147,4519
AUSTIN,29.0,35,356,7,5570,5968
AUSTIN,36.0,33,380,16,6302,6731
AUSTIN,38.0,20,242,4,3508,3774
BAILEY,5.0,5,278,6,2899,3188
BANDERA,11.0,142,1369,60,17492,19063
BASTROP,20.0,618,1464,170,28094,30346
BASTROP,21.0,198,409,40,11192,11839
BASTROP,23.0,50,152,10,2702,2914
BASTROP,28.0,182,343,28,7925,8478
BASTROP,35.0,157,336,46,7404,7943
BAYLOR,11.0,13,147,1,2272,2433
BEE,4.0,98,522,73,15329,16022
BELL,2.0,1,0,0,3298,3299
BELL,7.0,167,382,19,17376,17944
BELL,8.0,50,364,26,9185,9625
BELL,9.0,250,1247,75,35864,37436
BELL,18.0,514,1622,105,56652,58893
BELL,29.0,521,1179,94,54608,56402
BELL,36.0,223,607,40,28363,29233
BELL,38.0,259,1008,73,26588,27928
BEXAR,20.0,8691,4312,731,442877,456611
BEXAR,21.0,5751,8135,1326,224577,239789
BEXAR,23.0,3780,6447,793,247777,258797
BEXAR,28.0,3098,1821,261,153145,158325
BEXAR,35.0,3658,1351,277,176855,182141
BLANCO,11.0,205,887,29,9930,11051
BORDEN,4.0,0,72,2,413,487
BOSQUE,34.0,79,731,20,12864,13694
BOWIE,1.0,348,2059,75,53256,55738
BOWIE,4.0,35,363,12,6714,7124
BRAZORIA,2.0,1578,5057,232,118177,125044
BRAZORIA,8.0,1777,5381,269,118036,125463
BRAZOS,10.0,949,5148,274,127329,133700
BREWSTER,2.0,23,20,4,742,789
BREWSTER,9.0,26,17,4,845,892
BREWSTER,18.0,208,267,76,5055,5606
BREWSTER,29.0,1,1,0,151,153
BRISCOE,25.0,3,128,3,907,1041
BROOKS,15.0,560,9,31,4351,4951
BROWN,7.0,6,167,2,3413,3588
BROWN,9.0,2,183,4,2369,2558
BROWN,18.0,5,403,8,6199,6615
BROWN,29.0,13,481,10,6054,6558
BROWN,36.0,9,383,7,4742,5141
BROWN,38.0,2,40,0,1082,1124
BURLESON,10.0,111,734,9,13004,13858
BURNET,14.0,271,1884,113,28666,30934
BURNET,22.0,61,372,28,7904,8365
CALDWELL,7.0,18,98,9,1424,1549
CALDWELL,8.0,1,26,5,620,652
CALDWELL,9.0,53,115,20,2631,2819
CALDWELL,18.0,70,200,42,5224,5536
CALDWELL,29.0,78,118,25,4477,4698
CALDWELL,36.0,171,230,51,6031,6483
CALDWELL,38.0,89,124,18,5211,5442
CALHOUN,15.0,83,611,74,12495,13263
CALLAHAN,36.0,18,679,13,9740,10450
CAMERON,2.0,371,43,37,13134,13585
CAMERON,7.0,849,216,127,36272,37464
CAMERON,8.0,176,33,38,4336,4583
CAMERON,9.0,372,118,57,23989,24536
CAMERON,18.0,1114,260,207,49551,51132
CAMERON,29.0,1449,494,237,69042,71222
CAMERON,36.0,528,98,108,22760,23494
CAMERON,38.0,230,40,36,12186,12492
CAMP,23.0,23,52,4,1837,1916
CAMP,28.0,16,131,4,2012,2163
CAMP,35.0,42,327,17,3983,4369
CARSON,11.0,4,288,5,4002,4299
CASS,1.0,73,1291,33,20465,21862
CASTRO,21.0,18,128,8,2792,2946
CASTRO,35.0,3,28,1,724,756
CHAMBERS,2.0,4,240,14,1718,1976
CHAMBERS,7.0,11,95,3,3363,3472
CHAMBERS,9.0,21,410,12,6856,7299
CHAMBERS,18.0,59,1013,33,14938,16043
CHAMBERS,29.0,24,501,11,6293,6829
CHAMBERS,36.0,7,118,7,1405,1537
CHEROKEE,14.0,164,1677,55,23352,25248
CHEROKEE,36.0,57,565,13,6420,7055
CHILDRESS,13.0,4,276,6,3520,3806
CLAY,27.0,13,563,12,7722,8310
COCHRAN,4.0,2,62,4,1610,1678
COKE,21.0,3,172,4,2269,2448
COLEMAN,5.0,16,622,9,5510,6157
COLLIN,15.0,6047,14064,1534,443106,464751
COLLIN,34.0,3604,8639,1005,273771,287019
COLLINGSWORTH,21.0,3,140,4,1229,1376
COLLINGSWORTH,35.0,0,46,0,467,513
COLORADO,11.0,88,1110,33,13592,14823
COMAL,21.0,1200,6466,330,116595,124591
COMAL,35.0,110,444,25,18847,19426
COMANCHE,2.0,1,40,0,365,406
COMANCHE,7.0,2,41,1,519,563
COMANCHE,9.0,0,9,0,137,146
COMANCHE,18.0,8,357,12,4055,4432
COMANCHE,29.0,7,126,7,1807,1947
COMANCHE,36.0,10,160,4,2389,2563
CONCHO,19.0,6,141,0,1653,1800
COOKE,26.0,96,1547,43,28574,30260
CORYELL,9.0,14,404,11,5091,5520
CORYELL,18.0,68,447,11,12083,12609
CORYELL,29.0,117,536,37,18678,19368
CORYELL,36.0,22,328,7,7497,7854
CORYELL,38.0,1,101,5,1650,1757
COTTLE,19.0,4,130,2,859,995
CRANE,13.0,2,237,7,2431,2677
CROCKETT,27.0,36,72,135,2053,2296
CROSBY,16.0,8,177,4,3447,3636
CULBERSON,23.0,296,4,17,1387,1704
DALLAM,13.0,2,116,0,2751,2869
DALLAS,5.0,4523,4827,390,231570,241310
DALLAS,6.0,962,1374,130,73331,75797
DALLAS,24.0,5732,7276,1183,175916,190107
DALLAS,30.0,17605,2512,542,415127,435786
DALLAS,32.0,9735,4751,813,334922,350221
DALLAS,33.0,3007,1019,171,174364,178561
DAWSON,1.0,3,420,13,6353,6789
DE WITT,21.0,30,558,19,7986,8593
DE WITT,35.0,8,155,3,2631,2797
DEAF SMITH,27.0,15,521,19,8222,8777
DELTA,17.0,9,390,10,3711,4120
DENTON,4.0,438,1321,131,36191,38081
DENTON,13.0,1291,2761,262,91143,95457
DENTON,21.0,0,0,0,1,1
DENTON,26.0,4902,14910,1160,489627,510599
DENTON,32.0,300,256,36,18619,19211
DICKENS,8.0,5,148,3,1282,1438
DIMMIT,1.0,933,13,34,5686,6666
DONLEY,4.0,7,75,3,2325,2410
DUVAL,27.0,919,13,44,7074,8050
EASTLAND,10.0,22,886,11,11645,12564
ECTOR,11.0,287,2731,110,83661,86789
EDWARDS,36.0,5,139,5,1350,1499
EL PASO,3.0,8135,2094,746,351499,362474
EL PASO,4.0,3331,688,256,125424,129699
EL PASO,32.0,987,335,85,30113,31520
ELLIS,2.0,179,901,34,16905,18019
ELLIS,7.0,55,313,12,7982,8362
ELLIS,8.0,143,415,17,10245,10820
ELLIS,9.0,190,763,35,20444,21432
ELLIS,18.0,268,800,48,20214,21330
ELLIS,22.0,59,25,3,3938,4025
ELLIS,29.0,219,606,34,18325,19184
ELLIS,36.0,199,1346,57,27333,28935
ELLIS,38.0,152,470,26,14990,15638
ERATH,17.0,101,2147,63,23737,26048
FALLS,21.0,39,278,17,6820,7154
FALLS,35.0,36,86,15,3302,3439
FANNIN,4.0,96,1485,57,23344,24982
FAYETTE,10.0,141,1801,74,16382,18398
FISHER,13.0,15,79,12,1925,2031
FISHER,26.0,4,38,0,649,691
FLOYD,6.0,0,0,0,3,3
FLOYD,25.0,5,354,7,3296,3662
FOARD,6.0,7,52,93,656,808
FORT BEND,7.0,2205,1948,277,120640,125070
FORT BEND,9.0,4412,789,115,96418,101734
FORT BEND,22.0,4759,11325,884,311990,328958
FRANKLIN,10.0,34,557,27,7017,7635
FREESTONE,5.0,85,897,43,12425,13450
FRIO,6.0,707,83,84,8663,9537
GAINES,23.0,11,583,13,9894,10501
GALVESTON,14.0,2901,8864,719,233863,246347
GARZA,17.0,6,227,10,2409,2652
GILLESPIE,17.0,252,2280,135,19263,21930
GLASSCOCK,23.0,2,146,0,696,844
GOLIAD,6.0,5,100,4,1033,1142
GOLIAD,25.0,28,516,36,4126,4706
GONZALES,8.0,42,962,47,12154,13205
GRAY,28.0,6,922,16,11407,12351
GRAYSON,4.0,502,4743,291,94845,100381
GREGG,2.0,128,1457,49,26414,28048
GREGG,8.0,659,1736,81,45875,48351
GRIMES,27.0,109,1054,36,19810,21009
GUADALUPE,2.0,8,21,3,315,347
GUADALUPE,7.0,136,501,25,11682,12344
GUADALUPE,8.0,82,275,13,6538,6908
GUADALUPE,9.0,82,246,11,7380,7719
GUADALUPE,18.0,155,725,31,19681,20592
GUADALUPE,29.0,269,1118,66,31430,32883
GUADALUPE,36.0,279,701,37,22304,23321
GUADALUPE,38.0,207,1000,40,25622,26869
HALE,2.0,0,33,0,344,377
HALE,7.0,6,196,10,4247,4459
HALE,8.0,5,121,2,1011,1139
HALE,9.0,3,84,4,1907,1998
HALE,18.0,7,41,1,2436,2485
HALE,29.0,10,104,7,2457,2578
HALE,36.0,1,68,3,1816,1888
HALE,38.0,11,199,9,3098,3317
HALL,17.0,6,78,6,1800,1890
HAMILTON,7.0,0,14,0,228,242
HAMILTON,9.0,2,167,5,1366,1540
HAMILTON,18.0,13,214,4,2789,3020
HAMILTON,29.0,8,136,4,1091,1239
HAMILTON,36.0,2,30,0,207,239
HANSFORD,6.0,1,192,0,1426,1619
HANSFORD,17.0,1,183,0,1207,1391
HARDEMAN,11.0,5,88,6,2296,2395
HARDIN,1.0,72,1383,39,41719,43213
HARRIS,2.0,3318,7785,426,268737,280266
HARRIS,7.0,7317,4192,875,293043,305427
HARRIS,8.0,2470,3042,192,243923,249627
HARRIS,9.0,8387,1757,319,253373,263836
HARRIS,18.0,11364,2872,485,409236,423957
HARRIS,22.0,466,1245,68,47043,48822
HARRIS,29.0,5138,1704,256,332474,339572
HARRIS,36.0,3127,6564,396,254057,264144
HARRIS,38.0,6587,17146,1188,496821,521742
HARRISON,3.0,333,2135,86,36044,38598
