COUNTY,NEWCD,Democrat,Republican,Swing,Unknown,All
ANDERSON,6,210,2550,96,27830,30686
ANDREWS,19,15,774,19,9955,10763
ANGELINA,17,319,3266,132,52394,56111
ARANSAS,27,147,1406,55,18348,19956
ARCHER,13,21,529,6,6469,7025
ARMSTRONG,13,1,224,5,1210,1440
ATASCOSA,28,257,1327,100,30531,32215
AUSTIN,10,123,1347,35,20673,22178
BAILEY,19,5,278,6,2900,3189
BANDERA,21,142,1369,60,17492,19063
BASTROP,10,741,1485,167,30421,32814
BASTROP,27,464,1219,127,26896,28706
BAYLOR,13,13,147,1,2272,2433
BEE,27,98,522,73,15329,16022
BELL,11,1075,1122,87,104196,106480
BELL,31,910,5287,345,127738,134280
BEXAR,20,8691,4312,731,442877,456611
BEXAR,21,5751,8135,1326,224577,239789
BEXAR,23,3780,6447,793,247777,258797
BEXAR,28,3098,1821,261,153145,158325
BEXAR,35,3658,1351,277,176855,182141
BLANCO,21,205,887,29,9931,11052
BORDEN,19,0,72,2,413,487
BOSQUE,31,79,731,20,12864,13694
BOWIE,1,348,2059,75,53256,55738
BOWIE,4,35,363,12,6714,7124
BRAZORIA,9,1460,817,105,58879,61261
BRAZORIA,14,731,5971,243,86308,93253
BRAZORIA,22,1164,3650,153,91026,95993
BRAZOS,10,949,5148,274,127329,133700
BREWSTER,23,258,305,84,6793,7440
BRISCOE,13,3,128,3,907,1041
BROOKS,15,560,9,31,4351,4951
BROWN,11,37,1657,31,23873,25598
BURLESON,10,111,734,9,13033,13887
BURNET,31,332,2256,141,36570,39299
CALDWELL,27,480,911,170,25621,27182
CALHOUN,27,83,611,74,12495,13263
CALLAHAN,19,4,77,0,1039,1120
CALLAHAN,25,14,602,13,8701,9330
CAMERON,34,5089,1302,847,231270,238508
CAMP,1,81,510,25,7832,8448
CARSON,13,4,288,5,4002,4299
CASS,1,73,1291,33,20466,21863
CASTRO,19,21,156,9,3516,3702
CHAMBERS,36,126,2377,80,34573,37156
CHEROKEE,6,221,2242,68,29772,32303
CHILDRESS,13,4,276,6,3520,3806
CLAY,13,13,563,12,7722,8310
COCHRAN,19,2,62,4,1610,1678
COKE,11,3,172,4,2269,2448
COLEMAN,11,16,622,9,5510,6157
COLLIN,3,5978,16636,1676,484614,508904
COLLIN,4,2895,5024,720,190307,198946
COLLIN,32,778,1043,143,41956,43920
COLLINGSWORTH,13,3,186,4,1699,1892
COLORADO,10,88,1110,33,13593,14824
COMAL,21,1200,6466,330,116595,124591
COMAL,35,110,444,25,18847,19426
COMANCHE,25,28,733,24,9273,10058
CONCHO,11,6,141,0,1653,1800
COOKE,26,96,1547,43,28574,30260
CORYELL,31,222,1816,71,45000,47109
COTTLE,13,4,130,2,859,995
CRANE,23,2,237,7,2431,2677
CROCKETT,23,36,72,135,2053,2296
CROSBY,19,8,177,4,3453,3642
CULBERSON,23,296,4,17,1387,1704
DALLAM,13,2,116,0,2751,2869
DALLAS,5,4523,4827,390,231570,241310
DALLAS,6,962,1374,130,73331,75797
DALLAS,24,5732,7276,1183,175916,190107
DALLAS,30,17605,2512,542,415127,435786
DALLAS,32,9735,4751,813,334922,350221
DALLAS,33,3007,1019,171,174364,178561
DAWSON,19,3,420,13,6353,6789
DE WITT,27,38,713,22,10621,11394
DEAF SMITH,13,15,521,19,8223,8778
DELTA,4,9,390,10,3711,4120
DENTON,0,0,0,0,5,5
DENTON,4,438,1321,131,36191,38081
DENTON,13,1291,2761,262,91143,95457
DENTON,26,4902,14910,1160,489627,510599
DENTON,32,300,256,36,18619,19211
DICKENS,13,5,148,3,1283,1439
DIMMIT,23,938,13,34,5733,6718
DONLEY,13,7,75,3,2335,2420
DUVAL,28,919,13,44,7074,8050
EASTLAND,25,22,886,11,11645,12564
ECTOR,11,287,2731,110,83661,86789
EDWARDS,23,5,139,5,1352,1501
EL PASO,0,0,0,0,1,1
EL PASO,16,11794,2904,1015,456281,471994
EL PASO,23,659,213,72,50755,51699
ELLIS,6,1464,5639,266,140377,147746
ERATH,25,101,2147,63,23737,26048
FALLS,17,75,364,32,10122,10593
FANNIN,4,96,1485,57,23345,24983
FAYETTE,10,141,1801,74,16382,18398
FISHER,19,19,117,12,2574,2722
FLOYD,19,5,354,7,3301,3667
FOARD,13,7,52,93,656,808
FORT BEND,7,2205,1948,277,120640,125070
FORT BEND,9,4412,789,115,96418,101734
FORT BEND,22,4759,11325,884,311990,328958
FRANKLIN,1,34,557,27,7017,7635
FREESTONE,0,0,0,0,2,2
FREESTONE,6,33,564,26,6414,7037
FREESTONE,17,52,333,17,6011,6413
FRIO,23,707,83,84,8671,9545
GAINES,19,11,583,13,9894,10501
GALVESTON,14,2901,8867,719,233888,246375
GARZA,19,6,227,10,2410,2653
GILLESPIE,21,252,2280,135,19264,21931
GLASSCOCK,11,2,146,0,696,844
GOLIAD,27,33,616,40,5159,5848
GONZALES,27,42,962,47,12154,13205
GRAY,13,6,922,16,11410,12354
GRAYSON,4,502,4743,291,94845,100381
GREGG,1,789,3195,130,72341,76455
GRIMES,10,109,1057,36,19959,21161
GUADALUPE,15,379,2251,123,48200,50953
GUADALUPE,28,839,2336,103,76752,80030
HALE,19,43,846,36,17375,18300
HALL,13,6,78,6,1801,1891
HAMILTON,31,25,561,13,5681,6280
HANSFORD,13,2,375,0,2633,3010
HARDEMAN,13,5,88,6,2296,2395
HARDIN,36,76,1383,39,41743,43241
HARRIS,2,3318,7785,426,268737,280266
HARRIS,7,7317,4192,875,293043,305427
HARRIS,8,2470,3042,192,243923,249627
HARRIS,9,8387,1757,319,253373,263836
HARRIS,18,11364,2872,485,409236,423957
HARRIS,22,466,1245,68,47043,48822
HARRIS,29,5138,1704,256,332474,339572
HARRIS,36,3127,6564,396,254057,264144
HARRIS,38,6587,17146,1188,496821,521742
HARRISON,1,402,2567,103,44360,47432
HARTLEY,13,6,229,5,2613,2853
HASKELL,19,17,101,6,3327,3451
HAYS,0,0,0,0,6,6
HAYS,21,2857,3415,473,85721,92466
HAYS,35,1454,642,141,91353,93590
HEMPHILL,13,5,268,6,2068,2347
HENDERSON,5,335,3201,116,56092,59744
HIDALGO,15,7816,1337,1177,284514,294844
HIDALGO,34,3761,432,422,147702,152317
HILL,6,110,1320,43,25415,26888
HOCKLEY,19,26,831,19,13134,14010
HOOD,25,189,3790,132,47713,51824
HOPKINS,4,98,1308,44,24004,25454
HOUSTON,17,129,1019,29,12760,13937
HOWARD,19,52,793,27,16367,17239
HUDSPETH,23,36,61,51,2067,2215
HUNT,0,0,0,0,2,2
HUNT,3,245,2666,113,60934,63958
HUNT,4,24,175,3,8868,9070
HUTCHINSON,13,28,1034,14,12398,13474
IRION,11,2,133,8,1091,1234
JACK,25,10,550,15,5295,5870
JACKSON,27,30,623,10,9261,9924
JASPER,36,162,1712,107,22602,24583
JEFF DAVIS,23,39,187,48,1301,1575
JEFFERSON,14,2946,2205,480,96385,102016
JEFFERSON,36,1591,929,183,43476,46179
JIM HOGG,28,584,4,7,2963,3558
JIM WELLS,15,1440,247,171,24622,26480
