COUNTY,2026_HD,Democrat,Republican,Swing,Unknown,All
ANDERSON,35.0,55,608,20,8114,8797
ANDERSON,36.0,20,353,9,3207,3589
ANDERSON,39.0,52,1035,32,9392,10511
ANDERSON,40.0,11,296,5,2337,2649
ANDERSON,41.0,72,257,30,4779,5138
ANDREWS,74.0,15,774,19,9955,10763
ANGELINA,9.0,319,3266,132,52393,56110
ARANSAS,80.0,147,1406,55,18348,19956
ARCHER,13.0,21,529,6,6460,7016
ARMSTRONG,73.0,1,224,5,1210,1440
ATASCOSA,32.0,87,247,23,8792,9149
ATASCOSA,34.0,170,1080,77,21739,23066
AUSTIN,54.0,78,925,15,15875,16893
AUSTIN,55.0,45,422,20,4798,5285
BAILEY,12.0,5,278,6,2899,3188
BANDERA,69.0,142,1369,60,17492,19063
BASTROP,116.0,163,403,45,8894,9505
BASTROP,119.0,413,744,90,17158,18405
BASTROP,120.0,69,156,14,2407,2646
BASTROP,121.0,135,263,33,7951,8382
BASTROP,122.0,90,246,11,5567,5914
BASTROP,123.0,111,232,38,5373,5754
BASTROP,124.0,63,138,13,2853,3067
BASTROP,125.0,161,522,50,7114,7847
BAYLOR,31.0,13,147,1,2272,2433
BEE,13.0,56,331,45,9163,9595
BEE,56.0,42,191,28,6166,6427
BELL,54.0,889,2718,149,110738,114494
BELL,55.0,1096,3691,283,121196,126266
BEXAR,116.0,2730,1185,242,111706,115863
BEXAR,117.0,1611,1007,130,130707,133455
BEXAR,118.0,1936,2066,235,135080,139317
BEXAR,119.0,2450,1185,151,117838,121624
BEXAR,120.0,2145,1003,167,112797,116112
BEXAR,121.0,3168,5259,871,139170,148468
BEXAR,122.0,2705,5615,738,154120,163178
BEXAR,123.0,3607,1930,434,113945,119916
BEXAR,124.0,1690,759,118,102417,104984
BEXAR,125.0,2936,2057,302,127451,132746
BLANCO,62.0,205,887,29,9930,11051
BORDEN,83.0,0,72,2,413,487
BOSQUE,25.0,44,489,16,8827,9376
BOSQUE,29.0,35,242,4,4037,4318
BOWIE,1.0,383,2422,87,59970,62862
BRAZORIA,12.0,1100,3014,156,65960,70230
BRAZORIA,14.0,2255,7424,345,170253,180277
BRAZOS,12.0,198,1131,44,21133,22506
BRAZOS,14.0,751,4017,230,106196,111194
BREWSTER,11.0,258,305,84,6793,7440
BRISCOE,31.0,3,128,3,907,1041
BROOKS,31.0,560,9,31,4351,4951
BROWN,129.0,3,234,3,2575,2815
BROWN,131.0,1,152,3,1801,1957
BROWN,133.0,2,40,0,1082,1124
BROWN,134.0,6,167,2,3413,3588
BROWN,139.0,4,163,4,2238,2409
BROWN,140.0,8,269,5,3823,4105
BROWN,141.0,5,394,7,4814,5220
BROWN,142.0,1,58,2,1378,1439
BROWN,144.0,6,149,4,2167,2326
BROWN,147.0,1,31,1,568,601
BURLESON,54.0,68,451,6,7269,7794
BURLESON,55.0,43,283,3,5735,6064
BURNET,19.0,332,2256,141,36570,39299
CALDWELL,128.0,121,125,34,2697,2977
CALDWELL,129.0,4,12,0,981,997
CALDWELL,130.0,63,76,12,3402,3553
CALDWELL,131.0,36,15,5,1295,1351
CALDWELL,133.0,11,20,0,966,997
CALDWELL,134.0,18,98,9,1424,1549
CALDWELL,135.0,1,26,5,620,652
CALDWELL,141.0,76,125,27,3628,3856
CALDWELL,142.0,19,96,27,2296,2438
CALDWELL,143.0,39,73,14,1219,1345
CALDWELL,144.0,43,74,11,3712,3840
CALDWELL,145.0,34,143,20,2535,2732
CALDWELL,149.0,15,28,6,843,892
CALHOUN,32.0,31,255,38,3856,4180
CALHOUN,34.0,52,356,36,8639,9083
CALLAHAN,7.0,18,679,13,9740,10450
CAMERON,21.0,1535,432,260,66290,68517
CAMERON,22.0,3554,870,587,164980,169991
CAMP,120.0,16,131,4,2012,2163
CAMP,122.0,23,52,4,1837,1916
CAMP,123.0,42,327,17,3983,4369
CARSON,62.0,4,288,5,4002,4299
CASS,1.0,73,1291,33,20465,21862
CASTRO,129.0,0,11,0,223,234
CASTRO,140.0,3,18,0,746,767
CASTRO,141.0,1,13,1,980,995
CASTRO,142.0,3,28,1,724,756
CASTRO,144.0,11,75,7,729,822
CASTRO,145.0,3,11,0,114,128
CHAMBERS,12.0,60,1124,40,16119,17343
CHAMBERS,14.0,66,1253,40,18454,19813
CHEROKEE,128.0,5,174,4,1757,1940
CHEROKEE,134.0,24,260,11,3866,4161
CHEROKEE,142.0,23,92,8,2779,2902
CHEROKEE,143.0,10,117,4,1248,1379
CHEROKEE,145.0,55,626,14,6603,7298
CHEROKEE,146.0,17,249,4,2173,2443
CHEROKEE,147.0,73,665,21,10120,10879
CHEROKEE,148.0,14,59,2,1226,1301
CHILDRESS,85.0,4,276,6,3520,3806
CLAY,35.0,0,124,1,2373,2498
CLAY,36.0,4,130,3,1472,1609
CLAY,39.0,5,98,4,1270,1377
CLAY,40.0,0,51,0,522,573
CLAY,41.0,4,160,4,2085,2253
COCHRAN,62.0,2,62,4,1610,1678
COKE,72.0,3,172,4,2269,2448
COLEMAN,33.0,16,622,9,5510,6157
COLLIN,126.0,240,439,77,12730,13486
COLLIN,127.0,34,131,10,5587,5762
COLLIN,128.0,330,722,82,23510,24644
COLLIN,129.0,206,445,73,15863,16587
COLLIN,130.0,286,663,71,20098,21118
COLLIN,131.0,67,218,21,7613,7919
COLLIN,132.0,183,385,66,11473,12107
COLLIN,133.0,204,441,47,14824,15516
COLLIN,134.0,1150,2967,306,96298,100721
COLLIN,137.0,28,144,5,5906,6083
COLLIN,138.0,341,808,104,24293,25546
COLLIN,139.0,381,1071,93,32118,33663
COLLIN,140.0,202,432,48,11983,12665
COLLIN,141.0,345,678,79,28823,29925
COLLIN,142.0,488,1193,137,36121,37939
COLLIN,143.0,841,2015,240,51627,54723
COLLIN,144.0,316,817,92,25599,26824
COLLIN,145.0,1675,3654,394,120264,125987
COLLIN,146.0,593,1351,145,43886,45975
COLLIN,147.0,1259,2824,308,94323,98714
COLLIN,148.0,271,760,82,18154,19267
COLLIN,150.0,211,545,59,15784,16599
COLLINGSWORTH,71.0,3,186,4,1696,1889
COLORADO,82.0,88,1110,33,13592,14823
COMAL,73.0,1310,6910,355,135442,144017
COMANCHE,13.0,21,494,15,6602,7132
COMANCHE,56.0,7,239,9,2670,2925
CONCHO,129.0,3,18,0,381,402
CONCHO,134.0,0,3,0,140,143
