COUNTY,NEWHD,Democrat,Republican,Swing,Unknown,All
ANDERSON,8,210,2550,96,27830,30686
ANDREWS,88,15,774,19,9955,10763
ANGELINA,9,319,3266,132,52394,56111
ARANSAS,32,147,1406,55,18348,19956
ARCHER,69,21,529,6,6469,7025
ARMSTRONG,86,1,224,5,1210,1440
ATASCOSA,80,257,1327,100,30531,32215
AUSTIN,85,123,1347,35,20673,22178
BAILEY,88,5,278,6,2900,3189
BANDERA,53,142,1369,60,17492,19063
BASTROP,17,1205,2704,294,57317,61520
BAYLOR,69,13,147,1,2272,2433
BEE,43,98,522,73,15329,16022
BELL,54,889,2718,149,110738,114494
BELL,55,1096,3691,283,121196,126266
BEXAR,116,2730,1185,242,111706,115863
BEXAR,117,1611,1007,130,130707,133455
BEXAR,118,1936,2066,235,135080,139317
BEXAR,119,2450,1185,151,117838,121624
BEXAR,120,2145,1003,167,112797,116112
BEXAR,121,3168,5259,871,139170,148468
BEXAR,122,2705,5615,738,154120,163178
BEXAR,123,3607,1930,434,113945,119916
BEXAR,124,1690,759,118,102417,104984
BEXAR,125,2936,2057,302,127451,132746
BLANCO,19,205,887,29,9931,11052
BORDEN,83,0,72,2,413,487
BOSQUE,13,79,731,20,12864,13694
BOWIE,1,383,2422,87,59970,62862
BRAZORIA,25,1555,5625,247,115590,123017
BRAZORIA,29,1800,4813,254,120623,127490
BRAZOS,0,0,0,0,1,1
BRAZOS,12,198,1131,44,21132,22505
BRAZOS,14,751,4017,230,106196,111194
BREWSTER,74,258,305,84,6793,7440
BRISCOE,88,3,128,3,907,1041
BROOKS,31,560,9,31,4351,4951
BROWN,68,37,1657,31,23873,25598
BURLESON,17,111,734,9,13033,13887
BURNET,19,332,2256,141,36570,39299
CALDWELL,17,480,911,170,25621,27182
CALHOUN,43,83,611,74,12495,13263
CALLAHAN,71,18,679,13,9740,10450
CAMERON,35,720,132,100,36414,37366
CAMERON,37,1711,893,357,93365,96326
CAMERON,38,2658,277,390,101491,104816
CAMP,5,81,510,25,7832,8448
CARSON,87,4,288,5,4002,4299
CASS,1,73,1291,33,20466,21863
CASTRO,88,21,156,9,3516,3702
CHAMBERS,23,126,2377,80,34573,37156
CHEROKEE,8,221,2242,68,29772,32303
CHILDRESS,88,4,276,6,3520,3806
CLAY,69,13,563,12,7722,8310
COCHRAN,88,2,62,4,1610,1678
COKE,72,3,172,4,2269,2448
COLEMAN,72,16,622,9,5510,6157
COLLIN,33,902,1463,176,52377,54918
COLLIN,61,1424,3926,373,140947,146670
COLLIN,66,1699,4173,538,139734,146144
COLLIN,67,1692,4443,447,139348,145930
COLLIN,70,2268,3929,605,108013,114815
COLLIN,89,1666,4769,400,136458,143293
COLLINGSWORTH,88,3,186,4,1699,1892
COLORADO,85,88,1110,33,13593,14824
COMAL,73,1310,6910,355,135442,144017
COMANCHE,68,28,733,24,9273,10058
CONCHO,72,6,141,0,1653,1800
COOKE,68,96,1547,43,28574,30260
CORYELL,59,222,1816,71,45000,47109
COTTLE,69,4,130,2,859,995
CRANE,53,2,237,7,2431,2677
CROCKETT,53,36,72,135,2053,2296
CROSBY,83,8,177,4,3453,3642
CULBERSON,74,296,4,17,1387,1704
DALLAM,86,2,116,0,2751,2869
DALLAS,100,2808,251,76,87119,90254
DALLAS,102,2181,1514,209,89908,93812
DALLAS,103,2242,681,162,91369,94454
DALLAS,104,1453,667,94,87069,89283
DALLAS,105,1051,1326,122,80797,83296
DALLAS,107,1291,1077,81,81358,83807
DALLAS,108,4749,5170,909,136248,147076
DALLAS,109,5653,834,139,110179,116805
DALLAS,110,2311,183,28,84939,87461
DALLAS,111,6395,957,152,104889,112393
DALLAS,112,3296,3936,448,124143,131823
DALLAS,113,2312,1785,170,103226,107493
DALLAS,114,3753,1199,310,114996,120258
DALLAS,115,2069,2179,329,108990,113567
DAWSON,82,3,420,13,6353,6789
DE WITT,30,38,713,22,10621,11394
DEAF SMITH,86,15,521,19,8223,8778
DELTA,62,9,390,10,3711,4120
DENTON,0,0,0,0,5,5
DENTON,57,1305,3964,275,129656,135200
DENTON,63,1518,3563,335,126317,131733
DENTON,64,1263,3375,267,87504,92409
DENTON,65,1541,4378,389,145633,151941
DENTON,106,1304,3968,323,146470,152065
DICKENS,83,5,148,3,1283,1439
DIMMIT,80,938,13,34,5733,6718
DONLEY,88,7,75,3,2335,2420
DUVAL,31,919,13,44,7074,8050
EASTLAND,68,22,886,11,11645,12564
ECTOR,81,287,2731,110,83661,86789
EDWARDS,53,5,139,5,1352,1501
EL PASO,0,0,0,0,1,1
EL PASO,74,298,100,42,29019,29459
EL PASO,75,1331,305,142,112882,114660
EL PASO,77,3523,385,183,116003,120094
EL PASO,78,3435,1393,414,130048,135290
EL PASO,79,3866,934,306,119084,124190
ELLIS,10,1464,5639,266,140377,147746
ERATH,59,101,2147,63,23737,26048
FALLS,13,75,364,32,10122,10593
FANNIN,62,96,1485,57,23345,24983
FAYETTE,85,141,1801,74,16382,18398
FISHER,69,19,117,12,2574,2722
FLOYD,83,5,354,7,3301,3667
FOARD,69,7,52,93,656,808
FORT BEND,26,1509,4351,313,121545,127718
FORT BEND,27,5416,1635,236,130593,137880
FORT BEND,28,1871,5050,396,138983,146300
FORT BEND,76,2205,2448,275,118781,123709
FORT BEND,85,375,578,56,19146,20155
FRANKLIN,62,34,557,27,7017,7635
FREESTONE,13,85,897,43,12427,13452
FRIO,80,707,83,84,8671,9545
GAINES,88,11,583,13,9894,10501
GALVESTON,0,0,3,0,25,28
GALVESTON,23,1379,3046,360,93428,98213
GALVESTON,24,1522,5818,359,140435,148134
GARZA,83,6,227,10,2410,2653
GILLESPIE,19,252,2280,135,19264,21931
GLASSCOCK,72,2,146,0,696,844
GOLIAD,30,33,616,40,5159,5848
GONZALES,44,42,962,47,12154,13205
GRAY,88,6,922,16,11410,12354
GRAYSON,62,502,4743,291,94845,100381
GREGG,7,789,3195,130,72341,76455
GRIMES,12,109,1057,36,19959,21161
GUADALUPE,44,1218,4587,226,124952,130983
HALE,88,43,846,36,17375,18300
HALL,88,6,78,6,1801,1891
HAMILTON,59,25,561,13,5681,6280
HANSFORD,87,2,375,0,2633,3010
HARDEMAN,69,5,88,6,2296,2395
HARDIN,18,76,1383,39,41743,43241
HARRIS,126,1432,3830,191,121369,126822
HARRIS,127,1757,4658,250,138470,145135
HARRIS,128,922,3281,155,109668,114026
HARRIS,129,2043,3541,254,130388,136226
HARRIS,130,1106,3713,165,132401,137385
HARRIS,131,2854,353,61,89433,92701
HARRIS,132,1408,2992,189,137365,141954
HARRIS,133,2063,4564,408,112397,119432
HARRIS,134,5308,3152,785,142045,151290
HARRIS,135,1229,1044,74,114740,117087
HARRIS,137,968,737,79,63231,65015
HARRIS,138,1827,3825,287,114072,120011
HARRIS,139,3594,908,131,109256,113889
HARRIS,140,653,272,19,73638,74582
HARRIS,141,1980,254,28,89112,91374
HARRIS,142,2342,487,79,99624,102532
HARRIS,143,1398,531,90,84908,86927
HARRIS,144,747,890,46,88452,90135
HARRIS,145,3026,740,230,106400,110396
HARRIS,146,4035,811,164,101676,106686
HARRIS,147,3875,476,154,120664,125169
HARRIS,148,1423,1388,128,96609,99548
HARRIS,149,1072,817,71,97764,99724
HARRIS,150,1112,3043,167,125025,129347
HARRISON,7,402,2567,103,44360,47432
HARTLEY,86,6,229,5,2613,2853
HASKELL,69,17,101,6,3327,3451
HAYS,0,0,0,0,6,6
HAYS,45,3201,2307,413,142829,148750
HAYS,73,1110,1750,201,34245,37306
HEMPHILL,88,5,268,6,2068,2347
HENDERSON,0,0,0,0,42,42
HENDERSON,4,193,1552,91,32836,34672
HENDERSON,8,142,1649,25,23214,25030
HIDALGO,35,1532,86,161,47739,49518
HIDALGO,36,2064,235,275,94296,96870
HIDALGO,39,2004,335,251,96095,98685
