COUNTY,2026_SD,Democrat,Republican,Swing,Unknown,All
ANDERSON,11.0,65,917,31,10236,11249
ANDERSON,17.0,145,1632,65,17593,19435
ANDREWS,27.0,15,774,19,9955,10763
ANGELINA,3.0,319,3266,132,52393,56110
ARANSAS,3.0,147,1406,55,18348,19956
ARCHER,1.0,21,529,6,6460,7016
ARMSTRONG,21.0,1,224,5,1210,1440
ATASCOSA,4.0,190,1019,77,21749,23035
ATASCOSA,7.0,45,235,21,4196,4497
ATASCOSA,18.0,22,73,2,4586,4683
AUSTIN,4.0,9,161,13,1330,1513
AUSTIN,6.0,48,469,9,7001,7527
AUSTIN,7.0,1,74,0,617,692
AUSTIN,11.0,11,106,1,3541,3659
AUSTIN,13.0,35,369,8,5293,5705
AUSTIN,17.0,19,168,4,2891,3082
BAILEY,5.0,5,278,6,2899,3188
BANDERA,30.0,142,1369,60,17492,19063
BASTROP,5.0,1205,2704,294,57317,61520
BAYLOR,21.0,13,147,1,2272,2433
BEE,3.0,98,522,73,15329,16022
BELL,24.0,1985,6409,432,231934,240760
BEXAR,19.0,6785,4577,644,439387,451393
BEXAR,21.0,127,222,17,11161,11527
BEXAR,25.0,5325,10034,1456,268376,285191
BEXAR,26.0,12741,7233,1271,526307,547552
BLANCO,14.0,205,887,29,9930,11051
BORDEN,2.0,0,72,2,413,487
BOSQUE,2.0,79,731,20,12864,13694
BOWIE,1.0,383,2422,87,59970,62862
BRAZORIA,20.0,2969,8616,417,203542,215544
BRAZORIA,27.0,386,1822,84,32671,34963
BRAZOS,20.0,724,3958,210,101232,106124
BRAZOS,27.0,225,1190,64,26097,27576
BREWSTER,24.0,258,305,84,6793,7440
BRISCOE,5.0,3,128,3,907,1041
BROOKS,20.0,560,9,31,4351,4951
BROWN,6.0,20,661,15,8789,9485
BROWN,11.0,3,234,3,2575,2815
BROWN,13.0,2,210,5,3179,3396
BROWN,15.0,10,512,8,8234,8764
BROWN,17.0,2,40,0,1082,1124
BURLESON,24.0,111,734,9,13004,13858
BURNET,3.0,332,2256,141,36570,39299
CALDWELL,4.0,121,125,34,2697,2977
CALDWELL,6.0,141,311,57,8166,8675
CALDWELL,7.0,64,102,17,4022,4205
CALDWELL,11.0,4,12,0,981,997
CALDWELL,13.0,96,203,43,5608,5950
CALDWELL,15.0,28,110,13,2335,2486
CALDWELL,17.0,26,48,6,1809,1889
CALHOUN,27.0,83,611,74,12495,13263
CALLAHAN,21.0,18,679,13,9740,10450
CAMERON,4.0,371,43,37,13134,13585
CAMERON,6.0,1822,556,309,83067,85754
CAMERON,7.0,342,64,56,12143,12605
CAMERON,11.0,285,57,55,14888,15285
CAMERON,13.0,485,117,85,23036,23723
CAMERON,15.0,1729,457,290,81938,84414
CAMERON,17.0,5,0,3,624,632
CAMERON,18.0,50,8,12,2440,2510
CAMP,1.0,81,510,25,7832,8448
CARSON,28.0,4,288,5,4002,4299
CASS,1.0,73,1291,33,20465,21862
CASTRO,28.0,21,156,9,3516,3702
CHAMBERS,1.0,126,2377,80,34573,37156
CHEROKEE,4.0,216,2068,64,28015,30363
CHEROKEE,7.0,5,174,4,1757,1940
CHILDRESS,25.0,4,276,6,3520,3806
CLAY,28.0,13,563,12,7722,8310
COCHRAN,28.0,2,57,4,1533,1596
COCHRAN,30.0,0,5,0,77,82
COKE,18.0,3,172,4,2269,2448
COLEMAN,3.0,16,622,9,5510,6157
COLLIN,20.0,6036,14101,1582,421353,443072
COLLIN,27.0,3615,8602,957,295524,308698
COLLINGSWORTH,5.0,3,186,4,1696,1889
COLORADO,28.0,61,570,13,8091,8735
COLORADO,30.0,27,540,20,5501,6088
COMAL,25.0,1310,6910,355,135442,144017
COMANCHE,3.0,28,733,24,9272,10057
CONCHO,28.0,6,141,0,1653,1800
COOKE,30.0,96,1547,43,28574,30260
CORYELL,24.0,222,1816,71,44999,47108
COTTLE,31.0,4,130,2,859,995
CRANE,12.0,2,237,7,2431,2677
CROCKETT,21.0,36,72,135,2053,2296
CROSBY,20.0,5,74,3,1729,1811
CROSBY,27.0,3,103,1,1718,1825
CULBERSON,29.0,296,4,17,1387,1704
DALLAM,18.0,2,116,0,2751,2869
DALLAS,2.0,5159,5510,513,241075,252257
DALLAS,12.0,5207,6285,957,209333,221782
DALLAS,16.0,10370,6726,1070,459412,477578
DALLAS,23.0,20828,3238,689,495410,520165
DAWSON,3.0,3,420,13,6353,6789
DE WITT,22.0,38,713,22,10617,11390
DEAF SMITH,19.0,6,258,10,2387,2661
DEAF SMITH,29.0,9,263,9,5835,6116
DELTA,1.0,9,390,10,3711,4120
DENTON,12.0,3525,11140,871,313109,328645
DENTON,26.0,0,0,0,1,1
DENTON,30.0,3406,8108,718,322471,334703
DICKENS,19.0,2,60,1,490,553
DICKENS,29.0,3,88,2,792,885
DIMMIT,21.0,933,13,34,5686,6666
DONLEY,18.0,7,75,3,2325,2410
DUVAL,5.0,919,13,44,7074,8050
EASTLAND,11.0,6,144,0,2241,2391
EASTLAND,17.0,16,742,11,9404,10173
ECTOR,4.0,10,143,3,6640,6796
ECTOR,6.0,98,1219,42,28093,29452
ECTOR,7.0,21,135,5,6821,6982
ECTOR,11.0,5,50,2,4171,4228
ECTOR,13.0,73,596,27,19510,20206
ECTOR,15.0,60,452,23,13453,13988
ECTOR,17.0,20,136,8,4973,5137
EDWARDS,5.0,5,139,5,1350,1499
EL PASO,2.0,1203,282,119,43448,45052
EL PASO,8.0,10578,2714,932,442564,456788
EL PASO,30.0,672,121,36,21024,21853
ELLIS,4.0,34,129,4,4188,4355
ELLIS,6.0,330,1292,62,31982,33666
ELLIS,7.0,148,484,19,11513,12164
ELLIS,11.0,131,791,41,15820,16783
ELLIS,13.0,256,1091,62,27039,28448
ELLIS,15.0,337,1321,58,33271,34987
ELLIS,17.0,89,178,3,7580,7850
ELLIS,18.0,139,353,17,8983,9492
ERATH,27.0,101,2147,63,23737,26048
FALLS,4.0,0,44,3,746,793
FALLS,6.0,31,168,13,4377,4589
FALLS,13.0,38,111,16,3782,3947
FALLS,15.0,4,24,0,779,807
FALLS,17.0,2,17,0,438,457
FANNIN,5.0,96,1485,57,23344,24982
FAYETTE,18.0,141,1801,74,16382,18398
FISHER,3.0,19,117,12,2574,2722
FLOYD,2.0,5,354,7,3299,3665
FOARD,17.0,7,52,93,656,808
FORT BEND,13.0,5234,1618,226,124136,131214
FORT BEND,17.0,2529,6840,503,175804,185676
FORT BEND,18.0,3613,5604,547,229108,238872
FRANKLIN,14.0,34,557,27,7017,7635
FREESTONE,1.0,85,897,43,12425,13450
FRIO,3.0,707,83,84,8663,9537
GAINES,21.0,11,583,13,9894,10501
GALVESTON,4.0,20,179,8,2307,2514
GALVESTON,11.0,2881,8685,711,231556,243833
GARZA,22.0,6,227,10,2409,2652
GILLESPIE,11.0,66,795,32,5903,6796
GILLESPIE,17.0,186,1485,103,13360,15134
GLASSCOCK,18.0,2,146,0,696,844
GOLIAD,8.0,33,616,40,5159,5848
GONZALES,29.0,42,962,47,12154,13205
GRAY,28.0,6,922,16,11407,12351
GRAYSON,4.0,26,55,7,2336,2424
GRAYSON,6.0,192,1773,109,35326,37400
GRAYSON,7.0,12,197,6,3229,3444
GRAYSON,11.0,18,421,12,6720,7171
GRAYSON,13.0,156,1281,91,25781,27309
GRAYSON,15.0,94,988,65,20728,21875
GRAYSON,17.0,4,28,1,725,758
GREGG,3.0,787,3193,130,72289,76399
GRIMES,20.0,64,743,26,13606,14439
GRIMES,27.0,45,311,10,6204,6570
GUADALUPE,4.0,14,78,3,956,1051
GUADALUPE,6.0,339,1374,84,36947,38744
GUADALUPE,7.0,153,566,20,18168,18907
GUADALUPE,11.0,248,555,27,19671,20501
GUADALUPE,13.0,168,658,29,18271,19126
GUADALUPE,15.0,182,814,32,19252,20280
GUADALUPE,17.0,114,542,31,11687,12374
HALE,4.0,0,36,0,1047,1083
HALE,6.0,10,127,10,3603,3750
HALE,7.0,8,229,7,2917,3161
HALE,11.0,1,52,1,722,776
HALE,13.0,10,114,4,3494,3622
HALE,15.0,14,288,14,5533,5849
HALL,31.0,6,78,6,1800,1890
HAMILTON,1.0,25,561,13,5681,6280
HANSFORD,3.0,2,375,0,2633,3010
HARDEMAN,3.0,5,88,6,2296,2395
HARDIN,1.0,72,1383,39,41719,43213
HARRIS,4.0,2312,6446,340,207206,216304
HARRIS,6.0,6324,2603,320,415993,425240
HARRIS,7.0,5806,14409,815,558904,579934
HARRIS,11.0,2585,5685,342,196885,205497
HARRIS,13.0,11174,1612,319,356855,369960
HARRIS,15.0,15085,7181,1325,541428,565019
HARRIS,17.0,3863,7332,659,228253,240107
HARRIS,18.0,1025,1039,85,93183,95332
HARRISON,1.0,402,2567,103,44359,47431
HARTLEY,31.0,6,229,5,2613,2853
HASKELL,24.0,17,101,6,3327,3451
HAYS,4.0,185,51,16,6730,6982
HAYS,6.0,914,887,125,49558,51484
HAYS,7.0,579,647,91,22482,23799
HAYS,11.0,144,176,14,2283,2617
HAYS,13.0,1265,1133,182,49206,51786
HAYS,15.0,819,754,127,27176,28876
HAYS,17.0,405,409,59,19639,20512
HEMPHILL,6.0,2,154,3,972,1131
HEMPHILL,13.0,0,111,3,1011,1125
HEMPHILL,17.0,3,3,0,85,91
HENDERSON,3.0,335,3201,116,56050,59702
HIDALGO,4.0,589,117,113,21723,22542
HIDALGO,6.0,4086,726,593,147660,153065
HIDALGO,7.0,710,121,129,24251,25211
HIDALGO,11.0,713,39,56,17964,18772
HIDALGO,13.0,2026,271,270,73470,76037
HIDALGO,15.0,3011,421,376,120806,124614
HIDALGO,17.0,305,56,41,19889,20291
HIDALGO,18.0,137,18,21,6453,6629
HILL,10.0,110,1320,43,25411,26884
HOCKLEY,28.0,26,831,19,13133,14009
HOOD,4.0,15,207,12,3359,3593
HOOD,6.0,83,1626,54,21889,23652
HOOD,7.0,20,414,11,6354,6799
HOOD,11.0,1,11,1,688,701
HOOD,13.0,33,657,30,7098,7818
HOOD,15.0,27,621,13,5834,6495
HOOD,17.0,10,254,11,2490,2765
HOPKINS,1.0,98,1308,44,24003,25453
HOUSTON,27.0,129,1019,29,12760,13937
HOWARD,31.0,52,745,25,15608,16430
HUDSPETH,29.0,36,61,51,2064,2212
HUNT,8.0,269,2841,116,69802,73028
HUTCHINSON,8.0,28,1034,14,12398,13474
IRION,31.0,2,133,8,1091,1234
JACK,17.0,10,550,15,5294,5869
JACKSON,31.0,30,623,10,9261,9924
JASPER,1.0,162,1711,107,22595,24575
JEFF DAVIS,3.0,39,187,48,1298,1572
JEFFERSON,20.0,2641,2270,452,92588,97951
JEFFERSON,27.0,1896,864,211,47273,50244
JIM HOGG,3.0,584,4,7,2963,3558
JIM WELLS,22.0,1440,247,171,24622,26480
JOHNSON,3.0,527,3898,142,96666,101233
JOHNSON,4.0,109,958,25,26987,28079
JONES,18.0,26,395,13,10463,10897
KARNES,1.0,36,413,50,7968,8467
