COUNTY,NEWSD,Democrat,Republican,Swing,Unknown,All
ANDERSON,3,210,2550,96,27830,30686
ANDREWS,31,15,774,19,9955,10763
ANGELINA,3,319,3266,132,52394,56111
ARANSAS,18,147,1406,55,18348,19956
ARCHER,30,21,529,6,6469,7025
ARMSTRONG,31,1,224,5,1210,1440
ATASCOSA,19,60,381,21,10142,10604
ATASCOSA,24,197,946,79,20389,21611
AUSTIN,18,123,1347,35,20673,22178
BAILEY,31,5,278,6,2900,3189
BANDERA,24,142,1369,60,17492,19063
BASTROP,5,1205,2704,294,57317,61520
BAYLOR,28,13,147,1,2272,2433
BEE,27,98,522,73,15329,16022
BELL,24,1985,6409,432,231934,240760
BEXAR,19,6785,4577,644,439387,451393
BEXAR,21,127,222,17,11161,11527
BEXAR,25,5325,10034,1456,268376,285191
BEXAR,26,12741,7233,1271,526307,547552
BLANCO,25,205,887,29,9931,11052
BORDEN,31,0,72,2,413,487
BOSQUE,22,79,731,20,12864,13694
BOWIE,1,383,2422,87,59970,62862
BRAZORIA,11,2801,5529,305,164830,173465
BRAZORIA,17,554,4909,196,71383,77042
BRAZOS,5,949,5148,274,127329,133700
BREWSTER,19,20,13,5,505,543
BREWSTER,29,238,292,79,6288,6897
BRISCOE,31,3,128,3,907,1041
BROOKS,20,560,9,31,4351,4951
BROWN,10,37,1657,31,23873,25598
BURLESON,18,111,734,9,13033,13887
BURNET,24,332,2256,141,36570,39299
CALDWELL,21,480,911,170,25621,27182
CALHOUN,18,83,611,74,12495,13263
CALLAHAN,10,18,679,13,9740,10450
CAMERON,27,5089,1302,847,231270,238508
CAMP,1,81,510,25,7832,8448
CARSON,31,4,288,5,4002,4299
CASS,1,73,1291,33,20466,21863
CASTRO,31,21,156,9,3516,3702
CHAMBERS,4,126,2377,80,34573,37156
CHEROKEE,3,221,2242,68,29772,32303
CHILDRESS,28,4,276,6,3520,3806
CLAY,30,13,563,12,7722,8310
COCHRAN,31,2,62,4,1610,1678
COKE,31,3,172,4,2269,2448
COLEMAN,28,16,622,9,5510,6157
COLLIN,2,1268,1614,295,53030,56207
COLLIN,8,7643,19655,2083,585795,615176
COLLIN,30,740,1434,161,78052,80387
COLLINGSWORTH,28,3,186,4,1699,1892
COLORADO,17,88,1110,33,13593,14824
COMAL,25,1310,6910,355,135442,144017
COMANCHE,22,28,733,24,9273,10058
CONCHO,28,6,141,0,1653,1800
COOKE,30,96,1547,43,28574,30260
CORYELL,24,222,1816,71,45000,47109
COTTLE,28,4,130,2,859,995
CRANE,31,2,237,7,2431,2677
CROCKETT,19,36,72,135,2053,2296
CROSBY,28,8,177,4,3453,3642
CULBERSON,29,296,4,17,1387,1704
DALLAM,31,2,116,0,2751,2869
DALLAS,2,5159,5510,513,241075,252257
DALLAS,12,5207,6285,957,209333,221782
DALLAS,16,10370,6726,1070,459412,477578
DALLAS,23,20828,3238,689,495410,520165
DAWSON,31,3,420,13,6353,6789
DE WITT,18,38,713,22,10621,11394
DEAF SMITH,31,15,521,19,8223,8778
DELTA,1,9,390,10,3711,4120
DENTON,0,0,0,0,5,5
DENTON,12,3525,11140,871,313109,328645
DENTON,30,3406,8108,718,322471,334703
DICKENS,28,5,148,3,1283,1439
DIMMIT,21,938,13,34,5733,6718
DONLEY,28,7,75,3,2335,2420
DUVAL,21,919,13,44,7074,8050
EASTLAND,22,22,886,11,11645,12564
