district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct
1,38956,4265,25819,69040,56.4252607184241,6.17757821552723,37.39716106604867
2,51879,15678,37746,105303,49.2664026665907,14.888464716104954,35.84513261730435
3,64252,8050,38204,110506,58.1434492244765,7.28467232548459,34.57187845003891
4,43430,13306,28376,85112,51.02688222577309,15.633518187799606,33.33959958642729
5,40832,15794,26350,82976,49.20940994986503,19.034419591207097,31.756170458927883
6,119308,59308,86613,265229,44.98301467788213,22.361054032553003,32.65593128956487
7,72447,27014,50066,149527,48.450781464217165,18.066302406923164,33.48291612885967
8,31024,13679,24011,68714,45.1494600809151,19.907151381086823,34.943388537998075
9,53475,17639,37251,108365,49.347113920546306,16.277395838139622,34.375490241314075
10,35428,20328,34805,90561,39.12059274963837,22.446748600390897,38.43265864997073
11,66008,21980,42045,130033,50.76249875031723,16.903401444248768,32.33409980543401
12,66077,25256,40190,131523,50.23988199782548,19.202724998669435,30.55739300350509
13,67395,61047,60302,188744,35.7070953248845,32.34380960454372,31.949095070571783
14,31702,62077,59794,153573,20.64295156049566,40.421818939527135,38.93522949997721
15,110037,70358,88617,269012,40.90412323613816,26.154223603408028,32.94165316045381
16,17594,23131,28247,68972,25.508902163196662,33.53679754103114,40.95430029577219
17,61918,25407,39737,127062,48.730540995734366,19.995750106247343,31.27370889801829
18,59946,25932,40118,125996,47.577700879393,20.58160576526239,31.840693355344612
19,25691,29831,28829,84351,30.457255989851927,35.36531872769736,34.17742528245071
20,60994,27556,39985,128535,47.45322285758743,21.438518691407012,31.10825845100556
21,17816,37096,23124,78036,22.830488492490645,47.5370341893485,29.63247731816085
22,64840,18419,45544,128803,50.340442381000436,14.3001327608829,35.35942485811666
23,11803,43307,35887,90997,12.970757277712453,47.59167884655538,39.43756387573217
24,64628,16932,42427,123987,52.12481953753216,13.65627041544678,34.218910047021055
25,77491,26374,52620,156485,49.51976227753459,16.854011566603827,33.62622615586158
26,30395,33383,35529,99307,30.607107253265127,33.61595859304983,35.77693415368503
27,37426,12731,24685,74842,50.00668074076054,17.01050212447556,32.982817134763906
28,19306,1561,14218,35085,55.02636454325211,4.449194812597977,40.52444064414992
29,35457,38080,38131,111668,31.752158183185873,34.10108536017481,34.146756456639324
30,47951,12957,29107,90015,53.27001055379659,14.394267622062989,32.33572182414042
31,36109,3747,22440,62296,57.96359316810068,6.014832412996019,36.0215744189033
