County,Old_Republican,Old_Democrat,Old_Other,Old_Total,New_Republican,New_Democrat,New_Other,New_Total,Net_Republican_Change,Net_Democrat_Change,Net_Other_Change,Pct_Republican_Change,Pct_Democrat_Change
ANDERSON,2550,210,27926,30686,2549,210,27925,30684,-1,0,-1,-0.0392156862745098,0.0
ANDREWS,774,15,9974,10763,774,15,9974,10763,0,0,0,0.0,0.0
ANGELINA,3266,319,52526,56111,3266,319,52525,56110,0,0,-1,0.0,0.0
ARANSAS,1406,147,18403,19956,1406,147,18403,19956,0,0,0,0.0,0.0
ARCHER,529,21,6475,7025,529,21,6466,7016,0,0,-9,0.0,0.0
ARMSTRONG,224,1,1215,1440,224,1,1215,1440,0,0,0,0.0,0.0
ATASCOSA,1327,257,30631,32215,1327,257,30631,32215,0,0,0,0.0,0.0
AUSTIN,1347,123,20708,22178,1347,123,20708,22178,0,0,0,0.0,0.0
BAILEY,278,5,2906,3189,278,5,2905,3188,0,0,-1,0.0,0.0
BANDERA,1369,142,17552,19063,1369,142,17552,19063,0,0,0,0.0,0.0
BASTROP,2704,1205,57611,61520,2704,1205,57611,61520,0,0,0,0.0,0.0
BAYLOR,147,13,2273,2433,147,13,2273,2433,0,0,0,0.0,0.0
BEE,522,98,15402,16022,522,98,15402,16022,0,0,0,0.0,0.0
BELL,6409,1985,232366,240760,6409,1985,232366,240760,0,0,0,0.0,0.0
BEXAR,22066,24978,1248619,1295663,22066,24978,1248619,1295663,0,0,0,0.0,0.0
BLANCO,887,205,9960,11052,887,205,9959,11051,0,0,-1,0.0,0.0
BORDEN,72,0,415,487,72,0,415,487,0,0,0,0.0,0.0
BOSQUE,731,79,12884,13694,731,79,12884,13694,0,0,0,0.0,0.0
BOWIE,2422,383,60057,62862,2422,383,60057,62862,0,0,0,0.0,0.0
BRAZORIA,10438,3355,236714,250507,10438,3355,236714,250507,0,0,0,0.0,0.0
BRAZOS,5148,949,127603,133700,5148,949,127603,133700,0,0,0,0.0,0.0
BREWSTER,305,258,6877,7440,305,258,6877,7440,0,0,0,0.0,0.0
BRISCOE,128,3,910,1041,128,3,910,1041,0,0,0,0.0,0.0
BROOKS,9,560,4382,4951,9,560,4382,4951,0,0,0,0.0,0.0
BROWN,1657,37,23904,25598,1657,37,23890,25584,0,0,-14,0.0,0.0
BURLESON,734,111,13042,13887,734,111,13013,13858,0,0,-29,0.0,0.0
BURNET,2256,332,36711,39299,2256,332,36711,39299,0,0,0,0.0,0.0
CALDWELL,911,480,25791,27182,911,480,25788,27179,0,0,-3,0.0,0.0
