COUNTY,2026_CD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
ANDERSON,10.0,2549,210,27925,30684,8.307261113283797,0.684395776300352,91.00834311041585
ANDREWS,25.0,774,15,9974,10763,7.19130353990523,0.139366347672582,92.66933011242219
ANGELINA,17.0,3266,319,52525,56110,5.820709320976653,0.5685261094279095,93.61076456959545
ARANSAS,4.0,1406,147,18403,19956,7.045500100220485,0.7366205652435358,92.21787933453598
ARCHER,34.0,529,21,6466,7016,7.539908779931586,0.2993158494868871,92.16077537058153
ARMSTRONG,19.0,224,1,1215,1440,15.555555555555555,0.06944444444444445,84.375
ATASCOSA,1.0,1327,257,30631,32215,4.119199130839671,0.7977650162967562,95.08303585286357
AUSTIN,11.0,623,55,11039,11717,5.317060681061705,0.46940343091234954,94.21353588802594
AUSTIN,31.0,724,68,9669,10461,6.920944460376637,0.6500334576044355,92.42902208201893
BAILEY,23.0,278,5,2905,3188,8.720200752823086,0.15683814303638646,91.12296110414053
BANDERA,7.0,128,11,1866,2005,6.384039900249376,0.5486284289276808,93.06733167082294
BANDERA,8.0,275,26,2728,3029,9.078903928689336,0.8583690987124464,90.06272697259821
BANDERA,9.0,146,29,2331,2506,5.826017557861133,1.157222665602554,93.01675977653632
BANDERA,18.0,28,5,526,559,5.008944543828265,0.8944543828264758,94.09660107334525
BANDERA,29.0,161,20,3197,3378,4.766133806986383,0.5920663114268798,94.64179988158673
BANDERA,36.0,398,34,4166,4598,8.655937364071335,0.7394519356241844,90.60461070030448
BANDERA,38.0,233,17,2738,2988,7.7978580990629185,0.5689424364123159,91.63319946452476
BASTROP,10.0,1485,741,30588,32814,4.525507405375754,2.2581824830864874,93.21631011153777
BASTROP,27.0,1219,464,27023,28706,4.246498989758239,1.616386818086811,94.13711419215495
BAYLOR,34.0,147,13,2273,2433,6.041923551171394,0.5343197698314838,93.42375667899712
BEE,17.0,522,98,15402,16022,3.2580202221944825,0.6116589689177382,96.13032080888779
BELL,2.0,0,1,3298,3299,0.0,0.03031221582297666,99.96968778417703
BELL,7.0,382,167,17395,17944,2.1288452964779316,0.9306732055283102,96.94048149799376
BELL,8.0,364,50,9211,9625,3.781818181818182,0.5194805194805194,95.6987012987013
BELL,9.0,1247,250,35939,37436,3.3310182711828187,0.6678063895715354,96.00117533924565
BELL,18.0,1622,514,56757,58893,2.754147351977315,0.8727692595045251,96.37308338851815
BELL,29.0,1179,521,54702,56402,2.0903514059785113,0.9237261090032268,96.98592248501826
BELL,36.0,607,223,28403,29233,2.076420483699928,0.7628365203708137,97.16074299592925
BELL,38.0,1008,259,26661,27928,3.6092810083070757,0.9273847035233457,95.46333428816958
BEXAR,20.0,4312,8691,443608,456611,0.9443486906798128,1.9033707028520994,97.15228060646808
BEXAR,21.0,8135,5751,225903,239789,3.3925659642435644,2.3983585568979393,94.2090754788585
BEXAR,23.0,6447,3780,248570,258797,2.4911417056611938,1.4606042573909281,96.04825403694788
BEXAR,28.0,1821,3098,153406,158325,1.1501657981999052,1.956734564977104,96.89309963682298
BEXAR,35.0,1351,3658,177132,182141,0.7417330529644616,2.0083342026232422,97.24993274441229
BLANCO,11.0,228,58,2571,2857,7.980399019950997,2.0301015050752538,89.98949947497374
BLANCO,31.0,659,147,7388,8194,8.042470100073224,1.7939956065413716,90.16353429338541
BORDEN,28.0,72,0,415,487,14.784394250513348,0.0,85.21560574948666
BOSQUE,14.0,180,31,3558,3769,4.775802600159194,0.8224993366940834,94.40169806314672
BOSQUE,36.0,551,48,9326,9925,5.551637279596977,0.4836272040302267,93.9647355163728
BOWIE,1.0,2059,348,53331,55738,3.6940686784599377,0.6243496357960457,95.68158168574402
BOWIE,4.0,363,35,6726,7124,5.095451993262213,0.49129702414373944,94.41325098259405
BRAZORIA,14.0,7409,2466,171143,181018,4.092963130738379,1.362295462329713,94.5447414069319
BRAZORIA,36.0,3029,889,65571,69489,4.358963289153679,1.2793391759846884,94.36169753486163
BRAZOS,2.0,450,37,5414,5901,7.625826131164209,0.6270123707846128,91.74716149805118
BRAZOS,7.0,715,135,17272,18122,3.945480631276901,0.7449508884229115,95.30956848030019
BRAZOS,8.0,2,0,294,296,0.6756756756756757,0.0,99.32432432432432
BRAZOS,9.0,345,139,17387,17871,1.9305019305019304,0.777796429970343,97.29170163952773
BRAZOS,18.0,911,264,30460,31635,2.879721827090248,0.8345187292555715,96.28575944365419
BRAZOS,29.0,1890,196,37035,39121,4.831164847524348,0.5010096878914138,94.66782546458424
BRAZOS,36.0,781,163,15838,16782,4.653795733524014,0.9712787510427839,94.3749255154332
BRAZOS,38.0,54,15,3903,3972,1.3595166163141994,0.3776435045317221,98.26283987915407
BREWSTER,1.0,193,157,3460,3810,5.065616797900263,4.120734908136483,90.81364829396325
BREWSTER,5.0,112,101,3417,3630,3.0853994490358128,2.7823691460055096,94.13223140495867
BRISCOE,31.0,128,3,910,1041,12.295869356388089,0.2881844380403458,87.41594620557157
BROOKS,15.0,9,560,4382,4951,0.1817814582912543,11.310846293678045,88.5073722480307
BROWN,7.0,167,6,3415,3588,4.654403567447045,0.16722408026755853,95.17837235228541
BROWN,9.0,183,2,2373,2558,7.154026583268178,0.07818608287724785,92.76778733385459
BROWN,18.0,403,5,6207,6615,6.092214663643235,0.07558578987150416,93.83219954648526
BROWN,29.0,481,13,6064,6558,7.334553217444342,0.19823116803903632,92.46721561451662
BROWN,36.0,383,9,4749,5141,7.449912468391363,0.17506321727290408,92.37502431433573
BROWN,38.0,40,2,1082,1124,3.558718861209965,0.1779359430604982,96.26334519572953
BURLESON,11.0,295,64,6441,6800,4.338235294117647,0.9411764705882352,94.72058823529412
BURLESON,31.0,439,47,6572,7058,6.219892320770756,0.6659110229526778,93.11419665627658
BURNET,8.0,2256,332,36711,39299,5.74060408661798,0.8448052113285325,93.41459070205349
CALDWELL,27.0,911,480,25788,27179,3.351852533205784,1.7660693918098533,94.88207807498436
CALHOUN,1.0,408,45,8168,8621,4.732629625333487,0.5219812086764877,94.74538916599002
CALHOUN,5.0,203,38,4401,4642,4.373115036622146,0.8186126669538992,94.80827229642395
CALLAHAN,13.0,679,18,9753,10450,6.497607655502392,0.17224880382775118,93.33014354066985
