COUNTY,NEWCD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
ANDERSON,6,2550,210,27926,30686,8.309978491820374,0.6843511699146191,91.005670338265
ANDREWS,19,774,15,9974,10763,7.19130353990523,0.139366347672582,92.66933011242219
ANGELINA,17,3266,319,52526,56111,5.820605585357595,0.5685159772593609,93.61087843738305
ARANSAS,27,1406,147,18403,19956,7.045500100220485,0.7366205652435358,92.21787933453598
ARCHER,13,529,21,6475,7025,7.530249110320285,0.298932384341637,92.17081850533808
ARMSTRONG,13,224,1,1215,1440,15.555555555555555,0.06944444444444445,84.375
ATASCOSA,28,1327,257,30631,32215,4.119199130839671,0.7977650162967562,95.08303585286357
AUSTIN,10,1347,123,20708,22178,6.073586437009649,0.5546036612859591,93.3718099017044
BAILEY,19,278,5,2906,3189,8.717466290373158,0.15678896205707119,91.12574474756977
BANDERA,21,1369,142,17552,19063,7.181450978334994,0.7448984944657189,92.07365052719929
BASTROP,10,1485,741,30588,32814,4.525507405375754,2.2581824830864874,93.21631011153777
BASTROP,27,1219,464,27023,28706,4.246498989758239,1.616386818086811,94.13711419215495
BAYLOR,13,147,13,2273,2433,6.041923551171394,0.5343197698314838,93.42375667899712
BEE,27,522,98,15402,16022,3.2580202221944825,0.6116589689177382,96.13032080888779
BELL,11,1122,1075,104283,106480,1.0537190082644627,1.009579263711495,97.93670172802405
BELL,31,5287,910,128083,134280,3.937295204051236,0.6776884122728627,95.3850163836759
BEXAR,20,4312,8691,443608,456611,0.9443486906798128,1.9033707028520994,97.15228060646808
BEXAR,21,8135,5751,225903,239789,3.3925659642435644,2.3983585568979393,94.2090754788585
BEXAR,23,6447,3780,248570,258797,2.4911417056611938,1.4606042573909281,96.04825403694788
BEXAR,28,1821,3098,153406,158325,1.1501657981999052,1.956734564977104,96.89309963682298
BEXAR,35,1351,3658,177132,182141,0.7417330529644616,2.0083342026232422,97.24993274441229
BLANCO,21,887,205,9960,11052,8.025696706478465,1.8548678972131742,90.11943539630836
BORDEN,19,72,0,415,487,14.784394250513348,0.0,85.21560574948666
BOSQUE,31,731,79,12884,13694,5.3381042792463855,0.5768949905067913,94.08500073024683
BOWIE,1,2059,348,53331,55738,3.6940686784599377,0.6243496357960457,95.68158168574402
BOWIE,4,363,35,6726,7124,5.095451993262213,0.49129702414373944,94.41325098259405
BRAZORIA,9,817,1460,58984,61261,1.3336380405151729,2.3832454579585707,96.28311650152625
BRAZORIA,14,5971,731,86551,93253,6.403011163179737,0.7838889901665362,92.81309984665373
BRAZORIA,22,3650,1164,91179,95993,3.802360588792933,1.2125884179054722,94.98505099330158
BRAZOS,10,5148,949,127603,133700,3.850411368735976,0.7097980553477936,95.43979057591623
BREWSTER,23,305,258,6877,7440,4.099462365591398,3.467741935483871,92.43279569892474
BRISCOE,13,128,3,910,1041,12.295869356388089,0.2881844380403458,87.41594620557157
BROOKS,15,9,560,4382,4951,0.1817814582912543,11.310846293678045,88.5073722480307
BROWN,11,1657,37,23904,25598,6.473161965778576,0.14454254238612393,93.3822954918353
BURLESON,10,734,111,13042,13887,5.285518830560957,0.7993087059840137,93.91517246345504
BURNET,31,2256,332,36711,39299,5.74060408661798,0.8448052113285325,93.41459070205349
CALDWELL,27,911,480,25791,27182,3.351482598778603,1.765874475756015,94.88264292546538
CALHOUN,27,611,83,12569,13263,4.606800874613587,0.6258011008067557,94.76739802457966
CALLAHAN,19,77,4,1039,1120,6.875000000000001,0.35714285714285715,92.76785714285715
CALLAHAN,25,602,14,8714,9330,6.452304394426581,0.15005359056806003,93.39764201500536
CAMERON,34,1302,5089,232117,238508,0.5458936387877975,2.1336810505307997,97.3204253106814
CAMP,1,510,81,7857,8448,6.036931818181818,0.9588068181818182,93.00426136363636
CARSON,13,288,4,4007,4299,6.699232379623169,0.09304489416143288,93.20772272621541
CASS,1,1291,73,20499,21863,5.904953574532315,0.33389745231669943,93.76114897315098
CASTRO,19,156,21,3525,3702,4.213938411669368,0.5672609400324149,95.21880064829821
CHAMBERS,36,2377,126,34653,37156,6.397351706319303,0.3391107761868877,93.26353751749382
CHEROKEE,6,2242,221,29840,32303,6.940531839148066,0.6841469832523295,92.3753211775996
CHILDRESS,13,276,4,3526,3806,7.251707829742513,0.10509721492380451,92.64319495533368
CLAY,13,563,13,7734,8310,6.77496991576414,0.15643802647412755,93.06859205776173
COCHRAN,19,62,2,1614,1678,3.6948748510131106,0.11918951132300357,96.18593563766389
COKE,11,172,3,2273,2448,7.026143790849673,0.12254901960784313,92.85130718954248
COLEMAN,11,622,16,5519,6157,10.10232255968816,0.25986681825564395,89.6378106220562
COLLIN,3,16636,5978,486290,508904,3.2689858991086727,1.174681275839844,95.55633282505148
COLLIN,4,5024,2895,191027,198946,2.525308375136972,1.4551687392558785,96.01952288560715
COLLIN,32,1043,778,42099,43920,2.374772313296903,1.7714025500910748,95.85382513661203
COLLINGSWORTH,13,186,3,1703,1892,9.830866807610994,0.15856236786469344,90.01057082452432
COLORADO,10,1110,88,13626,14824,7.487857528332434,0.5936319481921208,91.91851052347545
COMAL,21,6466,1200,116925,124591,5.189780963311956,0.9631514314838151,93.84706760520423
COMAL,35,444,110,18872,19426,2.2855966230824665,0.5662514156285391,97.148151961289
