COUNTY,NEWHD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
ANDERSON,8,2550,210,27926,30686,8.309978491820374,0.6843511699146191,91.005670338265
ANDREWS,88,774,15,9974,10763,7.19130353990523,0.139366347672582,92.66933011242219
ANGELINA,9,3266,319,52526,56111,5.820605585357595,0.5685159772593609,93.61087843738305
ARANSAS,32,1406,147,18403,19956,7.045500100220485,0.7366205652435358,92.21787933453598
ARCHER,69,529,21,6475,7025,7.530249110320285,0.298932384341637,92.17081850533808
ARMSTRONG,86,224,1,1215,1440,15.555555555555555,0.06944444444444445,84.375
ATASCOSA,80,1327,257,30631,32215,4.119199130839671,0.7977650162967562,95.08303585286357
AUSTIN,85,1347,123,20708,22178,6.073586437009649,0.5546036612859591,93.3718099017044
BAILEY,88,278,5,2906,3189,8.717466290373158,0.15678896205707119,91.12574474756977
BANDERA,53,1369,142,17552,19063,7.181450978334994,0.7448984944657189,92.07365052719929
BASTROP,17,2704,1205,57611,61520,4.395318595578673,1.9587126137841353,93.64596879063718
BAYLOR,69,147,13,2273,2433,6.041923551171394,0.5343197698314838,93.42375667899712
BEE,43,522,98,15402,16022,3.2580202221944825,0.6116589689177382,96.13032080888779
BELL,54,2718,889,110887,114494,2.3739235243768233,0.7764599018289169,96.84961657379426
BELL,55,3691,1096,121479,126266,2.923193892259199,0.8680088068046823,96.20879730093613
BEXAR,116,1185,2730,111948,115863,1.0227596385386188,2.3562310660003623,96.62100929546101
BEXAR,117,1007,1611,130837,133455,0.7545614626653179,1.207148477014724,98.03829006031995
BEXAR,118,2066,1936,135315,139317,1.4829489581314557,1.3896365841928837,97.12741445767567
BEXAR,119,1185,2450,117989,121624,0.9743142800763007,2.014405051634546,97.01128066828916
BEXAR,120,1003,2145,112964,116112,0.8638211382113822,1.847354278627532,97.28882458316109
BEXAR,121,5259,3168,140041,148468,3.5421774389093947,2.1337931406094244,94.32402942048118
BEXAR,122,5615,2705,154858,163178,3.441027589503487,1.6576989545159273,94.90127345598059
BEXAR,123,1930,3607,114379,119916,1.6094599553020446,3.0079388905567233,95.38260115414123
BEXAR,124,759,1690,102535,104984,0.722967309304275,1.6097691076735505,97.66726358302218
BEXAR,125,2057,2936,127753,132746,1.5495758817591492,2.2117427267111625,96.2386813915297
BLANCO,19,887,205,9960,11052,8.025696706478465,1.8548678972131742,90.11943539630836
BORDEN,83,72,0,415,487,14.784394250513348,0.0,85.21560574948666
BOSQUE,13,731,79,12884,13694,5.3381042792463855,0.5768949905067913,94.08500073024683
BOWIE,1,2422,383,60057,62862,3.852884095319907,0.609271101778499,95.53784480290159
BRAZORIA,25,5625,1555,115837,123017,4.572538754806247,1.2640529357731045,94.16340830942065
BRAZORIA,29,4813,1800,120877,127490,3.775198054749392,1.4118754412110754,94.81292650403952
BRAZOS,0,0,0,1,1,0.0,0.0,100.0
BRAZOS,12,1131,198,21176,22505,5.025549877804933,0.8798044878915796,94.09464563430349
BRAZOS,14,4017,751,106426,111194,3.6126049966724825,0.6753961544687663,95.71199884885874
BREWSTER,74,305,258,6877,7440,4.099462365591398,3.467741935483871,92.43279569892474
BRISCOE,88,128,3,910,1041,12.295869356388089,0.2881844380403458,87.41594620557157
BROOKS,31,9,560,4382,4951,0.1817814582912543,11.310846293678045,88.5073722480307
BROWN,68,1657,37,23904,25598,6.473161965778576,0.14454254238612393,93.3822954918353
BURLESON,17,734,111,13042,13887,5.285518830560957,0.7993087059840137,93.91517246345504
BURNET,19,2256,332,36711,39299,5.74060408661798,0.8448052113285325,93.41459070205349
CALDWELL,17,911,480,25791,27182,3.351482598778603,1.765874475756015,94.88264292546538
CALHOUN,43,611,83,12569,13263,4.606800874613587,0.6258011008067557,94.76739802457966
CALLAHAN,71,679,18,9753,10450,6.497607655502392,0.17224880382775118,93.33014354066985
CAMERON,35,132,720,36514,37366,0.3532623240378954,1.926885403843066,97.71985227211903
CAMERON,37,893,1711,93722,96326,0.9270601914332578,1.7762597844818637,97.29668002408488
CAMERON,38,277,2658,101881,104816,0.26427263013280416,2.535872385895283,97.19985498397192
CAMP,5,510,81,7857,8448,6.036931818181818,0.9588068181818182,93.00426136363636
CARSON,87,288,4,4007,4299,6.699232379623169,0.09304489416143288,93.20772272621541
CASS,1,1291,73,20499,21863,5.904953574532315,0.33389745231669943,93.76114897315098
CASTRO,88,156,21,3525,3702,4.213938411669368,0.5672609400324149,95.21880064829821
CHAMBERS,23,2377,126,34653,37156,6.397351706319303,0.3391107761868877,93.26353751749382
CHEROKEE,8,2242,221,29840,32303,6.940531839148066,0.6841469832523295,92.3753211775996
CHILDRESS,88,276,4,3526,3806,7.251707829742513,0.10509721492380451,92.64319495533368
CLAY,69,563,13,7734,8310,6.77496991576414,0.15643802647412755,93.06859205776173
COCHRAN,88,62,2,1614,1678,3.6948748510131106,0.11918951132300357,96.18593563766389
COKE,72,172,3,2273,2448,7.026143790849673,0.12254901960784313,92.85130718954248
COLEMAN,72,622,16,5519,6157,10.10232255968816,0.25986681825564395,89.6378106220562
COLLIN,33,1463,902,52553,54918,2.6639717396846208,1.6424487417604428,95.69357951855494
COLLIN,61,3926,1424,141320,146670,2.676757346423945,0.9708870252948797,96.35235562828117
COLLIN,66,4173,1699,140272,146144,2.855402890299978,1.162552003503394,95.98204510619662
COLLIN,67,4443,1692,139795,145930,3.0446104296580554,1.1594600150757213,95.79592955526623
COLLIN,70,3929,2268,108618,114815,3.4220267386665504,1.975351652658625,94.60262160867482
COLLIN,89,4769,1666,136858,143293,3.3281458270815736,1.1626527464705185,95.50920142644792
COLLINGSWORTH,88,186,3,1703,1892,9.830866807610994,0.15856236786469344,90.01057082452432
