COUNTY,2026_SD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
ANDERSON,1.0,2549,210,27925,30684,8.307261113283797,0.684395776300352,91.00834311041585
ANDREWS,6.0,463,12,5184,5659,8.181657536667256,0.2120515992224775,91.60629086411026
ANDREWS,15.0,311,3,4790,5104,6.093260188087775,0.05877742946708464,93.84796238244513
ANGELINA,3.0,3266,319,52525,56110,5.820709320976653,0.5685261094279095,93.61076456959545
ARANSAS,18.0,1406,147,18403,19956,7.045500100220485,0.7366205652435358,92.21787933453598
ARCHER,21.0,529,21,6466,7016,7.539908779931586,0.2993158494868871,92.16077537058153
ARMSTRONG,28.0,224,1,1215,1440,15.555555555555555,0.06944444444444445,84.375
ATASCOSA,4.0,17,5,499,521,3.262955854126679,0.9596928982725527,95.77735124760078
ATASCOSA,6.0,421,104,11011,11536,3.6494452149791954,0.9015256588072121,95.44902912621359
ATASCOSA,13.0,534,43,7352,7929,6.734771093454407,0.5423130281246058,92.72291587842099
ATASCOSA,15.0,355,105,11769,12229,2.9029356447788044,0.8586147681740127,96.23844958704719
AUSTIN,24.0,1347,123,20708,22178,6.073586437009649,0.5546036612859591,93.3718099017044
BAILEY,19.0,278,5,2905,3188,8.720200752823086,0.15683814303638646,91.12296110414053
BANDERA,28.0,866,79,10053,10998,7.8741589379887245,0.71831242044008,91.40752864157119
BANDERA,30.0,503,63,7499,8065,6.236825790452573,0.7811531308121513,92.98202107873527
BASTROP,19.0,257,125,5543,5925,4.337552742616034,2.109704641350211,93.55274261603375
BASTROP,25.0,379,164,10840,11383,3.3295264868663796,1.4407449705701485,95.22972854256348
BASTROP,26.0,2068,916,41228,44212,4.677463132181308,2.071835700714738,93.25070116710395
BAYLOR,19.0,147,13,2273,2433,6.041923551171394,0.5343197698314838,93.42375667899712
BEE,3.0,522,98,15402,16022,3.2580202221944825,0.6116589689177382,96.13032080888779
BELL,24.0,6409,1985,232366,240760,2.661987041036717,0.8244725037381625,96.51354045522513
BEXAR,19.0,4577,6785,440031,451393,1.0139723035137895,1.5031247715405422,97.48290292494566
BEXAR,21.0,222,127,11178,11527,1.925913073653162,1.1017610826754576,96.97232584367138
BEXAR,25.0,10034,5325,269832,285191,3.5183438467553327,1.8671697213446428,94.61448643190002
BEXAR,26.0,7233,12741,527578,547552,1.320970428379405,2.326902285079773,96.35212728654082
BLANCO,25.0,887,205,9959,11051,8.02642294814949,1.8550357433716407,90.11854130847887
BORDEN,31.0,72,0,415,487,14.784394250513348,0.0,85.21560574948666
BOSQUE,18.0,731,79,12884,13694,5.3381042792463855,0.5768949905067913,94.08500073024683
BOWIE,1.0,2422,383,60057,62862,3.852884095319907,0.609271101778499,95.53784480290159
BRAZORIA,2.0,727,158,17195,18080,4.021017699115044,0.8738938053097346,95.10508849557522
BRAZORIA,8.0,9346,3178,216900,229424,4.073680172954878,1.3852081735127972,94.54111165353233
BRAZORIA,30.0,365,19,2619,3003,12.154512154512155,0.6327006327006327,87.21278721278722
BRAZOS,5.0,5148,949,127603,133700,3.850411368735976,0.7097980553477936,95.43979057591623
BREWSTER,5.0,305,258,6877,7440,4.099462365591398,3.467741935483871,92.43279569892474
BRISCOE,3.0,128,3,910,1041,12.295869356388089,0.2881844380403458,87.41594620557157
BROOKS,20.0,9,560,4382,4951,0.1817814582912543,11.310846293678045,88.5073722480307
BROWN,10.0,1657,37,23890,25584,6.4767041901188245,0.14462163852407756,93.3786741713571
BURLESON,24.0,734,111,13013,13858,5.296579593014865,0.800981382594891,93.90243902439023
BURNET,27.0,2256,332,36711,39299,5.74060408661798,0.8448052113285325,93.41459070205349
CALDWELL,4.0,125,121,2731,2977,4.198857910648304,4.064494457507558,91.73664763184414
CALDWELL,6.0,311,141,8223,8675,3.585014409221902,1.6253602305475505,94.78962536023054
