County,Old_SD,New_SD,Old_Republican,Old_Democrat,Old_Other,Old_Total,Transition_Republican,Transition_Democrat,Transition_Other,Transition_Total,Pct_Old_Republican,Pct_Old_Democrat,Pct_Transition_Republican,Pct_Transition_Democrat
ANDERSON,3,11.0,2550,210,27926,30686,917,65,10267,11249,8.309978491820374,0.6843511699146191,8.151835718730553,0.5778291403680328
ANDERSON,3,17.0,2550,210,27926,30686,1632,145,17658,19435,8.309978491820374,0.6843511699146191,8.3972215075894,0.7460766658091073
ANDREWS,31,27.0,774,15,9974,10763,774,15,9974,10763,7.19130353990523,0.139366347672582,7.19130353990523,0.139366347672582
ANGELINA,3,3.0,3266,319,52526,56111,3266,319,52525,56110,5.820605585357595,0.5685159772593609,5.820709320976653,0.5685261094279095
ARANSAS,18,3.0,1406,147,18403,19956,1406,147,18403,19956,7.045500100220485,0.7366205652435358,7.045500100220485,0.7366205652435358
ARCHER,30,1.0,529,21,6475,7025,529,21,6466,7016,7.530249110320285,0.298932384341637,7.539908779931586,0.2993158494868871
ARMSTRONG,31,21.0,224,1,1215,1440,224,1,1215,1440,15.555555555555555,0.06944444444444445,15.555555555555555,0.06944444444444445
ATASCOSA,19,18.0,381,60,10163,10604,38,6,1883,1927,3.592983779705771,0.5658242172764995,1.9719771665801764,0.3113648157758173
ATASCOSA,19,4.0,381,60,10163,10604,343,54,8280,8677,3.592983779705771,0.5658242172764995,3.9529791402558487,0.6223349083784718
ATASCOSA,24,18.0,946,197,20468,21611,35,16,2705,2756,4.3774003979454905,0.9115728101429829,1.269956458635704,0.5805515239477503
ATASCOSA,24,4.0,946,197,20468,21611,676,136,13546,14358,4.3774003979454905,0.9115728101429829,4.708176626271069,0.9472071319125227
ATASCOSA,24,7.0,946,197,20468,21611,235,45,4217,4497,4.3774003979454905,0.9115728101429829,5.225706026239715,1.0006671114076051
AUSTIN,18,17.0,1347,123,20708,22178,168,19,2895,3082,6.073586437009649,0.5546036612859591,5.4510058403634005,0.6164828033744322
AUSTIN,18,13.0,1347,123,20708,22178,369,35,5301,5705,6.073586437009649,0.5546036612859591,6.468010517090271,0.6134969325153374
AUSTIN,18,6.0,1347,123,20708,22178,469,48,7010,7527,6.073586437009649,0.5546036612859591,6.230902085824366,0.6377042646472698
AUSTIN,18,11.0,1347,123,20708,22178,106,11,3542,3659,6.073586437009649,0.5546036612859591,2.896966384257994,0.3006285870456409
AUSTIN,18,4.0,1347,123,20708,22178,161,9,1343,1513,6.073586437009649,0.5546036612859591,10.641110376734964,0.5948446794448117
AUSTIN,18,7.0,1347,123,20708,22178,74,1,617,692,6.073586437009649,0.5546036612859591,10.69364161849711,0.1445086705202312
BAILEY,31,5.0,278,5,2906,3189,278,5,2905,3188,8.717466290373158,0.15678896205707119,8.720200752823086,0.15683814303638646
BANDERA,24,30.0,1369,142,17552,19063,1369,142,17552,19063,7.181450978334994,0.7448984944657189,7.181450978334994,0.7448984944657189
BASTROP,5,5.0,2704,1205,57611,61520,2704,1205,57611,61520,4.395318595578673,1.9587126137841353,4.395318595578673,1.9587126137841353
BAYLOR,28,21.0,147,13,2273,2433,147,13,2273,2433,6.041923551171394,0.5343197698314838,6.041923551171394,0.5343197698314838
BEE,27,3.0,522,98,15402,16022,522,98,15402,16022,3.2580202221944825,0.6116589689177382,3.2580202221944825,0.6116589689177382
BELL,24,24.0,6409,1985,232366,240760,6409,1985,232366,240760,2.661987041036717,0.8244725037381625,2.661987041036717,0.8244725037381625
BEXAR,19,19.0,4577,6785,440031,451393,4577,6785,440031,451393,1.0139723035137895,1.5031247715405422,1.0139723035137895,1.5031247715405422
BEXAR,25,25.0,10034,5325,269832,285191,10034,5325,269832,285191,3.5183438467553327,1.8671697213446428,3.5183438467553327,1.8671697213446428
BEXAR,26,26.0,7233,12741,527578,547552,7233,12741,527578,547552,1.320970428379405,2.326902285079773,1.320970428379405,2.326902285079773
BEXAR,21,21.0,222,127,11178,11527,222,127,11178,11527,1.925913073653162,1.1017610826754576,1.925913073653162,1.1017610826754576
BLANCO,25,14.0,887,205,9960,11052,887,205,9959,11051,8.025696706478465,1.8548678972131742,8.02642294814949,1.8550357433716407
BORDEN,31,2.0,72,0,415,487,72,0,415,487,14.784394250513348,0.0,14.784394250513348,0.0
BOSQUE,22,2.0,731,79,12884,13694,731,79,12884,13694,5.3381042792463855,0.5768949905067913,5.3381042792463855,0.5768949905067913
BOWIE,1,1.0,2422,383,60057,62862,2422,383,60057,62862,3.852884095319907,0.609271101778499,3.852884095319907,0.609271101778499
BRAZORIA,17,20.0,4909,554,71579,77042,3763,426,56767,60956,6.371849121258534,0.7190882895044262,6.173305334995734,0.6988647549051775
BRAZORIA,17,27.0,4909,554,71579,77042,1146,128,14812,16086,6.371849121258534,0.7190882895044262,7.124207385303991,0.7957229889344771
BRAZORIA,11,20.0,5529,2801,165135,173465,4853,2543,147192,154588,3.1873865044821725,1.6147349609431298,3.139312236396098,1.6450177245323054
BRAZORIA,11,27.0,5529,2801,165135,173465,676,258,17943,18877,3.1873865044821725,1.6147349609431298,3.581077501721672,1.366742596810934
BRAZOS,5,20.0,5148,949,127603,133700,3958,724,101442,106124,3.850411368735976,0.7097980553477936,3.72959933662508,0.6822207983114092
BRAZOS,5,27.0,5148,949,127603,133700,1190,225,26161,27576,3.850411368735976,0.7097980553477936,4.31534667827096,0.8159268929503918
BREWSTER,19,24.0,13,20,510,543,13,20,510,543,2.394106813996317,3.683241252302026,2.394106813996317,3.683241252302026
BREWSTER,29,24.0,292,238,6367,6897,292,238,6367,6897,4.233724807887487,3.4507756995795273,4.233724807887487,3.4507756995795273
BRISCOE,31,5.0,128,3,910,1041,128,3,910,1041,12.295869356388089,0.2881844380403458,12.295869356388089,0.2881844380403458
BROOKS,20,20.0,9,560,4382,4951,9,560,4382,4951,0.1817814582912543,11.310846293678045,0.1817814582912543,11.310846293678045
BROWN,10,11.0,1657,37,23904,25598,234,3,2578,2815,6.473161965778576,0.14454254238612393,8.312611012433392,0.10657193605683836
BROWN,10,15.0,1657,37,23904,25598,512,10,8242,8764,6.473161965778576,0.14454254238612393,5.842081241442264,0.11410314924691922
BROWN,10,6.0,1657,37,23904,25598,661,20,8804,9485,6.473161965778576,0.14454254238612393,6.9688982604111755,0.21085925144965736
BROWN,10,13.0,1657,37,23904,25598,210,2,3184,3396,6.473161965778576,0.14454254238612393,6.18374558303887,0.058892815076560655
BROWN,10,17.0,1657,37,23904,25598,40,2,1082,1124,6.473161965778576,0.14454254238612393,3.558718861209965,0.1779359430604982
BURLESON,18,24.0,734,111,13042,13887,734,111,13013,13858,5.285518830560957,0.7993087059840137,5.296579593014865,0.800981382594891
BURNET,24,3.0,2256,332,36711,39299,2256,332,36711,39299,5.74060408661798,0.8448052113285325,5.74060408661798,0.8448052113285325
CALDWELL,21,7.0,911,480,25791,27182,102,64,4039,4205,3.351482598778603,1.765874475756015,2.4256837098692032,1.521997621878716
CALDWELL,21,13.0,911,480,25791,27182,203,96,5651,5950,3.351482598778603,1.765874475756015,3.4117647058823533,1.6134453781512605
CALDWELL,21,6.0,911,480,25791,27182,311,141,8223,8675,3.351482598778603,1.765874475756015,3.585014409221902,1.6253602305475505
CALDWELL,21,4.0,911,480,25791,27182,125,121,2731,2977,3.351482598778603,1.765874475756015,4.198857910648304,4.064494457507558
CALDWELL,21,17.0,911,480,25791,27182,48,26,1815,1889,3.351482598778603,1.765874475756015,2.541026998411858,1.3763896241397564
CALDWELL,21,15.0,911,480,25791,27182,110,28,2348,2486,3.351482598778603,1.765874475756015,4.424778761061947,1.1263073209975865
CALDWELL,21,11.0,911,480,25791,27182,12,4,981,997,3.351482598778603,1.765874475756015,1.2036108324974923,0.4012036108324975
CALHOUN,18,27.0,611,83,12569,13263,611,83,12569,13263,4.606800874613587,0.6258011008067557,4.606800874613587,0.6258011008067557
CALLAHAN,10,21.0,679,18,9753,10450,679,18,9753,10450,6.497607655502392,0.17224880382775118,6.497607655502392,0.17224880382775118
CAMERON,27,6.0,1302,5089,232117,238508,556,1822,83376,85754,0.5458936387877975,2.1336810505307997,0.648366256967605,2.124682230566504
CAMERON,27,15.0,1302,5089,232117,238508,457,1729,82228,84414,0.5458936387877975,2.1336810505307997,0.5413793920439738,2.048238443860023
CAMERON,27,4.0,1302,5089,232117,238508,43,371,13171,13585,0.5458936387877975,2.1336810505307997,0.3165255796834744,2.730953257269047
CAMERON,27,7.0,1302,5089,232117,238508,64,342,12199,12605,0.5458936387877975,2.1336810505307997,0.5077350257834192,2.7132090440301466
CAMERON,27,11.0,1302,5089,232117,238508,57,285,14943,15285,0.5458936387877975,2.1336810505307997,0.3729146221786065,1.8645731108930326
CAMERON,27,13.0,1302,5089,232117,238508,117,485,23121,23723,0.5458936387877975,2.1336810505307997,0.49319226067529404,2.0444294566454495
CAMERON,27,18.0,1302,5089,232117,238508,8,50,2452,2510,0.5458936387877975,2.1336810505307997,0.3187250996015936,1.9920318725099602
CAMERON,27,17.0,1302,5089,232117,238508,0,5,627,632,0.5458936387877975,2.1336810505307997,0.0,0.7911392405063291
CAMP,1,1.0,510,81,7857,8448,510,81,7857,8448,6.036931818181818,0.9588068181818182,6.036931818181818,0.9588068181818182
CARSON,31,28.0,288,4,4007,4299,288,4,4007,4299,6.699232379623169,0.09304489416143288,6.699232379623169,0.09304489416143288
CASS,1,1.0,1291,73,20499,21863,1291,73,20498,21862,5.904953574532315,0.33389745231669943,5.905223675784466,0.3339127252767359
CASTRO,31,28.0,156,21,3525,3702,156,21,3525,3702,4.213938411669368,0.5672609400324149,4.213938411669368,0.5672609400324149
CHAMBERS,4,1.0,2377,126,34653,37156,2377,126,34653,37156,6.397351706319303,0.3391107761868877,6.397351706319303,0.3391107761868877
CHEROKEE,3,4.0,2242,221,29840,32303,2068,216,28079,30363,6.940531839148066,0.6841469832523295,6.810921186970985,0.7113921549254026
CHEROKEE,3,7.0,2242,221,29840,32303,174,5,1761,1940,6.940531839148066,0.6841469832523295,8.969072164948454,0.25773195876288657
CHILDRESS,28,25.0,276,4,3526,3806,276,4,3526,3806,7.251707829742513,0.10509721492380451,7.251707829742513,0.10509721492380451
CLAY,30,28.0,563,13,7734,8310,563,13,7734,8310,6.77496991576414,0.15643802647412755,6.77496991576414,0.15643802647412755
COCHRAN,31,28.0,62,2,1614,1678,57,2,1537,1596,3.6948748510131106,0.11918951132300357,3.571428571428571,0.12531328320802004
COCHRAN,31,30.0,62,2,1614,1678,5,0,77,82,3.6948748510131106,0.11918951132300357,6.097560975609756,0.0
COKE,31,18.0,172,3,2273,2448,172,3,2273,2448,7.026143790849673,0.12254901960784313,7.026143790849673,0.12254901960784313
COLEMAN,28,3.0,622,16,5519,6157,622,16,5519,6157,10.10232255968816,0.25986681825564395,10.10232255968816,0.25986681825564395
COLLIN,2,27.0,1614,1268,53325,56207,452,393,17241,18086,2.8715284573095876,2.2559467681961323,2.499170629215968,2.1729514541634414
COLLIN,2,20.0,1614,1268,53325,56207,1162,875,36084,38121,2.8715284573095876,2.2559467681961323,3.0481886624170405,2.295322787964639
COLLIN,8,27.0,19655,7643,587878,615176,7370,2890,236659,246919,3.195020611987464,1.2424086765413476,2.9847844839805764,1.1704243091864135
COLLIN,8,20.0,19655,7643,587878,615176,12285,4753,351219,368257,3.195020611987464,1.2424086765413476,3.3359854666713735,1.2906747190141667
COLLIN,30,27.0,1434,740,78213,80387,780,332,42581,43693,1.783870526328884,0.9205468545909165,1.7851829812555786,0.7598471150985284
COLLIN,30,20.0,1434,740,78213,80387,654,408,35632,36694,1.783870526328884,0.9205468545909165,1.7823077342344797,1.1118984030086663
COLLINGSWORTH,28,5.0,186,3,1703,1892,186,3,1700,1889,9.830866807610994,0.15856236786469344,9.846479618845951,0.15881418740074113
COLORADO,17,30.0,1110,88,13626,14824,540,27,5521,6088,7.487857528332434,0.5936319481921208,8.869908015768726,0.4434954007884363
COLORADO,17,28.0,1110,88,13626,14824,570,61,8104,8735,7.487857528332434,0.5936319481921208,6.525472238122496,0.6983400114481969
COMAL,25,25.0,6910,1310,135797,144017,6910,1310,135797,144017,4.798044675281391,0.9096148371372823,4.798044675281391,0.9096148371372823
COMANCHE,22,3.0,733,28,9297,10058,733,28,9296,10057,7.2877311592761975,0.27838536488367466,7.288455801929004,0.27841304563985286
CONCHO,28,28.0,141,6,1653,1800,141,6,1653,1800,7.833333333333334,0.33333333333333337,7.833333333333334,0.33333333333333337
COOKE,30,30.0,1547,96,28617,30260,1547,96,28617,30260,5.112359550561798,0.3172504957038995,5.112359550561798,0.3172504957038995
CORYELL,24,24.0,1816,222,45071,47109,1816,222,45070,47108,3.854889723831964,0.4712475323186653,3.8549715547253123,0.4712575358750106
COTTLE,28,31.0,130,4,861,995,130,4,861,995,13.06532663316583,0.4020100502512563,13.06532663316583,0.4020100502512563
