new_district,old_district,party,voter_count
1,1,Democrat,971
1,1,Republican,9360
1,1,Swing,367
1,1,Unknown,175843
1,3,Democrat,849
1,3,Republican,9314
1,3,Swing,456
1,3,Unknown,140247
1,4,Democrat,126
1,4,Republican,2377
1,4,Swing,80
1,4,Unknown,34573
1,5,Democrat,38
1,5,Republican,934
1,5,Swing,17
1,5,Unknown,11693
1,17,Democrat,30
1,17,Republican,623
1,17,Swing,10
1,17,Unknown,9261
1,19,Democrat,707
1,19,Republican,83
1,19,Swing,84
1,19,Unknown,8663
1,22,Democrat,110
1,22,Republican,1320
1,22,Swing,43
1,22,Unknown,25411
1,28,Democrat,29
1,28,Republican,848
1,28,Swing,26
1,28,Unknown,13583
1,30,Democrat,39
1,30,Republican,1646
1,30,Swing,44
1,30,Unknown,19821
1,31,Democrat,7
1,31,Republican,384
1,31,Swing,6
1,31,Unknown,2742
2,1,Democrat,96
2,1,Republican,1485
2,1,Swing,57
2,1,Unknown,23344
2,2,Democrat,5976
2,2,Republican,12029
2,2,Swing,808
2,2,Unknown,363616
2,11,Democrat,129
2,11,Republican,460
2,11,Swing,19
2,11,Unknown,11944
2,17,Democrat,29
2,17,Republican,267
2,17,Swing,16
2,17,Unknown,5216
2,19,Democrat,2824
2,19,Republican,64
2,19,Swing,226
2,19,Unknown,32834
2,20,Democrat,281
2,20,Republican,178
2,20,Swing,37
2,20,Unknown,18056
2,24,Democrat,252
2,24,Republican,2280
2,24,Swing,135
2,24,Unknown,19263
2,27,Democrat,74
2,27,Republican,96
2,27,Swing,8
2,27,Unknown,5125
2,28,Democrat,22
2,28,Republican,1114
2,28,Swing,14
2,28,Unknown,8810
2,31,Democrat,1
2,31,Republican,312
2,31,Swing,5
2,31,Unknown,3191
3,1,Democrat,133
3,1,Republican,1598
3,1,Swing,58
3,1,Unknown,28697
3,3,Democrat,1240
3,3,Republican,15516
3,3,Swing,579
3,3,Unknown,249268
3,10,Democrat,18
3,10,Republican,679
3,10,Swing,13
3,10,Unknown,9740
3,18,Democrat,83
3,18,Republican,611
3,18,Swing,74
3,18,Unknown,12495
3,19,Democrat,392
3,19,Republican,702
3,19,Swing,452
3,19,Unknown,20847
3,21,Democrat,620
3,21,Republican,417
3,21,Swing,57
3,21,Unknown,10931
3,24,Democrat,125
3,24,Republican,1153
3,24,Swing,50
3,24,Unknown,15655
3,27,Democrat,98
3,27,Republican,522
3,27,Swing,73
3,27,Unknown,15329
3,28,Democrat,36
3,28,Republican,1218
3,28,Swing,28
3,28,Unknown,12288
3,29,Democrat,127
3,29,Republican,311
3,29,Swing,115
3,29,Unknown,7793
3,31,Democrat,5
3,31,Republican,365
3,31,Swing,10
3,31,Unknown,3338
4,2,Democrat,126
4,2,Republican,460
4,2,Swing,36
4,2,Unknown,8451
4,3,Democrat,25
4,3,Republican,474
4,3,Swing,49
4,3,Unknown,6921
4,4,Democrat,2465
4,4,Republican,7592
4,4,Swing,380
4,4,Unknown,233740
4,7,Democrat,33
4,7,Republican,359
4,7,Swing,14
4,7,Unknown,4455
4,8,Democrat,238
4,8,Republican,770
4,8,Swing,69
4,8,Unknown,19211
4,10,Democrat,3
4,10,Republican,62
4,10,Swing,2
4,10,Unknown,1082
4,14,Democrat,983
4,14,Republican,234
4,14,Swing,105
4,14,Unknown,22388
4,19,Democrat,5
4,19,Republican,17
4,19,Swing,1
4,19,Unknown,498
4,20,Democrat,1350
4,20,Republican,167
4,20,Swing,155
4,20,Unknown,21654
4,21,Democrat,434
4,21,Republican,248
4,21,Swing,60
4,21,Unknown,16791
4,24,Democrat,53
4,24,Republican,86
4,24,Swing,21
4,24,Unknown,3022
4,27,Democrat,4298
4,27,Republican,1110
4,27,Swing,723
4,27,Unknown,192315
4,28,Democrat,93
4,28,Republican,1552
4,28,Swing,61
4,28,Unknown,24391
4,29,Democrat,660
4,29,Republican,195
4,29,Swing,81
4,29,Unknown,16191
4,30,Democrat,4
4,30,Republican,74
4,30,Swing,2
4,30,Unknown,2118
4,31,Democrat,10
4,31,Republican,143
4,31,Swing,3
4,31,Unknown,6640
5,5,Democrat,949
5,5,Republican,5148
5,5,Swing,274
5,5,Unknown,127329
5,10,Democrat,77
5,10,Republican,1363
5,10,Swing,65
5,10,Unknown,18891
5,19,Democrat,35
5,19,Republican,334
5,19,Swing,17
5,19,Unknown,2861
5,21,Democrat,933
5,21,Republican,13
5,21,Swing,34
5,21,Unknown,5686
5,22,Democrat,47
5,22,Republican,1447
5,22,Swing,24
5,22,Unknown,17326
5,27,Democrat,34
5,27,Republican,2
5,27,Swing,6
5,27,Unknown,228
5,29,Democrat,238
5,29,Republican,292
5,29,Swing,79
5,29,Unknown,6288
5,31,Democrat,19
5,31,Republican,1550
5,31,Swing,28
5,31,Unknown,19633
6,2,Democrat,577
6,2,Republican,1430
6,2,Swing,145
6,2,Unknown,36048
6,4,Democrat,715
6,4,Republican,5567
6,4,Swing,259
6,4,Unknown,128355
6,5,Democrat,1435
6,5,Republican,4323
6,5,Swing,392
6,5,Unknown,79187
6,6,Democrat,6324
6,6,Republican,2603
6,6,Swing,320
6,6,Unknown,415993
6,7,Democrat,68
6,7,Republican,892
6,7,Swing,19
6,7,Unknown,14926
6,8,Democrat,2213
6,8,Republican,5897
6,8,Swing,575
6,8,Unknown,172004
6,10,Democrat,19
6,10,Republican,313
6,10,Swing,9
6,10,Unknown,4478
6,14,Democrat,8554
6,14,Republican,1958
6,14,Swing,973
6,14,Unknown,188949
6,18,Democrat,185
6,18,Republican,2659
6,18,Swing,79
6,18,Unknown,27821
6,19,Democrat,7
6,19,Republican,67
6,19,Swing,5
6,19,Unknown,899
6,21,Democrat,1092
6,21,Republican,698
6,21,Swing,133
6,21,Unknown,59854
6,22,Democrat,277
6,22,Republican,850
6,22,Swing,41
6,22,Unknown,23983
6,24,Democrat,1144
6,24,Republican,2664
6,24,Swing,233
6,24,Unknown,83220
6,25,Democrat,764
6,25,Republican,1447
6,25,Swing,199
6,25,Unknown,35729
6,28,Democrat,472
6,28,Republican,3847
6,28,Swing,280
6,28,Unknown,90771
6,29,Democrat,4157
6,29,Republican,1008
6,29,Swing,341
6,29,Unknown,170271
6,30,Democrat,336
6,30,Republican,1219
6,30,Swing,84
6,30,Unknown,46912
6,31,Democrat,183
6,31,Republican,2309
6,31,Swing,83
6,31,Unknown,45939
7,2,Democrat,140
7,2,Republican,530
7,2,Swing,36
7,2,Unknown,11788
7,3,Democrat,2
7,3,Republican,99
7,3,Swing,6
7,3,Unknown,1416
7,4,Democrat,73
7,4,Republican,788
7,4,Swing,24
7,4,Unknown,17350
7,5,Democrat,496
7,5,Republican,842
7,5,Swing,99
7,5,Unknown,33568
7,7,Democrat,5813
7,7,Republican,14526
7,7,Swing,815
7,7,Unknown,561632
7,8,Democrat,498
7,8,Republican,1223
7,8,Swing,167
7,8,Unknown,37558
7,10,Democrat,20
7,10,Republican,448
7,10,Swing,10
7,10,Unknown,5869
7,14,Democrat,2451
7,14,Republican,341
7,14,Swing,174
7,14,Unknown,66845
7,18,Democrat,21
7,18,Republican,220
7,18,Swing,3
7,18,Unknown,4617
7,20,Democrat,35
7,20,Republican,76
7,20,Swing,7
7,20,Unknown,1784
7,21,Democrat,775
7,21,Republican,414
7,21,Swing,82
7,21,Unknown,37879
7,22,Democrat,77
7,22,Republican,180
7,22,Swing,8
7,22,Unknown,5747
7,24,Democrat,200
7,24,Republican,300
7,24,Swing,50
7,24,Unknown,10229
7,25,Democrat,428
7,25,Republican,545
7,25,Swing,86
7,25,Unknown,19594
7,27,Democrat,588
7,27,Republican,112
7,27,Swing,94
7,27,Unknown,26172
7,28,Democrat,92
7,28,Republican,1278
7,28,Swing,62
7,28,Unknown,24273
7,29,Democrat,742
7,29,Republican,152
7,29,Swing,67
7,29,Unknown,38790
7,30,Democrat,185
7,30,Republican,1440
7,30,Swing,69
7,30,Unknown,30085
7,31,Democrat,69
7,31,Republican,438
7,31,Swing,21
7,31,Unknown,13425
8,8,Democrat,269
8,8,Republican,2841
8,8,Swing,116
8,8,Unknown,69802
