new_district,old_district,Democrat,Republican,Swing,Unknown
1,1,1751,16550,618,281360
1,3,283,3452,158,69959
1,4,126,2377,80,34573
1,5,123,1831,60,24118
1,10,77,1363,65,18891
1,19,864,5,21,6935
1,21,36,413,50,7968
1,22,25,561,13,5681
1,28,5,59,21,872
1,30,50,1625,35,20987
1,31,5,9,6,109
2,2,6136,13857,876,394526
2,3,279,3718,174,61677
2,19,2824,64,226,32834
2,21,1032,28,264,35077
2,22,79,731,20,12864
2,28,21,1480,23,9581
2,29,1203,282,119,43448
2,31,1,384,7,3604
3,1,787,3193,130,72290
3,3,1089,13979,501,230744
3,5,101,1066,78,11371
3,10,527,3898,142,96666
3,18,147,1406,55,18348
3,19,722,404,96,11019
3,21,1252,18,60,6445
3,22,28,733,24,9272
3,24,457,3409,191,52225
3,27,98,522,73,15329
3,28,53,1495,36,17371
3,29,604,207,95,8523
3,31,5,795,13,8986
4,1,53,366,16,7412
4,2,34,129,4,4188
4,3,216,2068,64,28015
4,4,2465,7592,380,233740
4,7,33,359,14,4455
4,10,112,1020,27,28069
4,14,983,234,105,22388
4,17,7,17,0,361
4,18,9,161,13,1330
4,19,61,362,23,8481
4,20,532,112,104,15752
4,21,440,255,56,17085
4,22,70,661,23,11054
4,24,136,676,57,13489
4,27,446,115,50,21419
4,28,6,59,2,1376
4,29,1,2,0,147
4,30,30,129,9,4454
4,31,37,957,17,18285
5,1,1752,10453,357,174617
5,5,5813,14989,1414,376275
5,18,80,928,33,11160
5,19,5,139,5,1350
5,21,919,13,44,7074
5,28,20,539,17,9215
5,31,11,667,23,5638
6,2,53,442,21,7999
6,4,715,5567,259,128355
6,6,6324,2603,320,415993
6,7,68,892,19,14926
6,10,39,974,24,13267
6,14,8554,1958,973,188949
6,17,12,80,1,3534
6,18,374,3379,100,47599
6,19,123,544,54,10377
6,20,3552,638,531,120112
6,21,1135,1016,144,67868
6,22,873,5026,235,105573
6,24,37,361,22,3362
6,25,937,1959,218,54285
6,27,2485,999,400,124960
6,28,55,1071,50,16968
6,29,94,193,94,5121
6,30,240,2467,137,49059
6,31,181,2599,87,52008
7,2,71,304,11,5766
7,3,5,174,4,1757
7,4,73,788,24,17350
7,7,5813,14526,815,561632
7,10,20,448,10,5869
7,14,2451,341,174,66845
7,17,8,21,0,3956
7,18,17,219,1,3858
7,19,2,1,0,254
7,20,190,28,43,5135
7,21,784,521,86,38947
7,22,129,868,31,18242
7,24,45,235,21,4196
7,25,570,996,102,36302
7,27,1015,406,186,39504
7,28,54,634,27,12649
7,30,77,1367,52,19976
7,31,146,1198,56,33563
8,1,90,1411,40,16366
8,3,72,1091,41,11119
8,8,269,2841,116,69802
8,18,33,616,40,5159
8,28,34,342,13,7745
8,29,10578,2714,932,442564
8,31,28,1034,14,12398
9,9,6690,17853,1475,594730
10,10,8076,9148,899,349438
10,22,110,1320,43,25411
11,2,41,321,18,5819
11,3,65,917,31,10236
11,4,90,615,35,23088
11,7,46,514,8,9257
11,10,13,429,4,4895
11,11,5466,14370,1053,428441
11,14,1923,567,229,39253
11,17,29,120,1,4799
11,18,42,463,11,10966
11,19,194,158,137,8383
11,20,384,24,31,10948
11,21,442,78,27,22076
11,22,226,1343,60,26313
11,24,93,1150,42,9914
11,25,434,791,51,25013
11,27,614,72,80,21904
11,28,24,232,6,5236
11,30,33,577,21,8693
11,31,42,731,18,15662
12,12,9838,21619,2230,590623
12,31,2,237,7,2431
13,0,0,0,0,1
13,2,120,473,32,12393
13,4,211,2092,66,43520
13,7,2,35,1,2528
13,10,38,900,36,14402
13,13,16408,3230,545,480991
13,14,6180,1303,673,143701
13,17,5,29,0,512
13,18,156,1041,40,17995
13,19,55,312,20,5976
13,20,1363,221,220,52917
13,21,1245,763,150,65565
13,22,323,1715,100,41316
13,24,1,62,1,734
13,25,1087,1467,179,42235
13,27,1163,228,144,45264
13,28,107,1102,40,24287
13,29,28,29,20,1692
13,30,205,1799,105,39523
13,31,263,3033,131,61931
14,1,34,557,27,7017
14,17,195,1954,43,24271
14,25,205,887,29,9930
15,2,95,346,9,9513
15,4,682,4945,202,109060
15,7,58,508,19,13759
15,10,82,2006,57,29187
15,14,6350,1433,680,133348
15,15,15085,7181,1325,541428
15,17,10,143,9,1710
15,18,53,948,20,16437
15,19,31,154,3,4561
15,20,1748,284,243,64547
15,21,1303,799,149,45929
15,22,714,3611,202,84393
15,24,143,1191,66,8942
15,25,1090,2107,239,59353
15,27,3052,864,431,148718
15,28,82,1036,44,23290
15,29,4,87,1,833
15,30,134,1463,81,28934
15,31,263,2882,129,52884
16,16,10370,6726,1070,459412
17,2,10,73,0,1342
17,3,145,1632,65,17593
17,4,12,16,1,4630
17,10,19,228,4,3076
17,14,2117,444,185,59316
17,17,6564,15545,1240,424879
17,18,106,322,12,6243
17,19,154,473,148,10550
17,20,218,40,31,16794
17,21,459,114,31,17967
