district,old_expected_republican_voters,old_expected_democrat_voters,old_net_advantage,old_advantage_party,new_republican_voters,new_democrat_voters,new_net_advantage,new_advantage_party,advantage_shift,shift_type
6,104187.79234155628,71969.77079575926,32218.02154579702,Republican,119308.0,59308.0,60000.0,Republican,27781.97845420298,Republican → Republican
15,101146.96708477769,78442.69239509871,22704.274689678976,Republican,110037.0,70358.0,39679.0,Republican,16974.725310321024,Republican → Republican
13,59885.53393707052,67497.43334729066,-7611.8994102201395,Democrat,67395.0,61047.0,6348.0,Republican,13959.89941022014,Democrat → Republican
14,26936.341471659507,67956.81728298379,-41020.47581132428,Democrat,31702.0,62077.0,-30375.0,Democrat,10645.475811324279,Democrat → Democrat
3,60426.50405101562,13640.872506495642,46785.63154451997,Republican,64252.0,8050.0,56202.0,Republican,9416.368455480027,Republican → Republican
20,57767.12095040037,29850.752546258547,27916.368404141824,Republican,60994.0,27556.0,33438.0,Republican,5521.631595858176,Republican → Republican
1,36854.79660669387,7187.649405863093,29667.147200830776,Republican,38956.0,4265.0,34691.0,Republican,5023.852799169224,Republican → Republican
2,49799.37336408772,18168.913756772577,31630.45960731514,Republican,51879.0,15678.0,36201.0,Republican,4570.540392684859,Republican → Republican
27,35705.338065498385,15117.495286393534,20587.842779104853,Republican,37426.0,12731.0,24695.0,Republican,4107.1572208951475,Republican → Republican
11,65309.595856037144,24371.40960015965,40938.18625587749,Republican,66008.0,21980.0,44028.0,Republican,3089.8137441225117,Republican → Republican
22,62115.81850618283,18190.54473569705,43925.27377048579,Republican,64840.0,18419.0,46421.0,Republican,2495.7262295142136,Republican → Republican
26,29126.27221677198,34032.26891819596,-4905.996701423977,Democrat,30395.0,33383.0,-2988.0,Democrat,1917.9967014239774,Democrat → Democrat
25,77154.10793770566,27178.647157049305,49975.46078065636,Republican,77491.0,26374.0,51117.0,Republican,1141.539219343642,Republican → Republican
7,71525.0699400703,27225.56163847126,44299.50830159904,Republican,72447.0,27014.0,45433.0,Republican,1133.4916984009615,Republican → Republican
28,19840.27090866221,2776.315764442763,17063.955144219446,Republican,19306.0,1561.0,17745.0,Republican,681.0448557805539,Republican → Republican
31,35452.944565139376,3723.535839655009,31729.40872548437,Republican,36109.0,3747.0,32362.0,Republican,632.5912745156311,Republican → Republican
4,43924.56329619272,14263.638195801155,29660.925100391563,Republican,43430.0,13306.0,30124.0,Republican,463.0748996084367,Republican → Republican
23,11803.0,43307.0,-31504.0,Democrat,11803.0,43307.0,-31504.0,Democrat,0.0,Democrat → Democrat
9,53475.0,17639.0,35836.0,Republican,53475.0,17639.0,35836.0,Republican,0.0,Republican → Republican
16,17594.0,23131.0,-5537.0,Democrat,17594.0,23131.0,-5537.0,Democrat,0.0,Democrat → Democrat
29,34838.65620566057,36622.41883130325,-1783.762625642681,Democrat,35457.0,38080.0,-2623.0,Democrat,-839.2373743573189,Democrat → Democrat
24,65843.37403800023,16760.340240610618,49083.03379738961,Republican,64628.0,16932.0,47696.0,Republican,-1387.0337973896094,Republican → Republican
19,27106.728022349296,29629.061255257828,-2522.3332329085315,Democrat,25691.0,29831.0,-4140.0,Democrat,-1617.6667670914685,Democrat → Democrat
30,48985.59034453786,11081.510753337408,37904.07959120045,Republican,47951.0,12957.0,34994.0,Republican,-2910.079591200447,Republican → Republican
12,67818.57032492614,23376.251946871576,44442.318378054566,Republican,66077.0,25256.0,40821.0,Republican,-3621.318378054566,Republican → Republican
21,19010.71357586789,34513.61277537049,-15502.899199502604,Democrat,17816.0,37096.0,-19280.0,Democrat,-3777.1008004973955,Democrat → Democrat
17,65246.661714837915,23805.374215604632,41441.28749923328,Republican,61918.0,25407.0,36511.0,Republican,-4930.28749923328,Republican → Republican
5,41934.37830880716,11965.396052571286,29968.98225623587,Republican,40832.0,15794.0,25038.0,Republican,-4930.982256235871,Republican → Republican
8,35477.308451846824,10514.999526665051,24962.308925181773,Republican,31024.0,13679.0,17345.0,Republican,-7617.308925181773,Republican → Republican
18,63376.83368729033,21252.9669607121,42123.86672657823,Republican,59946.0,25932.0,34014.0,Republican,-8109.866726578228,Republican → Republican
10,42317.94544954325,14847.64393017015,27470.3015193731,Republican,35428.0,20328.0,15100.0,Republican,-12370.3015193731,Republican → Republican
