CD118FP,NAMELSAD20,district_id,total_voters,early_voters,turnout_rate
01,Congressional District 1,01,524266,30023,5.726673101059386
02,Congressional District 2,02,517424,32098,6.203423111413463
03,Congressional District 3,03,572862,39830,6.952808878927211
05,Congressional District 5,05,497387,38724,7.785486954825921
08,Congressional District 8,08,546344,38597,7.06459666437263
11,Congressional District 11,11,467634,27611,5.904403871403704
15,Congressional District 15,15,432672,22449,5.188456844907921
19,Congressional District 19,19,465259,27356,5.8797358030688285
22,Congressional District 22,22,522685,41438,7.927910691908129
23,Congressional District 23,23,523641,41469,7.919356964026882
29,Congressional District 29,29,339572,11831,3.4840917390126394
31,Congressional District 31,31,566107,52074,9.198614396218382
37,Congressional District 37,37,555357,78744,14.178987570157576
25,Congressional District 25,25,524962,41371,7.88076089316941
24,Congressional District 24,24,543784,60834,11.187162549835964
27,Congressional District 27,27,487762,26399,5.412270738597923
04,Congressional District 4,04,541518,42201,7.793092750379489
26,Congressional District 26,26,579436,49358,8.51828329617076
06,Congressional District 6,06,473733,32424,6.844361697411832
28,Congressional District 28,28,476116,28933,6.076880424098329
07,Congressional District 7,07,430497,26184,6.082272350329967
09,Congressional District 9,09,426831,31796,7.449318348479843
32,Congressional District 32,32,413352,25442,6.15504461088854
30,Congressional District 30,30,467890,27943,5.972130201543098
10,Congressional District 10,10,524853,45320,8.634798696015837
33,Congressional District 33,33,347152,14399,4.14775084113011
12,Congressional District 12,12,531935,45475,8.548976848675121
34,Congressional District 34,34,421526,20109,4.7705242381252875
13,Congressional District 13,13,490256,32789,6.688138441956855
35,Congressional District 35,35,488691,37613,7.696683589425629
16,Congressional District 16,16,471994,20763,4.398996597414373
14,Congressional District 14,14,497988,28195,5.661783014851764
36,Congressional District 36,36,494406,26144,5.287961715674971
17,Congressional District 17,17,484446,35145,7.254678540023036
20,Congressional District 20,20,456611,40022,8.765010041370006
38,Congressional District 38,38,521742,41315,7.91866478067704
18,Congressional District 18,18,423957,30361,7.161339475465672
21,Congressional District 21,21,612199,82357,13.45265183379914
