District,district_id,total_voters,early_voters,turnout_rate
1,1.0,347370,21195,6.101563174712842
2,2.0,657308,53831,8.189615826979132
3,3.0,402298,20559,5.110390804826273
4,4.0,556515,33851,6.082675219895241
5,5.0,612139,49367,8.064671586028663
6,6.0,1296387,69336,5.3484029074651325
7,7.0,791686,52777,6.666405620410113
8,8.0,379709,20036,5.276672399126699
9,9.0,620748,64084,10.32367401908665
10,10.0,471852,30961,6.561591346439137
11,11.0,764503,44625,5.837125557388264
12,12.0,633164,56935,8.992141056661465
13,13.0,1012020,70003,6.917155787435031
14,14.0,711907,93629,13.15185831857251
15,15.0,1181306,79098,6.695809553155575
16,16.0,477578,26981,5.64954834602934
17,17.0,702562,50592,7.201072645545874
18,18.0,559209,35366,6.3242902027685535
19,19.0,524988,44549,8.485717768787095
20,20.0,1249001,84403,6.757640706452597
21,21.0,401649,19695,4.903535176235967
22,22.0,255725,15851,6.1984553719816216
23,23.0,572030,33482,5.853189518032271
24,24.0,308913,28727,9.299382026654754
25,25.0,518489,70831,13.661041989318964
26,26.0,568968,61544,10.816777041942604
27,27.0,807188,49815,6.171424748633528
28,28.0,171199,9051,5.286829946436603
29,29.0,250082,15501,6.198366935645108
30,30.0,579372,47509,8.200085609936277
31,31.0,277187,20853,7.523080086728454
32,,0,0,0.0
33,,0,0,0.0
34,,0,0,0.0
35,,0,0,0.0
36,,0,0,0.0
37,,0,0,0.0
38,,0,0,0.0
