Old_CD,New_SD,Old_CD_Republican,Old_CD_Democrat,Old_CD_Other,Old_CD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
1,1,68131,11077,45255,524266,221742,27048,4052,190642,28816.486672795872,4685.095226469006,-1768.4866727958724,-633.0952264690059,-6.137065537782604,-13.51296389649155
1,4,68131,11077,45255,524266,15712,2136,251,13325,2041.8533187351459,331.97236517340434,94.14668126485412,-80.97236517340434,4.610844491178954,-24.39129688735048
1,10,68131,11077,45255,524266,22531,2733,217,19581,2928.016619426017,476.0482026299627,-195.01661942601686,-259.0482026299627,-6.660365864461734,-54.416380778003614
1,13,68131,11077,45255,524266,7635,1479,63,6093,992.2065993217184,161.31676477208134,486.7934006782816,-98.31676477208134,49.061697534672525,-60.94640250874704
1,14,68131,11077,45255,524266,13913,2149,244,11520,1808.0642326605196,293.96203644714706,340.93576733948044,-49.96203644714706,18.85639686803617,-16.996084613847742
1,20,68131,11077,45255,524266,6532,1241,128,5163,848.8662091381093,138.01193287377018,392.1337908618907,-10.011932873770178,46.1950053660448,-7.254396533180496
1,22,68131,11077,45255,524266,10235,1685,185,8365,1330.0896586847136,216.25109200291456,354.91034131528636,-31.25109200291456,26.6831892871227,-14.451299049390867
1,23,68131,11077,45255,524266,1916,207,49,1660,248.99382374596104,40.482373451644776,-41.99382374596104,8.517626548355224,-16.865407789715196,21.04033390860673
1,34,68131,11077,45255,524266,209628,27733,5580,176315,27242.211526209976,4429.143518748117,490.788473790024,1150.8564812518835,1.80157353714779,25.983725214150873
1,36,68131,11077,45255,524266,7847,940,157,6750,1019.7570641620856,165.7960253001339,-79.75706416208561,-8.796025300133891,-7.821182805693081,-5.305329415594131
1,37,68131,11077,45255,524266,6474,770,150,5554,841.3288178138579,136.78647480477468,-71.32881781385788,13.213525195225316,-8.47811418123077,9.659964710753759
2,2,49391,14409,31154,517424,165094,12483,6026,146585,15759.140963697084,4597.466383468876,-3276.140963697084,1428.5336165311237,-20.78882961478697,31.072192755290313
2,3,49391,14409,31154,517424,124324,13313,2109,108902,11867.417599492872,3462.121038065494,1445.582400507128,-1353.1210380654938,12.181103330929401,-39.083585558914145
2,4,49391,14409,31154,517424,96787,11249,2176,83362,9238.8577201676,2695.282559371038,2010.1422798324002,-519.2825593710381,21.757476310566396,-19.266349554542295
2,9,49391,14409,31154,517424,93118,9269,2923,80926,8888.631254058568,2593.1098325551193,380.3687459414323,329.8901674448807,4.279272421923849,12.721796944475106
2,29,49391,14409,31154,517424,18654,563,714,17377,1780.6280999721698,519.4685325767649,-1217.6280999721698,194.53146742323509,-68.38194342722103,37.44817158765782
2,32,49391,14409,31154,517424,16047,2198,347,13502,1531.7754433501345,446.86992292587894,666.2245566498655,-99.86992292587894,43.49361778465195,-22.348768131894182
2,38,49391,14409,31154,517424,3400,316,114,2970,324.5489192615727,94.6817310368286,-8.548919261572678,19.318268963171406,-2.634092660367977,20.403375341392024
3,3,59339,19743,33104,572862,52728,4981,710,47037,5461.746095918389,1817.207117944636,-480.7460959183891,-1107.207117944636,-8.802058672732056,-60.9290546471637
3,15,59339,19743,33104,572862,350042,35521,12938,301583,36258.54435797801,12063.776626831592,-737.5443579780112,874.2233731684082,-2.034125668963124,7.2466807054766615
3,28,59339,19743,33104,572862,158862,17730,6007,135125,16455.467840422298,5474.987808582171,1274.5321595777023,532.012191417829,7.745341377939176,9.717139289038917
3,32,59339,19743,33104,572862,11230,1107,88,10035,1163.2417056812983,387.02844664159954,-56.2417056812983,-299.02844664159954,-4.8349113865684625,-77.26265323295712
4,1,66929,15003,36797,541518,1463,176,12,1275,180.8197086708106,40.533073692841235,-4.8197086708105985,-28.533073692841235,-2.665477511406164,-70.39454720129112
4,2,66929,15003,36797,541518,881,128,6,747,108.88732969171846,24.408501656454632,19.112670308281537,-18.408501656454632,17.552703663863632,-75.41840099630471
4,3,66929,15003,36797,541518,25453,3284,274,21895,3145.8674263828716,705.1868248146876,138.1325736171284,-431.1868248146876,4.3909216408383,-61.14504832503032
4,4,66929,15003,36797,541518,179808,27534,3815,148459,22223.397249952908,4981.661595736429,5310.602750047092,-1166.6615957364293,23.8964488206606,-23.41912579399051
