district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
1,12868,1924,247421,262213,4.907460728491722,0.7337546193361885,94.35878465217209,12868,0,1924,0
2,18566,9115,578654,606335,3.0620036778348605,1.503294383467885,95.43470193869726,18566,0,9115,0
3,12574,10972,640949,664495,1.892264050143342,1.6511787146630148,96.45655723519364,12574,0,10972,0
4,24444,10799,636970,672213,3.6363474077412965,1.6064848492962795,94.75716774296242,24444,0,10799,0
5,12947,5216,348126,366289,3.5346406799002974,1.4240121870981657,95.04134713300154,12947,0,5216,0
6,6124,3882,222339,232345,2.635735651724806,1.670791280208311,95.69347306806688,6124,0,3882,0
7,10695,16374,681423,708492,1.5095442150370082,2.311105841703223,96.17934994325978,10695,0,16374,0
8,16429,6539,546660,569628,2.8841629976054546,1.1479421657643234,95.96789483663022,16429,0,6539,0
9,9406,21453,696357,727216,1.293425887219203,2.950017601372907,95.7565565114079,9406,0,21453,0
10,20535,3072,374676,398283,5.155881621861842,0.7713108518314866,94.07280752630666,20535,0,3072,0
11,13432,1155,248571,263158,5.104157958336817,0.43889982444007025,94.45694221722312,13432,0,1155,0
12,17436,6094,508405,531935,3.277844097493115,1.14562869523532,95.57652720727157,17436,0,6094,0
13,19665,2470,369903,392038,5.016095378509227,0.6300409654166178,94.35386365607415,19665,0,2470,0
14,24668,8580,605180,638428,3.86386561992895,1.3439260182824062,94.79220836178864,24668,0,8580,0
15,15718,9204,528691,553613,2.8391674328456884,1.6625332136347954,95.49829935351951,15718,0,9204,0
16,28607,4008,651760,684375,4.180018264840182,0.5856438356164384,95.23433789954338,28607,0,4008,0
17,26194,4633,421498,452325,5.790968882993423,1.024263527331012,93.18476758967556,26194,0,4633,0
18,15214,26027,984736,1025977,1.482879245831047,2.5368015072462637,95.98031924692269,15214,0,26027,0
19,8663,634,159317,168614,5.137770291909331,0.3760067372816018,94.48622297080907,8663,0,634,0
20,6614,9400,483812,499826,1.323260494652139,1.8806544677547787,96.79608503759309,6614,0,9400,0
21,21792,10263,487974,520029,4.1905355278263325,1.9735437831351714,93.8359206890385,21792,0,10263,0
22,16596,6071,452468,475135,3.4929020173213927,1.2777421153987814,95.22935586727984,16596,0,6071,0
23,12100,4705,344680,361485,3.347303484238627,1.3015754457308049,95.35112107003056,12100,0,4705,0
24,21370,9878,512536,543784,3.9298692127756607,1.816530092830977,94.25360069439336,21370,0,9878,0
25,14777,5121,360434,380332,3.8852896942671142,1.3464552022969405,94.76825510343595,14777,0,5121,0
26,16495,5002,520071,541568,3.045785570787048,0.9236143937603404,96.03060003545261,16495,0,5002,0
27,14874,3813,278355,297042,5.007372694770437,1.2836568566061366,93.70897044862343,14874,0,3813,0
28,4271,3421,192212,199904,2.1365255322554826,1.7113214342884584,96.15215303345606,4271,0,3421,0
29,14027,19050,905885,938962,1.4938836715436834,2.0288360977334543,96.47728023072287,14027,0,19050,0
30,2773,18400,446717,467890,0.5926606681057514,3.9325482485199514,95.4747910833743,2773,0,18400,0
31,10689,4848,318327,333864,3.2016030479476676,1.452088275465459,95.34630867658687,10689,0,4848,0
32,6096,11397,414039,431532,1.4126414727065433,2.641055587998109,95.94630293929535,6096,0,11397,0
33,2098,6823,338231,347152,0.6043462229801355,1.965421486841499,97.43023229017837,2098,0,6823,0
34,11264,4292,321444,337000,3.342433234421365,1.2735905044510385,95.3839762611276,11264,0,4292,0
35,4860,5605,325108,335573,1.4482690800511364,1.6702774061083578,96.88145351384051,4860,0,5605,0
36,23294,12324,732577,768195,3.0323029959840926,1.6042801632398025,95.36341684077611,23294,0,12324,0
37,2612,1090,70173,73875,3.5357021996615905,1.475465313028765,94.98883248730965,2612,0,1090,0
38,23888,14979,853065,891932,2.678231075911617,1.6793881147890197,95.64238080929937,23888,0,14979,0
