Old_HD,Net_Republican_Change,Net_Democrat_Change,Old_HD_Republican,Old_HD_Democrat,Old_HD_Total
0,-0.028037383177570093,-0.03115264797507788,9,10,321
1,0.26506698896122316,0.033988238241981605,17984,2306,135694
2,0.7504914109913443,0.07203800244997183,15054,1445,140412
3,-1.2505552149377763e-12,-8.526512829121202e-14,18797,1977,151089
4,1.2314258327683092,0.2632112896792478,14667,3135,142927
5,3.3374273218046824,0.3441326511669729,18727,1931,134669
6,0.0,0.0,17243,3813,129644
7,5.568668680826704,0.3616758012356911,15181,3147,131734
8,-0.4290956879664236,0.06324646449616012,17268,1913,120987
9,2.2225317825254933,0.4333919394104271,21532,2210,147880
10,0.09161669351453838,0.02580103691471436,13536,3812,147746
11,-3.357999763377876,0.562361478092896,19333,1927,126785
12,15.808791666345769,3.398400814243132,22218,2533,129691
13,-0.37302397976566937,0.09606498370549943,12890,1975,123354
14,2.8421709430404007e-13,-8.526512829121202e-14,9699,2103,111194
15,6.821210263296962e-13,1.1368683772161603e-13,17375,3307,143814
16,-7.958078640513122e-13,-5.684341886080802e-14,20711,1790,139447
17,1.2504582847271308,1.1450906722012206,17535,4724,132014
18,5.105283883440052,-6.591787785494432,20373,1629,139670
19,0.3184540198241166,0.05950578193858291,27759,5187,174336
20,7.958078640513122e-13,3.979039320256561e-13,19679,7119,159755
21,-1.422295081968059,0.19185011709600985,25263,3072,128100
22,0.0,0.0,6245,8861,101022
23,-9.094947017729282e-13,0.0,15813,4215,135369
24,0.0,0.0,18206,4179,148134
25,9.094947017729282e-13,4.547473508864641e-13,14087,4352,123017
26,3.410605131648481e-13,-2.5579538487363607e-13,13724,5257,127718
27,0.0,-9.094947017729282e-13,5568,13028,137880
28,1.5916157281026244e-12,3.410605131648481e-13,14466,6807,146300
29,2.2737367544323206e-13,-1.1368683772161603e-13,14064,4773,127490
30,0.5559752129620961,0.05738951292489247,17002,1755,122322
31,4.702755065182373,-7.331231734147877,9784,18304,121812
32,-6.821210263296962e-13,-1.1368683772161603e-13,12972,4495,129697
33,4.547473508864641e-13,-1.1368683772161603e-13,17771,4709,143166
34,0.0,2.2737367544323206e-13,5191,4777,109485
35,-6.039613253960852e-14,0.0,2297,9551,86884
36,1.1368683772161603e-13,1.1368683772161603e-13,2751,9292,96870
37,0.12263111604909227,0.14610933666631354,6623,7891,108015
38,0.0,0.0,3135,9223,104816
39,-1.1368683772161603e-13,1.1368683772161603e-13,3162,8147,98685
40,1.0658141036401503e-13,-2.2737367544323206e-13,2813,10239,94598
41,-2.1316282072803006e-13,-3.126388037344441e-13,5361,9127,107490
42,0.0,0.0,2555,15281,106013
43,-0.9000809093895441,0.05501838485611188,12473,6868,124831
44,0.0,8.526512829121202e-14,16485,4017,144188
45,0.0,-2.2737367544323206e-13,7743,8504,148750
46,1.1368683772161603e-13,0.0,3163,10561,146025
47,-6.821210263296962e-13,-6.821210263296962e-13,8888,11013,150126
48,4.547473508864641e-13,-9.094947017729282e-13,7358,16425,156163
49,1.1368683772161603e-13,-6.821210263296962e-13,3391,16553,166676
50,-1.1368683772161603e-13,-4.547473508864641e-13,2298,7868,117381
51,5.684341886080802e-14,-5.115907697472721e-13,1636,8622,128985
52,0.0,5.684341886080802e-14,13630,6118,165688
53,0.8191281717626566,0.08832791151587571,31475,3394,153700
54,-2.2737367544323206e-13,-1.4210854715202004e-14,7306,2725,114494
55,6.821210263296962e-13,4.263256414560601e-14,11476,3499,126266
56,-1.1368683772161603e-13,1.2789769243681803e-13,16779,2559,128271
57,-4.831690603168681e-13,-1.7053025658242404e-13,12825,3857,135200
58,5.684341886080801e-13,-4.263256414560601e-14,16841,1927,136747
59,0.2669490556975802,0.024363672377852197,17520,1599,131261
60,0.5042944068914039,0.03409577435546396,25913,1752,154154
61,0.0,-2.2737367544323206e-13,14685,5359,146670
62,0.16096966868164486,0.01578191206189672,22072,2164,137119
63,0.0,0.0,12419,4726,131733
64,-1.1368683772161603e-12,-3.979039320256561e-13,18357,4106,148393
65,0.0,0.0,15938,4795,151941
66,0.0,2.2737367544323206e-13,14360,5128,146144
67,0.0,0.0,14128,5291,145930
68,1.2122113291306391,0.47701304799442745,22325,1156,140558
69,-0.9044606058599811,0.12214215226921965,12010,1339,120589
70,4.547473508864641e-13,0.0,10761,6022,114815
71,0.12882449006724528,0.011665111318365007,15461,1400,120016
72,16.0344719859321,4.0302857193862724,16049,1249,112033
73,2.6716406864579767e-12,-5.684341886080802e-14,24272,5922,181323
74,0.032942851595407774,2.357169438872006,6720,15335,123608
75,1.3677947663381929e-13,1.474376176702208e-13,1947,4289,114660
76,0.0,-2.2737367544323206e-13,7648,9632,123709
77,-7.815970093361102e-14,-2.8421709430404007e-13,1750,6409,120094
78,-1.4210854715202004e-13,2.842170943040401e-14,5195,7163,135290
79,0.0,0.0,3515,7498,124190
80,4.202607101868807,-8.667500299765152,7667,13377,116758
81,6.821210263296962e-13,8.881784197001252e-15,8951,1127,98058
82,0.11565699892298653,0.008888970011131647,12673,974,109574
83,-2.9594029380467646,0.20346579496674622,19928,1987,126955
84,0.0,0.0,9454,2436,107848
85,0.6751587562268924,0.13894591339587237,19733,4061,146136
86,0.13378063249226102,0.009949678844701992,16350,1216,122215
87,1.7053025658242404e-13,-7.105427357601002e-15,11479,1031,99253
88,4.0041793032030455,0.4788815740809085,15258,664,108152
89,0.0,2.2737367544323206e-13,13995,4916,143293
90,2.2737367544323206e-13,2.2737367544323206e-13,2723,3732,94679
91,9.094947017729282e-13,1.7053025658242404e-13,11430,2978,116874
92,0.0,1.1368683772161603e-13,4820,4343,93682
93,9.094947017729282e-13,0.0,9495,3445,138663
94,-4.2454928461665986e-13,9.103828801926284e-14,11909,4885,120886
95,0.0,-2.2737367544323206e-13,2490,6895,107476
96,-4.547473508864641e-13,-2.8421709430404007e-13,10477,5344,131012
97,1.3642420526593924e-12,4.547473508864641e-13,13088,5228,134488
98,0.0,0.0,18881,4384,139547
99,0.0,0.0,10561,3327,125527
100,5.684341886080802e-14,4.547473508864641e-13,897,5548,90254
101,1.2789769243681803e-13,-2.1316282072803006e-13,3630,5486,109738
102,0.0,4.547473508864641e-13,3631,4713,93812
103,-1.1368683772161603e-13,1.1368683772161603e-13,2336,4858,94454
104,1.9895196601282805e-13,2.4868995751603507e-13,2057,3169,89283
105,-4.973799150320701e-14,-2.2737367544323206e-13,3484,3182,83296
106,3.979039320256561e-13,-2.2737367544323206e-13,13595,4413,152065
107,0.0,5.684341886080802e-14,2501,3006,83807
108,0.0,2.2737367544323206e-13,14343,9029,147076
109,-7.815970093361102e-14,-7.958078640513122e-13,2536,11516,116805
110,0.0,4.547473508864641e-13,571,4832,87461
111,-5.813405312693476e-14,-7.588929484825258e-13,2730,11599,112393
112,9.094947017729282e-13,2.2737367544323206e-13,9451,6672,131823
113,2.2737367544323206e-13,4.547473508864641e-13,4378,5320,107493
114,-2.842170943040401e-14,6.821210263296962e-13,3678,7225,120258
115,0.0,2.2737367544323206e-13,6376,5866,113567
116,0.0,0.0,4227,6390,115863
117,-2.2737367544323206e-13,-2.2737367544323206e-13,4399,5212,133455
118,6.821210263296962e-13,4.547473508864641e-13,7509,5901,139317
119,-2.2737367544323206e-13,-4.547473508864641e-13,4446,6737,121624
120,1.1368683772161603e-13,-2.2737367544323206e-13,3660,5873,116112
121,-2.2737367544323206e-13,-2.2737367544323206e-13,16140,7769,148468
122,-1.4779288903810084e-12,0.0,16638,7060,163178
123,1.1368683772161603e-13,5.684341886080802e-14,5786,8115,119916
124,5.684341886080802e-14,5.400124791776761e-13,2980,4838,104984
125,-6.821210263296962e-13,0.0,7096,7957,132746
126,-4.547473508864641e-13,-2.2737367544323206e-13,9782,4040,126822
127,2.2737367544323206e-13,0.0,12713,5246,145135
128,-1.1368683772161603e-13,1.4210854715202004e-13,10190,2781,114026
129,-6.821210263296962e-13,0.0,10946,5330,136226
130,4.547473508864641e-13,1.8474111129762605e-13,12403,3333,137385
131,1.7053025658242404e-13,1.0231815394945443e-12,1309,6821,92701
132,0.0,0.0,9822,4525,141954
133,-4.547473508864641e-13,1.1368683772161603e-13,13231,5127,119432
134,-3.410605131648481e-13,0.0,8553,11691,151290
135,2.8421709430404007e-13,3.126388037344441e-13,3940,3906,117087
136,1.7053025658242404e-13,3.126388037344441e-13,6644,6072,121465
137,4.263256414560601e-14,-2.984279490192421e-13,2139,2662,65015
138,-1.1368683772161603e-13,-1.1368683772161603e-13,10676,4608,120011
139,-5.684341886080802e-14,-2.2737367544323206e-13,2915,8693,113889
140,-7.283063041541027e-14,-1.829647544582258e-13,1063,2039,74582
141,0.0,0.0,1033,5205,91374
142,0.0,1.9895196601282805e-13,2036,6415,102532
143,7.105427357601002e-14,-5.684341886080802e-14,2150,3682,86927
144,1.1368683772161603e-13,1.1368683772161603e-13,2810,2392,90135
145,1.1368683772161603e-13,0.0,2898,7129,110396
146,1.1368683772161603e-13,-4.547473508864641e-13,2219,9016,106686
147,-1.1368683772161603e-13,2.2737367544323206e-13,2124,9328,125169
148,0.0,2.2737367544323206e-13,3963,3825,99548
149,5.684341886080802e-14,0.0,3007,3882,99724
150,-1.1368683772161603e-13,5.684341886080802e-14,9545,3724,129347
