Old_HD,New_SD,Old_HD_Republican,Old_HD_Democrat,Old_HD_Other,Old_HD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
0,32,9,10,10,321,1,0,0,1,0.028037383177570093,0.03115264797507788,-0.028037383177570093,-0.03115264797507788,-100.0,-100.0
1,1,17984,2306,11500,135694,69633,7747,1290,60596,9228.704821141686,1183.3514967500405,-1481.704821141686,106.6485032499595,-16.0553929273727,9.01241123561843
1,4,17984,2306,11500,135694,57058,9306,851,46901,7562.0961280528245,969.6504488039265,1743.9038719471755,-118.65044880392645,23.061117478762018,-12.23641457086757
1,10,17984,2306,11500,135694,2527,161,15,2351,334.91214055153506,42.94413901867437,-173.91214055153506,-27.94413901867437,-51.92769072662927,-65.07090293863568
1,37,17984,2306,11500,135694,6474,770,150,5554,858.0218432649933,110.0199271891167,-88.02184326499332,39.9800728108833,-10.258694922036906,36.33893771094785
2,3,15054,1445,13665,140412,78181,8265,984,68932,8382.02414323562,804.571867076888,-117.0241432356197,179.428132923112,-1.3961322615618972,22.301069707420577
2,32,15054,1445,13665,140412,62224,6789,461,54974,6671.225365353389,640.356094920662,117.77463464661105,-179.35609492066203,1.7654123222739047,-28.008805779053862
3,3,18797,1977,10250,151089,65939,8213,826,56900,8203.4786317998,862.8120048448266,9.521368200199504,-36.81200484482656,0.11606500885235518,-4.266515143289767
3,4,18797,1977,10250,151089,80095,10058,1061,68976,9964.628232366354,1048.0433056013344,93.3717676336455,12.956694398665604,0.9370321245940955,1.236274715884136
3,32,18797,1977,10250,151089,5055,526,90,4439,628.8931358338463,66.14468955383913,-102.89313583384626,23.85531044616087,-16.36098885026321,36.065344938604035
4,3,14667,3135,8464,142927,65452,6908,1533,57011,6716.606967193043,1435.6421110077174,191.3930328069573,97.3578889922826,2.8495493891753343,6.781487408720853
4,4,14667,3135,8464,142927,42791,4079,1076,37636,4391.161900830493,938.5895247224107,-312.1619008304933,137.41047527758928,-7.108867946122749,14.640103224913856
4,5,14667,3135,8464,142927,34672,3680,526,30466,3557.9997061436957,760.5051529801926,122.00029385630432,-234.50515298019263,3.428901178537004,-30.835445632582097
5,10,18727,1931,13891,134669,30486,3733,298,26455,4239.367055521315,437.13450014479946,-506.3670555213148,-139.13450014479946,-11.94440228670048,-31.828762108392635
5,14,18727,1931,13891,134669,7849,1201,132,6516,1091.4777937015942,112.5457157920531,109.52220629840576,19.4542842079469,10.0343045850687,17.2856728228482
5,20,18727,1931,13891,134669,6532,1241,128,5163,908.3364694176091,93.66143655926754,332.6635305823909,34.33856344073246,36.623381509242066,36.66243515174309
5,21,18727,1931,13891,134669,9419,1375,133,7911,1309.8011643362615,135.0577267225568,65.19883566373846,-2.0577267225567937,4.977765895999781,-1.5235905212471792
5,22,18727,1931,13891,134669,10235,1685,185,8365,1423.2736932775917,146.7582368622326,261.72630672240825,38.24176313776741,18.38903564076216,26.05766051391471
5,23,18727,1931,13891,134669,1916,207,49,1660,266.4379478573391,27.47325665149366,-59.43794785733911,21.52674334850634,-22.308364230895677,78.3552660741295
5,32,18727,1931,13891,134669,35655,4890,386,30379,4958.1654649548145,511.2520698898781,-68.16546495481452,-125.2520698898781,-1.3748122251389152,-24.4990831854934
5,34,18727,1931,13891,134669,32553,4395,620,27538,4526.80298361167,466.77292472655176,-131.80298361167024,153.22707527344824,-2.9116129879925188,32.82689872451638
6,34,17243,3813,10067,129644,129644,17243,3813,108588,17243.0,3813.0,0.0,0.0,0.0,0.0
7,1,15181,3147,9422,131734,76399,8145,1842,66412,8804.20558853447,1825.0994655897491,-659.2055885344707,16.900534410250884,-7.487394312928586,0.9260062111075009
7,34,15181,3147,9422,131734,47431,6095,1147,40189,5465.939021057586,1133.0814899722168,629.0609789424143,13.918510027783213,11.508744911330888,1.2283767893979538
7,36,15181,3147,9422,131734,7847,940,157,6750,904.2867217271169,187.4573686367984,35.713278272883144,-30.457368636798407,3.94933127013892,-16.24762411757205
8,2,17268,1913,11930,120987,2029,229,77,1723,289.5912122790052,32.081769115690115,-60.59121227900522,44.918230884309885,-20.92301482568087,140.01170173106786
8,5,17268,1913,11930,120987,25030,3401,307,21322,3572.4337325497777,395.764751584881,-171.4337325497777,-88.76475158488103,-4.798793914293803,-22.428665319337654
8,7,17268,1913,11930,120987,12978,2432,236,10310,1852.2990403927695,205.20315405787397,579.7009596072305,30.796845942126026,31.296294332923058,15.007978841027128
8,8,17268,1913,11930,120987,2274,462,38,1774,324.55910139105856,35.95561506608148,137.44089860894144,2.044384933918522,42.346955614515345,5.685857216351948
8,9,17268,1913,11930,120987,10819,1644,179,8996,1544.1534379726747,171.06587484605785,99.84656202732526,7.934125153942148,6.46610366379226,4.638052540333989
8,16,17268,1913,11930,120987,32303,4296,517,27490,4610.480497904734,510.7626356550704,-314.48049790473397,6.237364344929574,-6.8209918260721825,1.221186498289943
8,18,17268,1913,11930,120987,24327,3808,440,20079,3472.097299709886,384.6491854496764,335.9027002901139,55.350814550323605,9.674345828908093,14.389947163313346
8,29,17268,1913,11930,120987,4752,425,55,4272,678.2343226958268,75.13679982146841,-253.2343226958268,-20.136799821468415,-37.33729099543033,-26.8001829587036
8,36,17268,1913,11930,120987,1376,146,17,1213,196.39108333953237,21.756783786687826,-50.39108333953237,-4.756783786687826,-25.65853931994118,-21.863451111732456
8,38,17268,1913,11930,120987,5095,424,47,4624,727.1893674527015,80.56018415201633,-303.1893674527015,-33.56018415201633,-41.69331690241219,-41.65852462388687
9,3,21532,2210,13095,147880,27848,4345,354,23149,4054.7953475791182,416.17581823099806,290.20465242088176,-62.17581823099806,7.157072738434161,-14.939795996625499
9,4,21532,2210,13095,147880,16685,1740,135,14810,2429.4118203949147,249.34981065728968,-689.4118203949147,-114.34981065728968,-28.377725612730693,-45.85919289686322
9,14,21532,2210,13095,147880,20948,3376,244,17328,3050.123992426292,313.0584257506086,325.8760075737082,-69.05842575060859,10.684024924327177,-22.059277141329055
9,16,21532,2210,13095,147880,13937,2218,384,11335,2029.2905328644847,208.28218826075195,188.7094671355153,175.71781173924805,9.299282881349608,84.36526099834518
9,34,21532,2210,13095,147880,12323,2341,212,9770,1794.2847984852583,184.1616851501217,546.7152015147417,27.838314849878287,30.469811814505736,15.116235946247741
9,36,21532,2210,13095,147880,56110,7510,881,47719,8169.870976467407,838.5386800108196,-659.8709764674068,42.461319989180424,-8.076883690918828,5.063728245503541
10,2,13536,3812,11450,147746,17516,1866,517,15133,1604.7580036007741,451.93096259797215,261.24199639922585,65.06903740202785,16.279214424420886,14.398003851732511
10,7,13536,3812,11450,147746,5869,323,148,5398,537.698374236866,151.42628565240344,-214.69837423686602,-3.426285652403436,-39.92914699464712,-2.262675623087275
10,8,13536,3812,11450,147746,13638,1206,289,12143,1249.468466151368,351.8745414427463,-43.46846615136792,-62.874541442746306,-3.478956638678538,-17.868454246490764
10,9,13536,3812,11450,147746,20298,2056,347,17895,1859.6356449582393,523.7094472946815,196.36435504176075,-176.70944729468147,10.559291846988144,-33.74188649975802
10,18,13536,3812,11450,147746,22590,2047,672,19871,2069.621106493577,582.8454239031852,-22.621106493576917,89.15457609681482,-1.0930071413845586,15.29643580278397
10,22,13536,3812,11450,147746,4780,164,217,4399,437.9277949995262,123.32895645228973,-273.9277949995262,93.67104354771027,-62.550904082218075,75.9521901768035
10,29,13536,3812,11450,147746,27646,2236,852,24558,2532.8351089031175,713.2954665439336,-296.83510890311754,138.70453345606643,-11.71948019275785,19.445593020255554
10,36,13536,3812,11450,147746,19279,2094,344,16841,1766.2782342669175,497.41819067859706,327.7217657330825,-153.41819067859706,18.554368127006978,-30.84289910453376
10,38,13536,3812,11450,147746,16129,1544,426,14159,1477.6856496961,416.1449243972764,66.31435030390003,9.855075602723616,4.487717013259092,2.3681835401446305
11,1,19333,1927,14325,126785,77173,11332,932,64909,11767.840115155577,1172.949252671846,-435.8401151555772,-240.9492526718459,-3.703654289067601,-20.542171975726205
11,3,19333,1927,14325,126785,7855,1497,47,6311,1197.781401585361,119.38782190322199,299.218598414639,-72.38782190322199,24.981069001288457,-60.63250065982518
11,4,19333,1927,14325,126785,1649,202,16,1431,251.45022676184092,25.063083172299564,-49.45022676184092,-9.063083172299564,-19.666010008683475,-36.16108644732242
11,17,19333,1927,14325,126785,40071,6293,932,32846,6110.286256260599,609.0374807745396,182.71374373940125,322.96251922546037,2.990264875924475,53.02834873392928
12,3,22218,2533,12292,129691,17304,2038,407,14859,2964.4329367496584,337.96510166472615,-926.4329367496584,69.03489833527385,-31.25160718816741,20.426635174823176
12,4,22218,2533,12292,129691,13679,2248,174,11257,2343.416443700796,267.1650847013285,-95.41644370079621,-93.16508470132851,-4.07168106877801,-34.871729142855784
12,10,22218,2533,12292,129691,21009,3205,347,17457,3599.1546213692545,410.3276017611091,-394.1546213692545,-63.32760176110912,-10.951311150375172,-15.433424777984634
12,14,22218,2533,12292,129691,12616,2487,188,9941,2161.308710704675,246.40359007178603,325.6912892953251,-58.40359007178603,15.069170252366975,-23.702410364545017
12,21,22218,2533,12292,129691,39048,6229,772,32047,6689.504005675028,762.6480172101379,-460.50400567502766,9.351982789862063,-6.883978323121714,1.2262515051271998
