district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
1,6043,670,119978,126691,4.769873155946358,0.5288457743643984,94.70128106968924,6043,0,670,0
2,6588,1335,140472,148395,4.43950267866168,0.8996259981805317,94.66087132315779,6588,0,1335,0
3,4990,2019,145983,152992,3.261608450115039,1.319676845848149,95.41871470403682,4990,0,2019,0
4,5644,454,99481,105579,5.34576004697904,0.4300097557279383,94.22423019729302,5644,0,454,0
5,2071,210,37559,39840,5.198293172690763,0.5271084337349398,94.2745983935743,2071,0,210,0
6,4917,442,85656,91015,5.402406196780751,0.4856342361149261,94.11195956710432,4917,0,442,0
7,2340,1220,72696,76256,3.0686109945446916,1.5998741082668904,95.33151489718841,2340,0,1220,0
8,3477,302,54217,57996,5.995241051106973,0.5207255672805021,93.48403338161253,3477,0,302,0
9,7376,540,98355,106271,6.940745829059668,0.5081348627565375,92.5511193081838,7376,0,540,0
11,4520,553,68038,73111,6.182380216383308,0.756384128243356,93.06123565537334,4520,0,553,0
12,11829,2845,187895,202569,5.83949172874428,1.4044597149613218,92.7560485562944,11829,0,2845,0
13,6215,395,95722,102332,6.073369034124223,0.3859985146386272,93.54063245123714,6215,0,395,0
14,15871,3508,366546,385925,4.112457083630239,0.9089849063937293,94.97855800997603,15871,0,3508,0
15,4059,1633,115923,121615,3.33758171278214,1.3427619948197178,95.31965629239815,4059,0,1633,0
16,7748,2997,176902,187647,4.129029507532761,1.5971478360965001,94.27382265637074,7748,0,2997,0
17,2248,130,25936,28314,7.939535212262484,0.4591368227731864,91.60132796496433,2248,0,130,0
18,4299,961,76822,82082,5.23744548134792,1.170780439073122,93.59177407957895,4299,0,961,0
19,4497,1992,100772,107261,4.192576985111084,1.8571521801959705,93.95027083469294,4497,0,1992,0
21,3415,2925,126149,132489,2.577572477715131,2.2077304530942192,95.21469706919065,3415,0,2925,0
22,1710,3658,176665,182033,0.9393901105843446,2.0095257453318904,97.05108414408376,1710,0,3658,0
23,4008,1421,105989,111418,3.597264355849145,1.2753774076002082,95.12735823655065,4008,0,1421,0
24,5818,1522,140794,148134,3.92752507864501,1.0274481212955837,95.0450268000594,5818,0,1522,0
25,2034,503,43329,45866,4.434657480486635,1.0966729167575109,94.46866960275585,2034,0,503,0
