district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
0,115,173,0,288,39.93055555555556,60.06944444444444,0.0,5,110,1,172
1,125605,7260,275,133140,94.34054378849332,5.4529067147363675,0.20654949677031695,6395,119210,739,6521
2,139420,471,204,140095,99.51818408936794,0.33620043541882294,0.14561547521324816,6561,132859,471,0
3,147581,577,160,148318,99.50309470192424,0.3890289782764061,0.10787631979935004,5980,141601,577,0
4,114819,13769,313,128901,89.07533688644774,10.681841102861886,0.2428220106903748,5739,109080,982,12787
5,128697,3793,258,132748,96.94835327085907,2.8572935185464186,0.1943532105945099,8124,120573,798,2995
6,105764,19294,255,125313,84.3998627436898,15.39664679642176,0.20349045988843936,7286,98478,1402,17892
7,113436,14238,249,127923,88.67521868624094,11.130132970615135,0.19464834314392251,6128,107308,1244,12994
8,118200,1813,257,120270,98.27887253679222,1.5074415897563813,0.213685873451401,8269,109931,733,1080
9,140246,4927,307,145480,96.40225460544404,3.386719824030795,0.21102557052515808,9119,131127,755,4172
10,120882,18661,266,139809,86.46224491985495,13.347495511733865,0.19025956841118957,5639,115243,1464,17197
11,124062,2070,400,126532,98.04792463566528,1.635949799260266,0.31612556507444756,8382,115680,732,1338
12,121829,5256,407,127492,95.55815266840271,4.122611614846422,0.31923571675085494,8750,113079,971,4285
13,107326,10978,236,118540,90.53990214273662,9.261008942129239,0.19908891513413193,5758,101568,786,10192
14,92435,13829,230,106494,86.79831727609067,12.985708115011175,0.2159746088981539,4017,88418,751,13078
15,138846,1842,386,141074,98.42068701532529,1.305697718927655,0.27361526574705475,5462,133384,1050,792
16,138717,561,169,139447,99.476503617862,0.40230338408140726,0.12119299805660932,7186,131531,561,0
17,94248,21404,580,116232,81.08610365475944,18.41489434923257,0.499001996007984,6765,87483,1998,19406
18,138905,482,203,139590,99.50927716885164,0.3452969410416219,0.14542589010674117,6790,132115,458,24
19,148889,9196,710,158795,93.76176831764225,5.791114329796279,0.4471173525614786,10223,138666,2184,7012
20,82068,52454,615,135137,60.72948193314932,38.81542434714401,0.455093719706668,6110,75958,2709,49745
21,113006,10720,583,124309,90.90733575203727,8.62367165691945,0.4689925910432873,6637,106369,1106,9614
22,22328,75515,306,98149,22.749085573974266,76.939143547056,0.3117708789697297,1326,21002,3843,71672
