district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
0,39,57,0,96,40.625,59.375,0.0,3,36,1,56
1,577882,45074,1271,624227,92.57561752375338,7.2207706491388555,0.2036118271077669,34486,543396,4671,40403
2,341515,223665,1490,566670,60.266998429421,39.470061940812116,0.26293962976688373,21774,319741,8654,215011
3,550934,74084,1802,626820,87.89349414504962,11.819023005009413,0.2874828499409719,33735,517199,6178,67906
4,532609,89474,1180,623263,85.45493635912929,14.355737465564298,0.18932617530641158,24842,507767,5413,84061
5,422618,136517,2043,561178,75.30908196686256,24.326862421548956,0.36405561158848,27299,395319,7356,129161
6,35558,365685,320,401563,8.854899480280803,91.06541190298907,0.07968861673012703,2603,32955,6324,359361
7,353721,187304,876,541901,65.27409988171271,34.56424697500097,0.16165314328631983,16834,336887,6020,181284
8,462177,115961,2216,580354,79.6370835731295,19.98108051292832,0.38183591394218014,23107,439070,7954,108007
9,388345,143200,1475,533020,72.85749127612472,26.86578364789314,0.2767250759821395,17853,370492,6690,136510
10,346672,211388,1285,559345,61.978206652423815,37.79206035630961,0.2297329912665707,21324,325348,9024,202364
11,403079,166630,1358,571067,70.58348670121019,29.178712830543525,0.23780046824628284,19899,383180,8267,158363
12,396401,211256,2321,609978,64.98611425330094,34.63338022027024,0.380505526428822,24583,371818,10008,201248
13,16048,468173,545,484766,3.3104631925506327,96.5771114310822,0.11242537636715445,3230,12818,16408,451765
14,12221,671504,3022,686747,1.779549091586858,97.78040530209815,0.4400456063149894,6295,5926,28629,642875
15,41714,483708,1325,526747,7.919171822525804,91.82928426739973,0.25154391007447596,7181,34533,15085,468623
16,44987,405078,1070,451135,9.97195961297616,89.79086082879849,0.23717955822536493,6726,38261,10370,394708
17,390459,145267,1533,537259,72.67612082812946,27.03854193228964,0.2853372395809098,24551,365908,7502,137765
18,387967,204986,1376,594329,65.27815401907024,34.49032438262309,0.2315215983066618,25995,361972,6662,198324
19,95264,459049,1838,556151,17.129160965277414,82.54035324938731,0.33048578533527767,8066,87198,12546,446503
20,46542,426737,1776,475055,9.797181378998221,89.82896717222216,0.373851448779615,4469,42073,12756,413981
21,93064,462504,1932,557500,16.69309417040359,82.96035874439461,0.3465470852017937,6894,86170,18439,444065
22,415891,164510,1312,581713,71.49419043411442,28.280268792342618,0.2255407735429671,24678,391213,6136,158374
23,12209,553253,737,566199,2.156309000898977,97.71352475013202,0.13016624896900206,3606,8603,21972,531281
24,432342,173804,1798,607944,71.11543168449725,28.588817391075494,0.2957509244272499,27565,404777,7001,166803
25,483414,138999,2903,625316,77.30715350318879,22.22860121922356,0.46424527758765166,28827,454587,11927,127072
26,31763,474921,1271,507955,6.253112972605841,93.4966680119302,0.25021901546396824,7233,24530,12741,462180
27,94579,404560,1726,500865,18.883132181326307,80.77226398330887,0.34460383536481887,5169,89410,10416,394144
28,544728,22245,1291,568264,95.85826306083088,3.9145537989385213,0.22718314023059705,28859,515869,2340,19905
29,16644,532831,1498,550973,3.020837681701281,96.70727966706173,0.27188265123699346,4002,12642,14273,518558
30,486605,143403,1470,631478,77.05810812094799,22.709104671896725,0.23278720715527698,24774,461831,5342,138061
31,497426,15603,931,513960,96.7830181337069,3.0358393649311233,0.1811425013619737,28278,469148,1541,14062
