district,old_expected_republican_voters,new_republican_voters,net_republican_change,pct_republican_change,old_expected_democrat_voters,new_democrat_voters,net_democrat_change,pct_democrat_change,old_expected_other_voters,new_other_voters,net_other_change,new_rep_known,new_rep_modeled,new_dem_known,new_dem_modeled,old_expected_republican_pct,new_republican_pct,old_expected_democrat_pct,new_democrat_pct
1,24726.51634808908,28245.0,3518.4836519109194,14.229597094791865,4507.341517925786,3345.0,-1162.3415179257863,-25.78774014134787,474936.1421339851,472580.0,-2356.142133985122,28245.0,0.0,3345.0,0.0,4.904400568873412,5.602277009738779,0.8940122414911214,0.6634666878235516
2,20356.245589097638,20544.0,187.754410902362,0.9223430228357983,9602.109195302526,11575.0,1972.8908046974739,20.54643167006096,597480.6452155999,595320.0,-2160.645215599914,20544.0,0.0,11575.0,0.0,3.2443385873523383,3.2742625179499525,1.5303653734151887,1.8448008491662136
3,26825.766895310728,31125.0,4299.233104689272,16.026505864556658,6680.660866036101,5870.0,-810.6608660361007,-12.134441222086727,563571.5722386532,560083.0,-3488.5722386531997,31125.0,0.0,5870.0,0.0,4.492841286282651,5.212886758513963,1.1188924840701049,0.9831211332522719
4,15848.497641700178,15274.0,-574.4976417001781,-3.624934392447231,5875.052818962245,5671.0,-204.0528189622446,-3.4732082459522124,441685.44953933754,442464.0,778.55046066246,15274.0,0.0,5671.0,0.0,3.4199805445513958,3.2960084935769483,1.2677899693277956,1.2237569835717477
5,28763.63861679446,27728.0,-1035.6386167944584,-3.600513240316445,6479.513891429589,8600.0,2120.4861085704106,32.72600605695381,588306.8474917759,587222.0,-1084.8474917758722,27728.0,0.0,8600.0,0.0,4.612884069728884,4.446796568037848,1.0391330112147525,1.379199743404699
6,28836.05164327745,32768.0,3931.9483567225507,13.635529598030823,27772.01778394224,25851.0,-1921.0177839422395,-6.917098350170907,1436014.9305727803,1434004.0,-2010.9305727803148,32768.0,0.0,25851.0,0.0,1.9319045494594045,2.195329966106646,1.8606183734233117,1.7319175706122711
7,24445.38204212638,23075.0,-1370.3820421263808,-5.605893333001795,12306.73494948864,11470.0,-836.7349494886403,-6.79900032724283,875236.883008385,877444.0,2207.1169916150393,23075.0,0.0,11470.0,0.0,2.6804470275547603,2.530184026342423,1.3494389679577978,1.2576906081104047
8,8702.165663540563,10049.0,1346.8343364594366,15.477001800853598,12927.230346767758,11104.0,-1823.2303467677575,-14.103797161962278,565872.6039896916,566349.0,476.39601030841004,10049.0,0.0,11104.0,0.0,1.4812146449783257,1.7104622622561283,2.200372142863813,1.8900361190259778
9,17853.000000000004,17853.0,-3.637978807091713e-12,-2.0377408878573418e-14,6689.999999999999,6690.0,9.094947017729282e-13,1.3594838591523592e-14,596205.0,596205.0,0.0,17853.0,0.0,6690.0,0.0,2.8760463183127456,2.8760463183127456,1.07773202652284,1.07773202652284
10,13967.159287743227,10468.0,-3499.1592877432267,-25.05276281064459,5725.292863765908,8186.0,2460.707136234092,42.97958540788987,374752.5478484909,375791.0,1038.4521515091183,10468.0,0.0,8186.0,0.0,3.540964972998321,2.6538554171050466,1.4514806535171971,2.0753210206746187
11,22363.139369042634,23472.0,1108.860630957366,4.958430087380153,11046.059686389915,10201.0,-845.0596863899154,-7.650326997880804,693022.8009445675,692759.0,-263.8009445675416,23472.0,0.0,10201.0,0.0,3.0784903981436162,3.2311351922822786,1.5205910100862732,1.4042608255142945
